"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A6000J0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563455] Report(A6000J0)","Entity[563455] Report(A6000J0[00000])","Entity[563455] Report(A6000J0[00100])", ,"Entity[563455] Report(A6000J0[00300])", ,"Entity[563455] Report(A6000J0[00500])", ,"Entity[563455] Report(A6000J0[00700])", ,"Entity[563455] Report(A6000J0[00900])","Entity[563455] Report(A6000J0[01000])"
"Line(06100)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"22466"
"Line(06200)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"1457"
"Line(06300)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"17390"
"Line(06400)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"176181"
"Line(06500)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"8608"
"Line(06600)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"5982"
"Line(06700)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"12823"
"Line(06800)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"49962"
"Line(06900)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"5812"
"Line(07000)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"5165"
"Line(07100)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"470"
"Line(07200)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"1368"
"Line(07300)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"5571"
"Line(07400)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"18017"
"Line(07500)","EQUIPMENT RENTAL","J", , , , , ,"90", ,"74884"
"Line(07600)","EQUIPMENT RENTAL","J", , , , , ,"91", ,"130988"
"Line(07700)","EQUIPMENT RENTAL","J", , , , , ,"95", ,"2680"
"Line(07800)","EQUIPMENT RENTAL","J", , , , , ,"112", ,"4836"
"Line(07900)","EQUIPMENT RENTAL","J", , , , , ,"192", ,"7514"
"Line(08000)","EQUIPMENT RENTAL","J", , , , , ,"194", ,"32702"
"Line(08100)","EQUIPMENT RENTAL","J", , , , , ,"194", ,"2135"
"Line(08200)","EQUIPMENT RENTAL","J", , , , , ,"194", ,"1662"
"Line(08300)","EQUIPMENT RENTAL","J", , , , , ,"194", ,"4290"
"Line(08400)","EQUIPMENT RENTAL","J", , , , , ,"194", ,"705845"
"Line(08500)","EQUIPMENT RENTAL","J", , , , , ,"194", ,"218523"
