"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report C000051 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[563455] Report(C000051)", ,"Entity[563455] Report(C000051[00100])", ,"Entity[563455] Report(C000051[00300])","Entity[563455] Report(C000051[00400])","Entity[563455] Report(C000051[00500])","Entity[563455] Report(C000051[00600])","Entity[563455] Report(C000051[00700])","Entity[563455] Report(C000051[00800])","Entity[563455] Report(C000051[00900])"
"Line(05500)", ,"4942980", ,"4942980","26479","4969459", , ,"42447580","0"
"Line(05700)", ,"5939805", ,"5939805", ,"5939805", , ,"104511297","0"
"Line(05800)", ,"4144385", ,"4144385", ,"4144385", , ,"51396746","0"
"Line(05900)", ,"14903980", ,"14903980", ,"14903980", , ,"162316195","0"
"Line(06000)", ,"49157712", ,"49157712","637841","49795553", , ,"314785039","0"
"Line(06300)", ,"13791206", ,"13791206", ,"13791206", , ,"27388397","1"
"Line(06400)", ,"36331363", ,"36331363", ,"36331363", , ,"176089168","0"
"Line(06500)", ,"14246321", ,"14246321", ,"14246321", , ,"76639137","0"
"Line(06600)", ,"13501587", ,"13501587", ,"13501587", , ,"61966644","0"
"Line(06800)", ,"591103", ,"591103", ,"591103", , ,"4600227","0"
"Line(06900)", ,"8222340", ,"8222340", ,"8222340", , ,"18715344","0"
"Line(07000)", ,"75958", ,"75958", ,"75958", , ,"2918733","0"
"Line(07100)", ,"65888202", ,"65888202", ,"65888202", , ,"113472323","1"
"Line(07200)", ,"59284083", ,"59284083", ,"59284083", , ,"155822122","0"
"Line(07300)", ,"63957042", ,"63957042", ,"63957042", , ,"224587372","0"
"Line(07400)", ,"4130267", ,"4130267", ,"4130267", , ,"16150548","0"
"Line(07501)", ,"1812688", ,"1812688", ,"1812688", , ,"13907350","0"
"Line(07503)", ,"1150592", ,"1150592", ,"1150592", , ,"8531664","0"
"Line(07504)", ,"7778592", ,"7778592", ,"7778592", , ,"55002137","0"
"Line(07505)", ,"1035469", ,"1035469", ,"1035469", , ,"646883","2"
"Line(07506)", ,"1389551", ,"1389551", ,"1389551", , ,"7946320","0"
"Line(07600)", ,"316890", ,"316890", ,"316890", , ,"1862956","0"
"Line(09001)", ,"837398", ,"837398", ,"837398", , ,"1848935","0"
"Line(09002)", ,"4054480", ,"4054480", ,"4054480", , ,"3266957","1"
"Line(09003)", ,"6596587", ,"6596587", ,"6596587", , ,"9866108","1"
"Line(09004)", ,"1517389", ,"1517389", ,"1517389", , ,"4984710","0"
"Line(09005)", ,"2732557", ,"2732557", ,"2732557", , ,"2012002","1"
"Line(09006)", ,"2484346", ,"2484346", ,"2484346", , ,"4801628","1"
"Line(09007)", ,"7669911", ,"7669911", ,"7669911", , ,"8709711","1"
"Line(09008)", ,"5645257", ,"5645257","17616","5662873", , ,"10290563","1"
"Line(09009)", ,"3880956", ,"3880956", ,"3880956", , ,"7543928","1"
"Line(09010)", ,"2137558", ,"2137558", ,"2137558", , ,"5096815","0"
"Line(09011)", ,"4734164", ,"4734164", ,"4734164", , ,"10380664","0"
"Line(09012)", ,"816919", ,"816919", ,"816919", , ,"1540938","1"
"Line(09013)", ,"1264381", ,"1264381", ,"1264381", , ,"4924309","0"
"Line(09014)", ,"32836206", ,"32836206", ,"32836206", , ,"38980236","1"
"Line(09015)", ,"1157726", ,"1157726", ,"1157726", , ,"4846689","0"
"Line(09016)", ,"937212", ,"937212", ,"937212", , ,"1096828","1"
"Line(09017)", ,"1492656", ,"1492656", ,"1492656", , ,"2100084","1"
"Line(09018)", ,"6498879", ,"6498879", ,"6498879", , ,"5117447","1"
"Line(09019)", ,"1268215", ,"1268215", ,"1268215", , ,"1552791","1"
"Line(09020)", ,"1457291", ,"1457291", ,"1457291", , ,"128538","11"
"Line(09021)", ,"269431", ,"269431", ,"269431", , ,"148843","2"
"Line(09022)", ,"1549955", ,"1549955", ,"1549955", , ,"1458060","1"
"Line(09023)", ,"517636", ,"517636", ,"517636", , ,"390647","1"
"Line(09024)", ,"807618", ,"807618", ,"807618"
"Line(09025)", ,"3552941", ,"3552941", ,"3552941", , ,"6727505","1"
"Line(09100)", ,"28843585", ,"28843585","927391","29770976", , ,"190893201","0"
"Line(09200)", , , ,"10578946", ,"10578946", , ,"18294026","1"
"Line(09500)", ,"2409181", ,"2409181", ,"2409181", , ,"497650","5"
"Line(10500)", ,"8616368", ,"8616368", ,"8616368","9869681","10433077","20302758"
"Line(10600)", ,"4305134", ,"4305134", ,"4305134","2262692","1165920","3428612"
"Line(10700)", ,"16062053", ,"16062053", ,"16062053","13295345","218443","13513788"
"Line(10800)", ,"2081620", ,"2081620", ,"2081620","1533217","351964","1885181"
"Line(10900)", ,"1578301", ,"1578301", ,"1578301","1618560","273181","1891741"
"Line(20000)", ,"838959017", ,"838959017","6627511","845586528", , ,"2147483647"
"Line(20100)", ,"10578946", ,"10578946", ,"10578946"
