"----------"," Entity 563455"," Report L00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[563455] Report(L00A181[00100])", , , , , , , , , , , , , , , , , , 
 ,"5894456", , , , , , , , , , , , , , , , , , 
 ,"589456", , , , , , , , , , , , , , , , , , 
 ,"482", , , , , , , , , , , , , , , , , , 
 ,"217", , , , , , , , , , , , , , , , , , 
 ,"14", , , , , , , , , , , , , , , , , , 
 ,"797520", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"474504", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
