"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563455] Report(B000002)","Entity[563455] Report(B000002[00000])","Entity[563455] Report(B000002[00100])","Entity[563455] Report(B000002[00200])", , , ,"Entity[563455] Report(B000002[00600])","Entity[563455] Report(B000002[00700])","Entity[563455] Report(B000002[00800])","Entity[563455] Report(B000002[00900])","Entity[563455] Report(B000002[01000])","Entity[563455] Report(B000002[01100])", ,"Entity[563455] Report(B000002[01300])", , ,"Entity[563455] Report(B000002[01600])","Entity[563455] Report(B000002[01700])", , , ,"Entity[563455] Report(B000002[02100])","Entity[563455] Report(B000002[02200])", ,"Entity[563455] Report(B000002[02400])", ,"Entity[563455] Report(B000002[02600])"
"Line(04100)", , ,"317230", , , ,"12700","15652","1755","2204","13883","4538", ,"1236", , ,"227","4021", , , , , , ,"521978", ,"521978"
"Line(04300)", ,"24910","34160", , , ,"1368","1685","1138","237", , , , , , ,"135","5805", , , , , , ,"82647", ,"82647"
"Line(04400)", , ,"450340", , , ,"18029","22220","3261","3129","30850","8311", ,"2258", , ,"465","8887", , , , , , ,"758481", ,"758481"
"Line(05000)","264827","2058754","3718280", , , ,"138444","170628","15083","24030", ,"69349", ,"17660", , ,"21226", , , , , , , ,"6782616", ,"6782616"
"Line(05010)", , , , , , , , , , , ,"189", ,"51", , ,"2", , , , , , , ,"795", ,"795"
"Line(05100)", ,"198273","337275", , , ,"13502","16641","8217","2344", ,"10159", ,"2739", , ,"5762", , , , , , , ,"623638", ,"623638"
"Line(05200)","8","234958","322199", , , ,"12899","15897","5484","2239", ,"12508", ,"3346", , ,"756", , , , , , , ,"643173", ,"643173"
"Line(05300)","191","171274","236735", , , ,"9477","11680","54","1645", ,"5681", ,"1465", , ,"5645", , , , , , , ,"484247", ,"484247"
"Line(05400)","128239","734851","1050418", , , ,"54419","67069","6734","9445", ,"25553", ,"4645", , ,"3517", , , , , , , ,"2195657", ,"2195657"
"Line(05401)","16617","342023","469018", , , ,"18776","23141","341","3259", ,"8675", ,"1468", , ,"771", , , , , , , ,"912583", ,"912583"
"Line(05402)","21664","191510","262618", , , ,"12760","15727","141","2215", ,"4381", ,"1009", , ,"485", , , , , , , ,"528846", ,"528846"
"Line(05403)","15", , , , , , , , , , ,"439", ,"66", , ,"646", , , , , , , ,"15306", ,"15306"
"Line(05410)", ,"136394","187038", , , ,"7488","9228","463","1300", ,"2372", ,"446", , ,"353", , , , , , , ,"355651", ,"355651"
"Line(05500)", ,"247312","339141", , , ,"15173","18700","1087","2634", ,"3855", ,"1027", , ,"1910", , , , , , , ,"653224", ,"653224"
"Line(05700)","15","153343","210279", , , ,"8418","10375", ,"1461", ,"5556", ,"1001", , ,"4703", , , , , , , ,"422453", ,"422453"
"Line(05800)","15","158206","216949", , , ,"8685","10704","901","1507", ,"4149", ,"843", , ,"2313", , , , , , , ,"422442", ,"422442"
"Line(05900)","1791","666438","1099431", , , ,"44014","54246","2906","7639", ,"12166", ,"3310", , ,"7304", , , , , , , ,"1966230", ,"1966230"
"Line(06000)","374083","720085","1554797", , , ,"62890","77510", ,"10916", ,"58622", ,"182", , ,"14165", , , , , , , ,"3365375", ,"3365375"
"Line(06300)","2175","29060","138376", , , ,"5540","6827","24","962", ,"9654", ,"1585", , ,"1232", , , , , , , ,"316661", ,"316661"
"Line(06400)", ,"129820","611939", , , ,"25536","31472", ,"4432", ,"7941", ,"2136", , ,"7924", , , , , , , ,"1233587", ,"1233587"
"Line(06500)","4025","67604","174050", , , ,"6968","8588", ,"1209", ,"24493", ,"4851", , ,"3449", , , , , , , ,"399799", ,"399799"
"Line(06600)","144632","31849","911783", , , ,"22926","28255", ,"3979", ,"23521", ,"191", , ,"2788", , , , , , , ,"1456976", ,"1456976"
"Line(06800)", , , , , , , , , , , ,"1090", , , , ,"207", , , , , , , ,"4339", ,"4339"
"Line(06900)","30739","733800","1006263", , , ,"40284","49649","2606","6992", ,"11247", ,"3193", , ,"842", , , , , , , ,"1919049", ,"1919049"
"Line(07000)", , , , , , , , , , , ,"492", , , , ,"131", , , , , , , ,"1188", ,"1188"
"Line(07100)", ,"205238","281444", , , ,"11267","13886", ,"1956", ,"3635", ,"418", , ,"5106", , , , , , , ,"844227", ,"844227"
"Line(07200)", ,"186512","255764", , , ,"10239","12619", ,"1777", ,"3302", , , , ,"7012", , , , , , , ,"767819", ,"767819"
"Line(07300)","4611","432921","618885", , , ,"24390","30060", ,"4233", ,"19787", ,"972", , ,"10106", , , , , , , ,"1452296", ,"1452296"
"Line(07400)", ,"15426","21154", , , ,"847","1044","1621","147", ,"4850", ,"1321", , ,"727", , , , , , , ,"67014", ,"67014"
"Line(07501)", ,"48393","66361", , , ,"4691","5781", ,"814", ,"1260", ,"337", , ,"626", , , , , , , ,"137264", ,"137264"
"Line(07503)", ,"158866","217854", , , ,"8721","10749","509","1514", ,"903", ,"281", , ,"384", , , , , , , ,"403960", ,"403960"
"Line(07504)", ,"158206","224764", , , ,"8998","11090","607","1562", ,"13123", ,"3535", , ,"2475", , , , , , , ,"458687", ,"458687"
"Line(07505)", , , , , , , , , , , ,"366", ,"106", , ,"29", , , , , , , ,"5351", ,"5351"
"Line(07506)","15","8218","11270", , , ,"4695","5786", ,"815", ,"2452", , , , ,"358", , , , , , , ,"44371", ,"44371"
"Line(07600)","20236","4971","50214", , , ,"273","336", ,"47", , , ,"176", , ,"84", , , , , , , ,"77772", ,"77772"
"Line(09001)", ,"45833","62851", , , ,"2516","3101", ,"437", ,"798", , , , ,"83", , , , , , , ,"119206", ,"119206"
"Line(09002)","44001","104034","597713", , , ,"25831","31836","1295","4483", ,"4775", ,"1519", , ,"147", , , , , , , ,"1095020", ,"1095020"
"Line(09003)","108342","662598","908624", , , ,"36375","44831","327","6314", ,"4160", ,"2624", , ,"444", , , , , , , ,"1802096", ,"1802096"
"Line(09004)", ,"141379","193874", , , ,"7761","9566","331","1347", ,"1964", ,"766", , ,"224", , , , , , , ,"363379", ,"363379"
"Line(09005)","9714","204470","280391", , , ,"11225","13834","5279","1948", ,"3788", ,"1497", , ,"91", , , , , , , ,"543185", ,"543185"
"Line(09006)","1818","186565","255838", , , ,"12758","15724","326","2214", ,"5451", ,"1570", , ,"216", , , , , , , ,"495021", ,"495021"
"Line(09007)","247808","454989","623929", , , ,"33325","41072","2709","5784", ,"10759", ,"4054", , ,"392", , , , , , , ,"1466383", ,"1466383"
"Line(09008)","73124","461065","638339", , , ,"28100","34632", ,"4877", ,"7644", ,"2035", , ,"463", , , , , , , ,"1275023", ,"1275023"
"Line(09009)","28244","408321","559932", , , ,"22416","27627", ,"3891", ,"5236", ,"1847", , ,"339", , , , , , , ,"1073434", ,"1073434"
"Line(09010)","2495","164094","268641", , , ,"10755","13255","60","1867", ,"3267", ,"1038", , ,"229", , , , , , , ,"499408", ,"499408"
"Line(09011)","308292","438202","610553", , , ,"24056","29649", ,"4175", ,"2045", ,"2003", , ,"467", , , , , , , ,"1439344", ,"1439344"
"Line(09012)","31749","62620","165367", , , ,"6620","8159", ,"1149", ,"819", ,"121", , ,"69", , , , , , , ,"313567", ,"313567"
"Line(09013)","19368","112872","154781", , , ,"6196","7637", ,"1076", ,"1366", ,"608", , ,"222", , , , , , , ,"309196", ,"309196"
"Line(09014)","616179","2643751","3844610", , , ,"171018","210775","2001","29684", ,"32766", ,"14765", , ,"1754", , , , , , , ,"7780773", ,"7780773"
"Line(09015)","117530","5483","249557", , , ,"301","371", ,"52", ,"3276", , , , ,"218", , , , , , , ,"382252", ,"382252"
"Line(09016)", ,"102134","140057", , , ,"5607","6910", ,"973", ,"1714", ,"459", , ,"49", , , , , , , ,"261679", ,"261679"
