"Line(05900)", ,"49467","59510", ,"3847709", ,"59510","59510","87205","59510", ,"6510", ,"138092", , ,"162316195"
"Line(06000)", ,"53449","84158", ,"15703178", ,"85032","85032", ,"85032", ,"31368", ,"7598", , ,"314785039"
"Line(06300)", ,"2157","7490", ,"2381504", ,"7490","7490","730","7490", ,"5166", ,"66124", , ,"27388397"
"Line(06400)", ,"9636","33123", ,"2669049", ,"34526","34526", ,"34526", ,"4249", ,"89115", , ,"176089168"
"Line(06500)", ,"5018","9421", ,"7551323", ,"9421","9421", ,"9421", ,"13106", ,"202368", , ,"76639137"
"Line(06600)", ,"2364","49353", ,"7713359", ,"30997","30997", ,"30997", ,"12586", ,"7989", , ,"61966644"
"Line(06800)", , , , ,"380597", , , , , , ,"583", , , , ,"4600227"
"Line(06900)", ,"54467","54467", ,"2718089", ,"54467","54467","78223","54467", ,"6018", ,"133225", , ,"18715344"
"Line(07000)", , , , ,"13876", , , , , , ,"263", , , , ,"2918733"
"Line(07100)", ,"15234","15234", ,"1217633", ,"15234","15234", ,"15234", ,"1945", ,"17442", , ,"113472323"
"Line(07200)", ,"13844","13844", , , ,"13844","13844", ,"13844", ,"1767", , , , ,"155822122"
"Line(07300)", ,"32134","33499", ,"8598297", ,"32977","32977", ,"32977", ,"10588", ,"40562", , ,"224587372"
"Line(07400)", ,"1145","1145", ,"1850994", ,"1145","1145","48656","1145", ,"2595", ,"55097", , ,"16150548"
"Line(07501)", ,"3592","3592", ,"442756", ,"6342","6342", ,"6342", ,"674", ,"14052", , ,"13907350"
"Line(07503)", ,"11792","11792", ,"261799", ,"11792","11792","15268","11792", ,"483", ,"11731", , ,"8531664"
"Line(07504)", ,"11743","12166", ,"3936297", ,"12166","12166","18228","12166", ,"7022", ,"147456", , ,"55002137"
"Line(07505)", , , , ,"224518", , , , , , ,"196", ,"4435", , ,"646883"
"Line(07506)", ,"610","610", ,"840647", ,"6348","6348", ,"6348", ,"1312", , , , ,"7946320"
"Line(07600)", ,"369","2718", ,"211734", ,"369","369", ,"369", , , ,"7345", , ,"1862956"
"Line(09001)", ,"3402","3402", ,"444892", ,"3402","3402", ,"3402", ,"427", , , , ,"1848935"
"Line(09002)", ,"7722","32353", ,"1375904", ,"34925","34925","38853","34925", ,"2555", ,"63362", , ,"3266957"
"Line(09003)", ,"49182","49182", ,"2227282", ,"49182","49182","9815","49182", ,"2226", ,"109466", , ,"9866108"
"Line(09004)", ,"10494","10494", ,"495503", ,"10494","10494","9942","10494", ,"1051", ,"31950", , ,"4984710"
"Line(09005)", ,"15177","15177", ,"1029780", ,"15177","15177","158423","15177", ,"2027", ,"62472", , ,"2012002"
"Line(09006)", ,"13848","13848", ,"822826", ,"17250","17250","9781","17250", ,"2917", ,"65487", , ,"4801628"
"Line(09007)", ,"33772","33772", ,"3069028", ,"45058","45058","81295","45058", ,"5757", ,"169119", , ,"8709711"
"Line(09008)", ,"34223","34552", ,"2091702", ,"37993","37993", ,"37993", ,"4090", ,"84917", , ,"10290563"
"Line(09009)", ,"30308","30308", ,"1224086", ,"30308","30308", ,"30308", ,"2802", ,"77069", , ,"7543928"
"Line(09010)", ,"12180","14541", ,"688486", ,"14541","14541","1796","14541", ,"1748", ,"43309", , ,"5096815"
"Line(09011)", ,"32526","33048", ,"1408157", ,"32526","32526", ,"32526", ,"1094", ,"83564", , ,"10380664"
"Line(09012)", ,"4648","8951", ,"168927", ,"8951","8951", ,"8951", ,"438", ,"5051", , ,"1540938"
"Line(09013)", ,"8378","8378", ,"399551", ,"8378","8378", ,"8378", ,"731", ,"25384", , ,"4924309"
"Line(09014)", ,"196235","208101", ,"12052241", ,"231229","231229","60067","231229", ,"17533", ,"615990", , ,"38980236"
"Line(09015)", ,"407","13508", ,"353914", ,"407","407", ,"407", ,"1753", , , , ,"4846689"
"Line(09016)", ,"7581","7581", ,"311396", ,"7581","7581", ,"7581", ,"917", ,"19142", , ,"1096828"
"Line(09017)", ,"342","10028", ,"563650", ,"10028","10028", ,"10028", ,"1560", ,"32546", , ,"2100084"
"Line(09018)", ,"40305","40305", ,"2442189", ,"40305","40305","13960","40305", ,"5711", ,"131224", , ,"5117447"
"Line(09019)", ,"8891","8891", ,"618469", ,"8891","8891", ,"8891", ,"2538", ,"52944", , ,"1552791"
"Line(09020)", ,"4957","8741", ,"783177", ,"4957","4957", ,"4957", ,"1870", ,"39005", , ,"128538"
"Line(09021)", , ,"919", ,"219636", , , , , , ,"499", ,"10406", , ,"148843"
"Line(09022)", ,"4928","9402", ,"776504", ,"4928","4928", ,"4928", ,"2137", ,"44565", , ,"1458060"
"Line(09023)", , ,"4591", ,"251951", ,"4591","4591", ,"4591", ,"433", ,"9030", , ,"390647"
"Line(09024)", , ,"4113", ,"327243", , , , , , , , ,"45500"
"Line(09025)", ,"16766","21512", ,"1337752", ,"21512","21512","6140","21512", ,"2474", ,"73600", , ,"6727505"
"Line(09100)", ,"58662","58780", ,"14810450", ,"58780","58780","477332","58780", ,"22705", ,"488648", , ,"190893201", , , , ,"3529","3529"
"Line(09500)", ,"225","225", ,"674631", ,"225","225", ,"225", ,"988", ,"20608", , ,"497650"
"Line(10500)", , ,"5236", ,"3701101", ,"5236","5236", ,"5236", ,"1020", , , , ,"20302758"
"Line(10600)", , ,"888", ,"1954924", ,"888","888", ,"888", ,"156", , , , ,"3428612"
"Line(10700)", , ,"191", ,"2740773", ,"191","191", ,"191", ,"134", , , , ,"13513788"
"Line(10800)", , ,"263", ,"403371", ,"263","263", ,"263", ,"97", , , , ,"1885181"
"Line(10900)", , ,"84", ,"299598", ,"84","84", ,"84", ,"65", , , , ,"1891741"
"Line(11800)", ,"2005169","2371720", ,"344214193", ,"2201997","2109626","4345386","2094390","1055402","435915", ,"8048431", , ,"2147483647","211194", , , ,"284165","284165"
"Line(19101)", , , , , , , , , , ,"274193"
"Line(19200)", , , , , , ,"282846","282846", ,"282846"
"Line(19301)", ,"460736","460736", , , ,"491142","491142", ,"491142"
"Line(19400)", , , , , , , , , , ,"87128"
"Line(19401)", ,"51029","83090", ,"4010966", ,"124025","124025","1069","124025", ,"8933"
"Line(19402)", ,"25804","25804", ,"82708", ,"25804","25804","14321","25804", ,"165"
"Line(19403)", , ,"2395", ,"1120780", , , , , , ,"2422"
"Line(19404)", , , , ,"1159776", , , , , , ,"1591"
"Line(19405)"
"Line(19406)", , , , ,"2850857"
"Line(19407)", , , , ,"66305"
"Line(20200)", ,"34256718","54384902", ,"7345783", ,"30955879","6609943","3931286","12268411","16048263","6787454", ,"4721614", , ,"15951765","7164090", , , ,"16921658","38165872"
"Line(20300)", ,"13","18", ,"0", ,"10","2","1","4","11","15", ,"1", , ,"0","34", , , ,"60","134"
"Line(20400)", , , , , , ,"2311871","2765109","145301","387457","1984098","839156", ,"192924", , ,"149931","191284", , , ,"452529","204486"
