 , ,"REQUISITIONS", , , , , , , , , , , , , , , , , 
 , ,"REQUISITIONS", , , , , , , , , , , , , , , , , 
 , ,"ACCUMULATED COST", , , , , , , , , , , , , , , , , 
 , ,"CHARGES", , , , , , , , , , , , , , , , , 
 , ,"CHARGES", , , , , , , , , , , , , , , , , 
 , ,"CHARGES", , , , , , , , , , , , , , , , , 
 , ,"CHARGES", , , , , , , , , , , , , , , , , 
 , ,"CHARGES", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I1H0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572875] Report(I1H0000[00100])", ,"Entity[572875] Report(I1H0000[00300])","Entity[572875] Report(I1H0000[00400])", , , , , , , , , , , , , , , 
 ,"644842", ,"8163","4", , , , , , , , , , , , , , , 
 ,"55647", ,"1248","1", , , , , , , , , , , , , , , 
 ,"4653", , , , , , , , , , , , , , , , , , 
 ,"37945", , , , , , , , , , , , , , , , , , 
 ,"743087", , , , , , , , , , , , , , , , , , 
 ,"287829", , , , , , , , , , , , , , , , , , 
 ,"327419", , , , , , , , , , , , , , , , , , 
 ,"87650", , , , , , , , , , , , , , , , , , 
 ,"1445985", , , , , , , , , , , , , , , , , , 
 ,"13548", , , , , , , , , , , , , , , , , , 
 ,"2972", , , , , , , , , , , , , , , , , , 
 ,"380806", , , , , , , , , , , , , , , , , , 
 ,"16367", , , , , , , , , , , , , , , , , , 
 ,"1447", , , , , , , , , , , , , , , , , , 
 ,"2893528", , , , , , , , , , , , , , , , , , 
 ,"-66985", , , , , , , , , , , , , , , , , , 
 ,"93796", , , , , , , , , , , , , , , , , , 
 ,"4781464", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I2D0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572875] Report(I2D0000[00100])","Entity[572875] Report(I2D0000[00200])","Entity[572875] Report(I2D0000[00300])", ,"Entity[572875] Report(I2D0000[00500])","Entity[572875] Report(I2D0000[00600])","Entity[572875] Report(I2D0000[00700])", ,"Entity[572875] Report(I2D0000[00900])","Entity[572875] Report(I2D0000[01000])","Entity[572875] Report(I2D0000[01100])", , , , , , , , 
 ,"560399","97491","2699346", ,"1380186","-267806","790778", ,"5260394","2838000","8098394", , , , , , , , 
 ,"89693","15599","449319", ,"220887","-42860","126558", ,"859196","463539","1322735", , , , , , , , 
 ,"470706","81892","2250027", ,"1159299","-224946","664220", ,"4401198","2374461","6775659", , , , , , , , 
 , , , , , ,"240737", , , , , , , , , , , , , 
