"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report I2D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(I2D0000)", ,"Entity[572875] Report(I2D0000[00100])","Entity[572875] Report(I2D0000[00200])","Entity[572875] Report(I2D0000[00300])", ,"Entity[572875] Report(I2D0000[00500])","Entity[572875] Report(I2D0000[00600])","Entity[572875] Report(I2D0000[00700])", ,"Entity[572875] Report(I2D0000[00900])","Entity[572875] Report(I2D0000[01000])","Entity[572875] Report(I2D0000[01100])"
"Line(00100)", ,"560399","97491","2699346", ,"1380186","-267806","790778", ,"5260394","2838000","8098394"
"Line(00200)", ,"89693","15599","449319", ,"220887","-42860","126558", ,"859196","463539","1322735"
"Line(01200)", ,"470706","81892","2250027", ,"1159299","-224946","664220", ,"4401198","2374461","6775659"
"Line(01400)", , , , , , ,"240737"
"Line(01500)", , , , , , ,"27069"
"Line(01700)", ,"560399","97491","2699346", ,"1380186","-267806","790778", ,"5260394","2838000","8098394"
"Line(01800)", , , , , , , , , , , ,"14675"
