"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(S300002)", ,"Entity[572875] Report(S300002[00100])","Entity[572875] Report(S300002[00200])","Entity[572875] Report(S300002[00300])","Entity[572875] Report(S300002[00400])","Entity[572875] Report(S300002[00500])","Entity[572875] Report(S300002[00600])"
"Line(00100)", ,"200","1293819342", ,"1293819342","30863343","42"
"Line(00400)", , ,"33349301", ,"33349301","227423","147"
"Line(00401)", , ,"18579851", ,"18579851","126704","147"
"Line(00500)", , ,"54040856", ,"54040856","368527","147"
"Line(00600)", , ,"10479497", ,"10479497","165633","63"
"Line(00700)", ,"21","85783786","-40440686","45343100","1386215","33"
"Line(00900)", ,"44"
"Line(01000)", , ,"347418155","-11155813","336262342","9488918","35"
"Line(01100)", , ,"9146195", ,"9146195","150234","61"
"Line(01300)", , ,"19004626", ,"19004626","97007","196"
"Line(01600)", , ,"8815989", ,"8815989","43297","204"
"Line(01700)", , ,"339664321", ,"339664321"
"Line(01900)", , ,"10622174", ,"10622174"
"Line(02200)", , ,"12798924", ,"12798924"
"Line(02201)", , ,"7130647", ,"7130647"
"Line(02300)", , ,"13714633", ,"13714633"
"Line(02400)", , ,"4787520", ,"4787520"
"Line(02500)", , ,"8892001", ,"8892001"
"Line(02600)", ,"4","2044013","-33976","2010037","38833","52"
"Line(02700)", ,"5","77870469","-541474","77328995","1485482","52"
"Line(02800)", , ,"10178553", ,"10178553","92756","110"
"Line(02900)", ,"6","28206780", ,"28206780","874481","32"
"Line(03000)", ,"7","569836", ,"569836","16504","35"
"Line(03100)", ,"8","778166", ,"778166","32267","24"
"Line(03200)", ,"9","16202280", ,"16202280","797585","20"
"Line(03400)", ,"10","18596337","-143888","18452449","839259","22"
"Line(03600)", ,"11"
"Line(03700)", ,"12"
"Line(03800)", ,"13","14725999", ,"14725999","267383","55"
"Line(03900)", ,"14","9571931","-67452","9504479","343183","28"
"Line(04000)", ,"15","22383565","-1330253","21053312","553985","38"
"Line(04100)", ,"16","6139980","2089","6142069","225784","27"
"Line(04200)", ,"17","5986781","-141274","5845507","166584","35"
