"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report I3D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(I3D0000)","Entity[572875] Report(I3D0000[00000])","Entity[572875] Report(I3D0000[00100])","Entity[572875] Report(I3D0000[00200])","Entity[572875] Report(I3D0000[00300])", ,"Entity[572875] Report(I3D0000[00500])","Entity[572875] Report(I3D0000[00600])","Entity[572875] Report(I3D0000[00700])", ,"Entity[572875] Report(I3D0000[00900])","Entity[572875] Report(I3D0000[01000])"
"Line(00100)", ,"560399","97491","2699346", ,"1380186","-267806","790778", ,"5260394","2838000"
"Line(00200)", ,"1246","16","7849", ,"623805","56670","14219"
"Line(01200)","4803","6539","84","39305", ,"3273953","297426","74626"
"Line(01700)", ,"7785","100","47154", ,"3897758","354096","88845", , ,"5260394"
