"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report I4D0010 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(I4D0010)", ,"Entity[572875] Report(I4D0010[00100])","Entity[572875] Report(I4D0010[00200])","Entity[572875] Report(I4D0010[00300])", ,"Entity[572875] Report(I4D0010[00500])"
"Line(00100)", ,"915","1322735","1446", ,"604265"
"Line(01100)", ,"915","1322735", , ,"604265"
