"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report C000191 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[572875] Report(C000191)", ,"Entity[572875] Report(C000191[00100])", ,"Entity[572875] Report(C000191[00300])","Entity[572875] Report(C000191[00400])","Entity[572875] Report(C000191[00500])","Entity[572875] Report(C000191[00600])","Entity[572875] Report(C000191[00700])","Entity[572875] Report(C000191[00800])","Entity[572875] Report(C000191[00900])"
"Line(03000)", ,"344601393", ,"344601393","218721","344820114", , ,"890490742"
"Line(03100)", ,"21630084", ,"21630084", ,"21630084", , ,"48449471"
"Line(03200)", ,"14316025", ,"14316025", ,"14316025", , ,"40446412"
"Line(03300)", ,"2834311", ,"2834311", ,"2834311", , ,"15990538"
"Line(03400)", ,"17734881", ,"17734881", ,"17734881", , ,"38496770"
"Line(03500)", ,"55477800", ,"55477800","11778","55489578", , ,"158762946"
"Line(03501)", ,"24823332", ,"24823332", ,"24823332", , ,"55440706"
"Line(04000)", ,"10846503", ,"10846503", ,"10846503", , ,"31516632"
"Line(04300)", ,"10071595", ,"10071595", ,"10071595", , ,"54289221"
"Line(05000)", ,"250332859", ,"250332859","130411","250463270", , ,"1089241927","0"
"Line(05100)", ,"35857143", ,"35857143", ,"35857143", , ,"55809374","1"
"Line(05200)", ,"18611553", ,"18611553","165896","18777449", , ,"50141149","0"
"Line(05300)", ,"31980352", ,"31980352","1507994","33488346", , ,"173074758","0"
"Line(05400)", ,"81719911", ,"81719911","1037186","82757097", , ,"435384983","0"
"Line(05500)", ,"52695423", ,"52695423","619579","53315002", , ,"302679781","0"
"Line(05501)", ,"16010641", ,"16010641", ,"16010641", , ,"89682976","0"
"Line(05700)", ,"28521671", ,"28521671", ,"28521671", , ,"247596590","0"
"Line(05800)", ,"27216306", ,"27216306", ,"27216306", , ,"220713264","0"
"Line(05900)", ,"16016355", ,"16016355","17796","16034151", , ,"126582660","0"
"Line(06000)", ,"96636902", ,"96636902","1077105","97714007", , ,"723100261","0"
"Line(06001)", ,"1376963", ,"1376963", ,"1376963", , ,"3090038","0"
"Line(06300)", ,"31998283", ,"31998283", ,"31998283", , ,"111540752","0"
"Line(06400)", ,"232436", ,"232436", ,"232436", , ,"14066636","0"
"Line(06500)", ,"17585552", ,"17585552", ,"17585552", , ,"68356795","0"
"Line(06600)", ,"30710200", ,"30710200", ,"30710200", , ,"72657399","0"
"Line(06900)", ,"1080275", ,"1080275", ,"1080275", , ,"18066384","0"
"Line(06901)", ,"24333240", ,"24333240", ,"24333240", , ,"98471396","0"
"Line(07000)", ,"14154976", ,"14154976","8310","14163286", , ,"35713023","0"
"Line(07100)", ,"29760116", ,"29760116", ,"29760116", , ,"102238303","0"
"Line(07200)", ,"38182821", ,"38182821", ,"38182821", , ,"116456420","0"
"Line(07300)", ,"220056136", ,"220056136", ,"220056136", , ,"590981759","0"
"Line(07400)", ,"8113069", ,"8113069","35729","8148798", , ,"14816091","1"
"Line(07600)", ,"14830186", ,"14830186","134059","14964245", , ,"57860875","0"
"Line(07697)", ,"1532396", ,"1532396","452","1532848", , ,"2050161","1"
"Line(09000)", ,"212565848", ,"212565848","4275445","216841293", , ,"304472957","1"
"Line(09100)", ,"64371810", ,"64371810","1359431","65731241", , ,"219054107","0"
"Line(09200)", , , ,"14450111", ,"14450111", , ,"65340766","0"
"Line(09201)", , , ,"3579765", ,"3579765", , ,"27847126","0"
"Line(09400)", ,"4781464", ,"4781464","5448","4786912", , ,"22974513","0"
"Line(10500)", ,"5007461", ,"5007461", ,"5007461","9254317", ,"9254317"
"Line(10600)", ,"1467485", ,"1467485", ,"1467485","1292741", ,"1292741"
"Line(10700)", ,"5179156", ,"5179156", ,"5179156","4886134", ,"4886134"
"Line(10800)", ,"1721411", ,"1721411", ,"1721411","1143585", ,"1143585"
"Line(10900)", ,"78966", ,"78966", ,"78966","263028", ,"263028"
"Line(11000)", ,"23326", ,"23326", ,"23326","2", ,"2"
"Line(11100)", ,"188367", ,"188367", ,"188367","103042", ,"103042"
"Line(11200)", ,"1545373", ,"1545373", ,"1545373","10392997", ,"10392997"
"Line(20000)", ,"1906842232", ,"1906842232","10605340","1917447572", , ,"2147483647"
"Line(20100)", ,"14450111", ,"14450111", ,"14450111"
