"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(D00A182)", ,"Entity[572875] Report(D00A182[00100])","Entity[572875] Report(D00A182[00200])","Entity[572875] Report(D00A182[00300])","Entity[572875] Report(D00A182[00400])","Entity[572875] Report(D00A182[00500])"
"Line(05000)", ,"26616230","1089241927","0","239329441","5848254"
"Line(05100)", ,"3122230","55809374","0","11337732","634289"
"Line(05200)", ,"918177","50141149","0","1574960","28841"
"Line(05300)", ,"3428550","173074758","0","33253583","658753"
"Line(05400)", ,"10623957","435384983","0","59933661","1462441"
"Line(05500)", ,"10946411","302679781","0","3209602","116075"
"Line(05501)", ,"1982492","89682976","0","671893","14853"
"Line(05700)", ,"895269","247596590","0","38125580","137862"
"Line(05800)", ,"1613350","220713264","0","21517034","157290"
"Line(05900)", ,"1006784","126582660","0","36174971","287736"
"Line(06000)", ,"6490957","723100261","0","114532526","1028158"
"Line(06001)", ,"37908","3090038","0","32976","405"
"Line(06300)", ,"1013620","111540752","0","32663203","296811"
"Line(06400)", ,"14248","14066636","0","61308","62"
"Line(06500)", ,"614035","68356795","0","26021158","233748"
"Line(06600)", ,"1926820","72657399","0","14829473","393263"
"Line(06900)", ,"45521","18066384","0","2710357","6830"
"Line(06901)", ,"1899358","98471396","0","21140715","407762"
"Line(07000)", ,"1258775","35713023","0","4967283","175082"
"Line(07100)", ,"651926","102238303","0","30182688","192475"
"Line(07200)", ,"677357","116456420","0","31340901","182279"
"Line(07300)", ,"4855097","590981759","0","66785864","548646"
"Line(07400)", ,"649575","14816091","0","7878554","345419"
"Line(07600)", ,"1001387","57860875","0","5179462","89641"
"Line(07697)", ,"29249","2050161","0","1306","19"
"Line(09000)", ,"20178191","304472957","0","3349894","222008"
"Line(09100)", ,"5247099","219054107","0","38292498","917220"
"Line(09200)", ,"1111387","65340766","0","1260774","21445"
"Line(09201)", ,"147726","27847126","0","342985","1820"
"Line(09400)", ,"197995","22974513","0","261420","2253"
