"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(D00A181)", ,"Entity[572875] Report(D00A181[00100])", ,"Entity[572875] Report(D00A181[00300])","Entity[572875] Report(D00A181[00400])","Entity[572875] Report(D00A181[00500])","Entity[572875] Report(D00A181[00600])","Entity[572875] Report(D00A181[00700])"
"Line(03000)", ,"26520684", ,"26520684","250846","106","103950","10989594"
"Line(03100)", ,"668220", ,"668220","5950","112","4856","545377"
"Line(03200)", ,"749402", ,"749402","4971","151","2247","338735"
"Line(03300)", ,"167929", ,"167929","2190","77","464","35580"
"Line(03400)", ,"1184792", ,"1184792","4734","250","2041","510801"
"Line(03500)", ,"4790154", ,"4790154","18617","257","5711","1469440"
"Line(03501)", ,"1486666", ,"1486666","7043","211"
"Line(04000)", ,"633538", ,"633538","8548","74","3107","230291"
"Line(04300)", ,"449533", ,"449533","13731","33"
