"Entity[572875] Report(B000001[00000])", ,"Entity[572875] Report(B000001[00200])", ,"Entity[572875] Report(B000001[00400])", ,"Entity[572875] Report(B000001[00600])","Entity[572875] Report(B000001[00700])","Entity[572875] Report(B000001[00800])","Entity[572875] Report(B000001[00900])","Entity[572875] Report(B000001[01000])","Entity[572875] Report(B000001[01100])", ,"Entity[572875] Report(B000001[01300])","Entity[572875] Report(B000001[01400])","Entity[572875] Report(B000001[01500])","Entity[572875] Report(B000001[01600])","Entity[572875] Report(B000001[01700])","Entity[572875] Report(B000001[01800])", ,"Entity[572875] Report(B000001[02000])", , ,"Entity[572875] Report(B000001[02300])","Entity[572875] Report(B000001[02400])","Entity[572875] Report(B000001[02500])","Entity[572875] Report(B000001[02600])"
 , ,"132101", ,"11009", ,"10377","112", ,"1986", ,"14223", , ,"2420", , , ,"17", , , , , ,"614035", ,"614035"
"868362", ,"75667", ,"22863", ,"33957","366","784","6499", ,"32040", , , , , , , , , , , , ,"1926820", ,"1926820"
 , ,"11077", ,"517", ,"235","3","4","45", ,"1198", , , , , , ,"18", , , , , ,"45521", ,"45521"
 , ,"716655", ,"8313", ,"23388","443","963","4477", ,"11229", , ,"18873", , , ,"5627", , , , , ,"1899358", ,"1899358"
"688166", ,"144891", ,"5509", ,"2808","30","104","3209", ,"8833", , ,"767", , , ,"2420", , , , , ,"1258775", ,"1258775"
"29664", ,"230", ,"682", ,"4951","53", ,"948", ,"1198", , , , , , , , , , , , ,"651926", ,"651926"
 , , , , , , , , , , , , , , , , , , , , , , , ,"677357", ,"677357"
 , ,"8609", , , , , , , , , , , , ,"4324984", , ,"3978", , , , , ,"4855097", ,"4855097"
"140346", ,"50448", ,"5066", ,"18682","202","171","3576", ,"5540", ,"53681","774", , ,"4469","2066", , , , , ,"649575", ,"649575"
"133898", ,"344915", ,"7895", ,"20938","226","321","4008", ,"11828", , ,"624", , , ,"610", , , , , ,"1001387", ,"1001387"
 , , , ,"1094", , , ,"13", , ,"1048", , , , , , , , , , , , ,"29249", ,"29249"
"3400391", ,"1091617", ,"151537", ,"638088","7075","2568","131077", ,"131603", ,"276088","30884", ,"485119","125858","76921", , , , , ,"20178191", ,"20178191"
"308611", ,"996008", ,"37811", ,"109192","1178","4537","20900", ,"51354", ,"506098","39990", ,"101811","15229","44181", , , , , ,"5247099", ,"5247099"
 , ,"31676", ,"2219", , , ,"574", , ,"3893", ,"33596","13", , , ,"2069", , , , , ,"147726", ,"147726"
"67426", , , ,"1075", , , , ,"466", ,"898", , ,"67556", , , ,"1", , , , , ,"197995", ,"197995"
 , ,"6767", ,"1699", ,"4893","53", ,"937", ,"2396", , , , , , , , , , , , ,"125412", ,"125412"
 , , , ,"324", ,"2957","32", ,"566", ,"749", , , , , , , , , , , , ,"47986", ,"47986"
 , , , ,"1294", ,"3763","41", ,"720", ,"898", , , , , , , , , , , , ,"112402", ,"112402"
 , , , ,"375", ,"972","10","76","186", ,"150", , , , , , , , , , , , ,"34353", ,"34353"
 , , , ,"3", ,"250","3", ,"48", , , , ,"65", , , , , , , , , ,"3730", ,"3730"
 , , , , , , , , , , , , , , , , , , , , , , , ,"367", ,"367"
 , , , ,"41", ,"204","2", ,"39", , , , , , , , , , , , , , ,"3333", ,"3333"
 , , , ,"1030", , , ,"1", , ,"1347", , , , , , , , , , , , ,"34947", ,"34947"
"43560275", ,"54203154", ,"1307987", ,"3924454","43709","110347","703101","2530485","1450327", ,"7736061","321612","4324984","1384907","372552","506138", , , , , ,"145103742", ,"145103742"
"1115976", ,"148236", ,"7568", ,"131626","376","225","42539", ,"9881", , , , ,"21059", , , , , , , ,"3170516", ,"3170516"
"1548386", ,"205634", ,"6713", ,"10936","118", ,"2093", ,"7336", , , , , , , , , , , , ,"2496462", ,"2496462"
"41518115", ,"19530447", , , ,"2381510","25706", ,"468969","28880","439877", ,"8608","1331", ,"59693", ,"3627", , , , , ,"104784950", ,"104784950"
"286641", ,"81431", , , ,"194735","1859", ,"42177","40662","47311", , , , , , ,"49", , , , , ,"3490276", ,"3490276"
 , , , , , , , , , , ,"1797", , , , , , , , , , , , ,"52271", ,"52271"
 , ,"4126", ,"1545", ,"4814","52","242","404","457", , ,"19735", , ,"455","662","879", , , , , ,"101300", ,"101300"
 , , , , , ,"12628","136", ,"2417", , , , , , , , , , , , , , ,"146449", ,"146449"
 , , , , , ,"470861","4915", ,"120715", , , , , , ,"48936", , , , , , , ,"9922511", ,"9922511"
 , , , , , , , , , , , , , , , , , , , ,"17790", , ,"5152","2434544", ,"2434544"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report B10000* ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[572875] Report(B10000*[00100])","Entity[572875] Report(B10000*[00200])", ,"Entity[572875] Report(B10000*[00400])", ,"Entity[572875] Report(B10000*[00600])","Entity[572875] Report(B10000*[00700])","Entity[572875] Report(B10000*[00800])","Entity[572875] Report(B10000*[00900])","Entity[572875] Report(B10000*[01000])","Entity[572875] Report(B10000*[01100])","Entity[572875] Report(B10000*[01200])","Entity[572875] Report(B10000*[01300])","Entity[572875] Report(B10000*[01400])","Entity[572875] Report(B10000*[01500])","Entity[572875] Report(B10000*[01600])","Entity[572875] Report(B10000*[01700])","Entity[572875] Report(B10000*[01800])","Entity[572875] Report(B10000*[01900])","Entity[572875] Report(B10000*[02000])","Entity[572875] Report(B10000*[02100])","Entity[572875] Report(B10000*[02200])","Entity[572875] Report(B10000*[02300])"
 ,"CAP","CAP", ,"EMPLOYEE", ,"MAIN-","OPERATION","LAUNDRY","HOUSE-","DIETARY","CAFETERIA","MAIN-","NURSING","CENTRAL","PHARMACY","MEDICAL","SOCIAL","OTHER","NONPHYSIC.","NURSING","I&R","I&R","PARAMED"
 ,"BLDGS &","MOVABLE", ,"BENEFITS", ,"TENANCE &","OF PLANT","& LINEN","KEEPING", , ,"TENANCE &","ADMINIS-","SERVICES &", ,"RECORDS &","SERVICE","GENERAL","ANESTHET.","SCHOOL","SALARY &","PROGRAM","EDUCATION"
 ,"FIXTURES","EQUIPMENT", ,"DEPARTMENT", ,"REPAIRS", ,"SERVICE", , , ,"PERSONNEL","TRATION","SUPPLY", ,"LIBRARY", ,"SERVICE", , ,"FRINGES","COSTS"
 ,"SQUARE","DOLLAR", ,"GROSS", ,"SQUARE","SQUARE","POUNDS OF","SQUARE","MEALS","MEALS","NUMBER","DIRECT","COSTED","COSTED","TIME","TIME","TIME","ASSIGNED","ASSIGNED","ASSIGNED","ASSIGNED","OTHER) TIM"
 ,"FEET","VALUE", ,"SALARIES", ,"FEET","FEET","LAUNDRY","FEET","SERVED","SERVED","HOUSED","NRSING HRS","REQUIS.","REQUIS.","SPENT","SPENT","SPENT","TIME","TIME","TIME","TIME","E"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report B100000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 , ,"Entity[572875] Report(B100000[00200])", ,"Entity[572875] Report(B100000[00400])", ,"Entity[572875] Report(B100000[00600])","Entity[572875] Report(B100000[00700])","Entity[572875] Report(B100000[00800])","Entity[572875] Report(B100000[00900])","Entity[572875] Report(B100000[01000])","Entity[572875] Report(B100000[01100])", ,"Entity[572875] Report(B100000[01300])","Entity[572875] Report(B100000[01400])","Entity[572875] Report(B100000[01500])","Entity[572875] Report(B100000[01600])","Entity[572875] Report(B100000[01700])","Entity[572875] Report(B100000[01800])", ,"Entity[572875] Report(B100000[02000])", , ,"Entity[572875] Report(B100000[02300])"
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"73601572", , , , , , , , , , , , , , , , , 
 , ,"282", ,"963379737", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"5070636", ,"588264", , , , , , , , , , , , , , , 
 , ,"898102", ,"3625076", , , , , , , , , , , , , , , 
 , ,"22597", ,"13322630", , , , , , , , , , , , , , , 
 , ,"117469", ,"23713921", , , , , , , , , , , , , , , 
 , ,"527028", ,"34856121", , , , , , , , , , , , , , , 
 , ,"4536444", ,"17644570", ,"2971755", , , , , , , , , , , , , 
 , ,"19702", ,"1003322", ,"1744", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"55460", ,"8585643", ,"9688", , , , , , , , , , , , , 
 , ,"30510", ,"973245", , , , , , , , , , , , , , , 
 , ,"9382", ,"569836", ,"3055","2968283", , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"4624", ,"778166", ,"2051","2051","26865670", , , , , , , , , , , 
 , ,"359610", ,"16202280", ,"24980","20714", ,"3009657", , , , , , , , , , 
 , ,"206249", ,"18451843", ,"73638","73638", ,"73638","3150014", , , , , , , , , 
 , , , , , , , , , ,"2369980","13068", , , , , , , , 
 , ,"6405100", ,"14611916", ,"21411","21411", ,"21411", ,"138", ,"11004545", , , , , , 
 , ,"107918", ,"7367110", , , , , , ,"134", , ,"1462303", , , , , 
 , ,"156169", ,"1066267", ,"4360","4360", ,"4360", ,"12", , , , , , , , 
 , ,"13532", ,"1071102", ,"84","84", ,"84", ,"25", , , , , , , , 
 , ,"1572681", ,"21053312", ,"6514","8353","1361","6514", ,"261", , ,"7919","164046739", , , , 
 , ,"106237", ,"6142069", ,"39691","39691", ,"39691", ,"113", , , , ,"10000", , , 
 , , , ,"5980046", ,"7815","7815", ,"7815", ,"84", , , , , ,"6764", , 
 , ,"244", ,"5234991", ,"8122","8122","136","8122", ,"46", ,"123714","1488", , , ,"2899184", 
 , ,"2896508", ,"38971813", ,"101374","108566","18645","115580", ,"346", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , ,"72473"
 , ,"35874", ,"32316593", ,"2266","3021","76738","3021", ,"891", , , , , , , , 
 , , , ,"4542380", ,"755", , , , , , , , , , , , , 
 , , , ,"2314347", , , , , , , , , , , , , , , 
 , , , ,"100583", , , , , , , , , , , , , , , 
 , ,"54694", ,"25848411", , , , , , , , , , , , , , , 
 , , , ,"32303", , , , , , , , , , , , , , , 
 , , , ,"244517", , , , , , , , , , , , , , , 
 , , , ,"434440", , , , , , , , , , , , , , , 
 , , , ,"136564", , , , , , , , , , , , , , , 
 , , , ,"236583", , , , , , ,"4", , , , , , , , , , , ,"100"
 , , , ,"275000", , , , , , ,"11", , , , , , , , 
 , , , ,"272410", , , , , , ,"2", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"314110", , , , , , ,"4", , , , , , , , 
 , , , ,"177665", , , , , , ,"3", , , , , , , , 
 , ,"3790362", ,"161361978", ,"272389","272389","11545272","175871","599350","2050", ,"5293308","30207", ,"3820","2772","690561", ,"61778", , ,"48"
 , ,"1433", ,"10816675", , , ,"624113", ,"10710","109", ,"320844","16773", ,"94","255","80368", 
 , ,"42289", ,"6653880", ,"10707","10707","345013","7149","8252","72", ,"210157","9857", ,"79","139","43146", 
 , , , ,"604992", ,"3412","3412","334911","1669","5628","8", ,"7188","22055", ,"35","70","21948", 
 , , , ,"7902366", ,"22302","22302","317322","15062","4734","82", ,"244900","21010", ,"75","115","59178", 
 , ,"758692", ,"23750852", ,"45994","45994","1604724","46323","25178","301", ,"845410","70149", ,"294","205","197953", , , , ,"10"
 , ,"12662", ,"11969704", ,"21740","21740","419168","15431","15747","115", ,"370488","10906", ,"111","223","36840", 
 , ,"8300", ,"5288616", ,"8036","8036","150037","4969","25644","59", ,"146824", , ,"135","177","2223", ,"2880"
 , ,"448", ,"4968556", ,"3976","3976","170551","2502", ,"46", ,"165467","56", , , ,"6062", 
 , ,"7675814", ,"71571918", ,"191653","220347","4390548","198918", ,"864", ,"1243994","257222", ,"624", ,"131920", 
 , ,"488847", ,"17439538", ,"39162","39162","1767312","39162", ,"182", ,"476242","769", , , ,"94906", 
 , ,"2283", ,"9884107", ,"11369","11369","452468","11369", ,"93", ,"233824","60285", , , ,"24837", ,"6840"
 , ,"1812449", ,"7539186", ,"26870","27398","50269","26870", ,"252", , ,"111531", , , ,"303237", 
 , ,"3585853", ,"37548648", ,"119381","126552","717721","126017", ,"554", , ,"72564", , , ,"49037", 
 , ,"4853743", ,"16054178", ,"53994","60559","114131","53994", ,"173", ,"37168","3626", , ,"158","2775", 
 , ,"782676", ,"6930328", ,"26658","26658","56695","28720", ,"59", ,"12550","2422", , , ,"662", 
 , ,"11667", ,"5094406", ,"5956","5956","744420","5956", ,"61", , ,"18", , , ,"221278", 
 , ,"458834", ,"5852857", ,"9021","12134","166223","9021", ,"69", , , , , , ,"7564", 
 , ,"171521", ,"4808780", ,"12903","12903","164598","12903", ,"46", , ,"21367", , , ,"29578", 
 , ,"2504693", ,"30289720", ,"64477","66098","13098","64477", ,"452", , ,"2656", , , ,"469", 
 , , , ,"620201", ,"351","351", ,"351", ,"9", , , , , , , , 
 , ,"33104", ,"6362281", ,"12550","12550","54608","12550", ,"84", , , , , , ,"85897", 
 , , , , , , , , , , , , , , , , , , , 
 , ,"131083", ,"8012452", ,"4324","4324", ,"4324", ,"95", , ,"10956", , , ,"94", 
 , ,"75084", ,"16640051", ,"14150","14150","190095","14150", ,"214", , , , , , , , 
 , ,"10992", ,"376088", ,"98","98","939","98", ,"8", , , , , , ,"100", 
 , ,"711134", ,"6050078", ,"9746","17100","233337","9746", ,"75", , ,"85456", , , ,"31946", 
 , ,"143775", ,"4009580", ,"1170","1170","25130","6986", ,"59", , ,"3475", , , ,"13736", 
 , ,"228", ,"496197", ,"2063","2063", ,"2063", ,"8", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"8543", , , , , , , , , , , , ,"164046739", , ,"22581", 
 , ,"50059", ,"3686917", ,"7785","7785","41495","7785", ,"37", ,"76082","3503", , ,"81","11727", , , , ,"5"
 , ,"342258", ,"5746245", ,"8725","8725","77893","8725", ,"79", , ,"2826", , , ,"3463", 
 , , , ,"796458", , , ,"3239", , ,"7", , , , , , , , 
 , ,"1083207", ,"110289111", ,"265894","273200","622601","285369", ,"879", ,"391302","139845", ,"3202","2281","436674", ,"975", , ,"37"
 , ,"988335", ,"27518842", ,"45501","45501","1099790","45501", ,"343", ,"717296","181075", ,"672","276","250814", 
 , ,"31432", ,"1615152", , , ,"139106", , ,"26", ,"47616","60", , , ,"11747", 
 , , , ,"782421", , , , ,"1014", ,"6", , ,"305903", , , ,"8", 
 , ,"6715", ,"1236762", ,"2039","2039", ,"2039", ,"16", , , , , , , , 
 , , , ,"235530", ,"1232","1232", ,"1232", ,"5", , , , , , , , 
 , , , ,"942044", ,"1568","1568", ,"1568", ,"6", , , , , , , , 
 , , , ,"273123", ,"405","405","18433","405", ,"1", , , , , , , , 
 , , , ,"1914", ,"104","104", ,"104", , , , ,"295", , , , , 
 , , , ,"1", , , , , , , , , , , , , , , 
 , , , ,"30085", ,"85","85", ,"85", , , , , , , , , , 
 , , , ,"749672", , , ,"350", , ,"9", , , , , , , , 
 , ,"53785567", ,"951861939", ,"1635338","1687968","26752490","1530714","3065223","9687", ,"10964374","1456274","164046739","9141","6752","2873329", ,"72473", , ,"100"
 , ,"147094", ,"5507854", ,"54849","14524","54610","92611", ,"66", , , , ,"139", , , 
 , ,"204050", ,"4885460", ,"4557","4557", ,"4557", ,"49", , , , , , , , 
 , ,"19379963", , , ,"992386","992386", ,"1021000","34983","2938", ,"12200","6029", ,"394", ,"20589", 
 , ,"80804", , , ,"81147","71787", ,"91824","49255","316", , , , , , ,"278", 
 , , , , , , , , , , ,"12", , , , , , , , 
 , ,"4094", ,"1124484", ,"2006","2006","58570","880","553", , ,"27971", , ,"3","12","4988", 
 , , , , , ,"5262","5262", ,"5262", , , , , , , , , , 
 , , , , , ,"196210","189793", ,"262809", , , , , , ,"323", , , 
 , ,"74173028", ,"3659819", ,"36456553","2670541","3569359","31878354","21628238","16272464", ,"34143558","13831875","212113792","15796036","9003917","11927781", ,"1143041", , ,"274840"
 , ,"1", ,"0", ,"12","1","0","11","7","1245", ,"3","9","1","1580","1331","4", ,"16", , ,"2748"
 , , , ,"1323813", ,"7131564","76871","110814","1382415","2600484","1956529", ,"7764404","322943","4324984","1515050","373214","510693", ,"17790", , ,"5152"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report B200010 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DESCRIPTION","PART","LINE NO.","AMOUNT","", , , , , , , , , , , , , , , 
"1","2","3","4","", , , , , , , , , , , , , , , 
" Adjustment for EPO costs in Renal Dialysis cost center","1","74","","1", , , , , , , , , , , , , , , 
" Adjustment for EPO costs in Home Program Dialysis cost center","1","94","","2", , , , , , , , , , , , , , , 
" Adjustment for ARANESP costs in Renal Dialysis cost center","1","74","","3", , , , , , , , , , , , , , , 
" Adjustment for ARANESP costs in Home Program Dialysis cost center","1","94","","4", , , , , , , , , , , , , , , 
"","","","","5", , , , , , , , , , , , , , , 
"","","","","6", , , , , , , , , , , , , , , 
"","","","","7", , , , , , , , , , , , , , , 
"","","","","8", , , , , , , , , , , , , , , 
"","","","","9", , , , , , , , , , , , , , , 
"","","","","10", , , , , , , , , , , , , , , 
"","","","","11", , , , , , , , , , , , , , , 
"","","","","12", , , , , , , , , , , , , , , 
"","","","","13", , , , , , , , , , , , , , , 
"","","","","14", , , , , , , , , , , , , , , 
"","","","","15", , , , , , , , , , , , , , , 
"","","","","16", , , , , , , , , , , , , , , 
"","","","","17", , , , , , , , , , , , , , , 
"","","","","18", , , , , , , , , , , , , , , 
"","","","","19", , , , , , , , , , , , , , , 
"","","","","20", , , , , , , , , , , , , , , 
"","","","","21", , , , , , , , , , , , , , , 
"","","","","22", , , , , , , , , , , , , , , 
"","","","","23", , , , , , , , , , , , , , , 
"","","","","24", , , , , , , , , , , , , , , 
"","","","","25", , , , , , , , , , , , , , , 
"","","","","26", , , , , , , , , , , , , , , 
"","","","","27", , , , , , , , , , , , , , , 
"","","","","28", , , , , , , , , , , , , , , 
"","","","","29", , , , , , , , , , , , , , , 
"","","","","30", , , , , , , , , , , , , , , 
"","","","","31", , , , , , , , , , , , , , , 
"","","","","32", , , , , , , , , , , , , , , 
"","","","","33", , , , , , , , , , , , , , , 
"","","","","34", , , , , , , , , , , , , , , 
"","","","","35", , , , , , , , , , , , , , , 
"","","","","36", , , , , , , , , , , , , , , 
"","","","","37", , , , , , , , , , , , , , , 
"","","","","38", , , , , , , , , , , , , , , 
"","","","","39", , , , , , , , , , , , , , , 
"","","","","40", , , , , , , , , , , , , , , 
"","","","","41", , , , , , , , , , , , , , , 
"","","","","42", , , , , , , , , , , , , , , 
"","","","","43", , , , , , , , , , , , , , , 
"","","","","44", , , , , , , , , , , , , , , 
"","","","","45", , , , , , , , , , , , , , , 
"","","","","46", , , , , , , , , , , , , , , 
"","","","","47", , , , , , , , , , , , , , , 
"","","","","48", , , , , , , , , , , , , , , 
"","","","","49", , , , , , , , , , , , , , , 
"","","","","50", , , , , , , , , , , , , , , 
"","","","","51", , , , , , , , , , , , , , , 
"","","","","52", , , , , , , , , , , , , , , 
"","","","","53", , , , , , , , , , , , , , , 
"","","","","54", , , , , , , , , , , , , , , 
"","","","","55", , , , , , , , , , , , , , , 
"","","","","56", , , , , , , , , , , , , , , 
"","","","","57", , , , , , , , , , , , , , , 
"","","","","58", , , , , , , , , , , , , , , 
"","","","","59", , , , , , , , , , , , , , , 
 ,"Entity[572875] Report(B200010[00100])","Entity[572875] Report(B200010[00200])","Entity[572875] Report(B200010[00300])","Entity[572875] Report(B200010[00400])", , , , , , , , , , , , , , , 
 ,"ADJ FOR ESA COSTS IN RENAL DIALYSIS","1","74","-267806", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
