"Entity[572875] Report(B000001[00000])", ,"Entity[572875] Report(B000001[00200])", ,"Entity[572875] Report(B000001[00400])", ,"Entity[572875] Report(B000001[00600])","Entity[572875] Report(B000001[00700])","Entity[572875] Report(B000001[00800])","Entity[572875] Report(B000001[00900])","Entity[572875] Report(B000001[01000])","Entity[572875] Report(B000001[01100])", ,"Entity[572875] Report(B000001[01300])","Entity[572875] Report(B000001[01400])","Entity[572875] Report(B000001[01500])","Entity[572875] Report(B000001[01600])","Entity[572875] Report(B000001[01700])","Entity[572875] Report(B000001[01800])", ,"Entity[572875] Report(B000001[02000])", , ,"Entity[572875] Report(B000001[02300])","Entity[572875] Report(B000001[02400])","Entity[572875] Report(B000001[02500])","Entity[572875] Report(B000001[02600])"
"2321275", , , , , , , , , , , , , , , , , , , 
"667182", , , , , , , , , , , , , , , , , , , 
"7497523", , , , , , , , , , , , , , , , , , , 
"347559", , , , , , , , , , , , , , , , , , , 
"3151405", ,"4660", ,"2956", ,"25161","1845","3569359", , , , , , , , , , , 
"27590528", ,"362402", ,"61552", ,"306447","18636", ,"31878354", , , , , , , , , , 
"14608792", ,"207850", ,"70099", ,"903368","66252", ,"779975","21628238", , , , , , , , , 
 , , , , , , , , , ,"16272464","16272464", , , , , , , , 
"23155099", ,"6454829", ,"55511", ,"262663","19263", ,"226786", ,"171840", ,"34143558", , , , , , 
"12296264", ,"108756", ,"27988", , , , , , ,"166859", , ,"13831875", , , , , 
"1040579", ,"157381", ,"4051", ,"53487","3923", ,"46181", ,"14943", , , , , , , , 
"2810980", ,"13637", ,"4069", ,"1030","76", ,"890", ,"31130", , , , , , , , 
"192779034", ,"1584891", ,"79982", ,"79912","7515","181","68996", ,"325001", , ,"74906","212113792", , , , 
"12503791", ,"107062", ,"23334", ,"486917","35710", ,"420408", ,"140709", , , , ,"15796036", , , 
"7603487", , , ,"22718", ,"95872","7031", ,"82777", ,"104598", , , , , ,"9003917", , 
"9885757", ,"246", ,"19888", ,"99638","7307","18","86028", ,"57280", ,"383845","14075", , , ,"11927781", 
"67343949", ,"2918996", ,"148054", ,"1243624","97676","2477","1224226", ,"430844", , , , , , , , 
"1006987", , , , , , , , , , , , , , , , , , , ,"1143041"
"39558334", ,"36153", ,"122771", ,"27799","2718","10195","31998", ,"1109486", , , , , , , , 
"5585310", , , ,"17257", ,"9262", , , , , , , , , , , , , 
"2845721", , , ,"8792", , , , , , , , , , , , , , , 
"123677", , , ,"382", , , , , , , , , , , , , , , 
"45009853", ,"55119", ,"98198", , , , , , , , , , , , , , , 
"2683251", , , ,"123", , , , , , , , , , , , , , , 
"2910149", , , ,"929", , , , , , , , , , , , , , , 
"2684759", , , ,"1650", , , , , , , , , , , , , , , 
"1033208", , , ,"519", , , , , , , , , , , , , , , 
"236583", , , ,"899", , , , , , ,"4981", , , , , , , , , , , ,"274840"
"377542", , , ,"1045", , , , , , ,"13697", , , , , , , , 
"374618", , , ,"1035", , , , , , ,"2490", , , , , , , , 
"29898", , , , , , , , , , , , , , , , , , , 
"464501", , , , , , , , , , , , , , , , , , , 
"454745", , , ,"1193", , , , , , ,"4981", , , , , , , , 
"240323", , , ,"675", , , , , , ,"3736", , , , , , , , 
"226155372", ,"3819790", ,"612951", ,"3341582","245066","1533908","1862830","4115183","2552690", ,"16423425","285727", ,"6034085","3689956","2841097", ,"974360", , ,"131923","390941204","-46339811","344601393"
"16139791", ,"1444", ,"41093", , , ,"82919", ,"73536","135728", ,"995476","158655", ,"148483","339444","330649", , , , , ,"22547952","-917868","21630084"
"9915438", ,"42617", ,"25278", ,"131350","9633","45838","75722","56659","89655", ,"652050","93237", ,"124789","185030","177511", , , , , ,"14885093","-569068","14316025"
"1492818", , , ,"2298", ,"41857","3070","44496","17678","38642","9962", ,"22302","208617", ,"55286","93181","90298", , , , , ,"2834311", ,"2834311"
"11989089", , , ,"30021", ,"273594","20065","42159","159537","32504","102108", ,"759846","198733", ,"118470","153083","243469", , , , , ,"18971133","-1236252","17734881"
"36275937", ,"764582", ,"90229", ,"564240","41380","213202","490654","172874","374810", ,"2623035","663537", ,"464403","272886","814415", , , , ,"27484","60766209","-5288409","55477800"
"17364115", ,"12760", ,"45473", ,"266699","19559","55690","163445","108120","143200", ,"1149505","103159", ,"175336","296847","151567", , , , , ,"27264825","-2441493","24823332"
"7313298", ,"8364", ,"20091", ,"98583","7230","19934","52632","176074","73468", ,"455548", , ,"213246","235614","9146", ,"45423", , , ,"12377101","-1530598","10846503"
"7050419", ,"451", ,"18876", ,"48776","3577","22659","26501", ,"57280", ,"513391","530", , , ,"24940", , , , , ,"10071595", ,"10071595"
"168175595", ,"7735409", ,"271902", ,"2351139","198244","583324","2106944", ,"1075865", ,"3859713","2433054", ,"985673", ,"542743", , , , , ,"260772317","-10439458","250332859"
"25164501", ,"492642", ,"66253", ,"480427","35234","234803","414805", ,"226629", ,"1477626","7274", , , ,"390461", , , , , ,"37264012","-1406869","35857143"
"13260390", ,"2301", ,"37550", ,"139471","10229","60114","120421", ,"115805", ,"725481","570234", , , ,"102184", ,"107880", , , ,"18611553", ,"18611553"
"19594001", ,"1826521", ,"28641", ,"329633","24650","6679","284608", ,"313794", , ,"1054968", , , ,"1247573", , , , , ,"39737008","-7756656","31980352"
"52390733", ,"3613694", ,"142647", ,"1464529","113858","95356","1334775", ,"689849", , ,"686380", , , ,"201747", , , , , ,"88014241","-6294330","81719911"
"31167251", ,"4891427", ,"60990", ,"662381","54484","15163","571906", ,"215422", ,"115320","34298", , ,"210322","11417", , , , , ,"54010221","-1314798","52695423"
"10126088", ,"788753", ,"26328", ,"327032","23984","7532","304203", ,"73468", ,"38939","22910", , , ,"2724", , , , , ,"16010641", ,"16010641"
"20797270", ,"11758", ,"19354", ,"73066","5359","98903","63086", ,"75958", , ,"170", , , ,"910379", , , , , ,"28521671", ,"28521671"
"19895204", ,"462396", ,"22235", ,"110667","10917","22084","95551", ,"85920", , , , , , ,"31120", , , , , ,"27216306", ,"27216306"
"10784029", ,"172853", ,"18269", ,"158290","11609","21868","136669", ,"57280", , ,"202110", , , ,"121689", , , , , ,"16016355", ,"16016355"
"68997500", ,"2524139", ,"115071", ,"790984","59468","1740","682942", ,"562837", , ,"25123", , , ,"1930", , , , , ,"100939879","-4302977","96636902"
"1135847", , , ,"2356", ,"4306","316", ,"3718", ,"11207", , , , , , , , , , , , ,"1376963", ,"1376963"
