"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(S300002)", ,"Entity[558727] Report(S300002[00100])","Entity[558727] Report(S300002[00200])","Entity[558727] Report(S300002[00300])","Entity[558727] Report(S300002[00400])","Entity[558727] Report(S300002[00500])","Entity[558727] Report(S300002[00600])"
"Line(00100)", ,"200","595753140","-3456591","592296549","19588578","30"
"Line(00400)", , ,"576003", ,"576003","4240","136"
"Line(00500)", , ,"505791", ,"505791","2312","219"
"Line(00600)", , ,"3163938", ,"3163938","125373","25"
"Line(00700)", ,"21","29490593", ,"29490593","1197406","25"
"Line(00900)", ,"44"
"Line(01000)", , ,"67750570","-968588","66781982","2166205","31"
"Line(01100)", , ,"1148742", ,"1148742","22466","51"
"Line(01300)", , ,"320203", ,"320203","3932","81"
"Line(01400)", , ,"169637261", ,"169637261","4337867","39"
"Line(01700)", , ,"122467101", ,"122467101"
"Line(01900)", , ,"18221579", ,"18221579"
"Line(02200)", , ,"74960", ,"74960"
"Line(02300)", , ,"56744", ,"56744"
"Line(02400)", , ,"698075", ,"698075"
"Line(02500)", , ,"6103979", ,"6103979"
"Line(02600)", ,"4","3167294", ,"3167294","2077","1525"
"Line(02700)", ,"5","13892153","-35596","13856557","472304","29"
"Line(02800)", , ,"6482585", ,"6482585","104464","62"
"Line(02900)", ,"6","335017", ,"335017","12076","28"
"Line(03000)", ,"7","1719771", ,"1719771","134176","13"
"Line(03100)", ,"8","1012", ,"1012","95","11"
"Line(03200)", ,"9","326102", ,"326102","24665","13"
"Line(03400)", ,"10","8677418","-161777","8515641","393617","22"
"Line(03500)", , ,"9100", ,"9100","91","100"
"Line(03600)", ,"11","106338", ,"106338","6886","15"
"Line(03700)", ,"12"
"Line(03800)", ,"13","15941220", ,"15941220","483037","33"
"Line(03900)", ,"14","2628058", ,"2628058","141736","19"
"Line(04000)", ,"15","28828411","-531437","28296974","706271","40"
"Line(04100)", ,"16","330389", ,"330389","12720","26"
"Line(04200)", ,"17","6277416","-1928361","4349055","168870","26"
