"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(D00A182)", ,"Entity[558727] Report(D00A182[00100])","Entity[558727] Report(D00A182[00200])","Entity[558727] Report(D00A182[00300])","Entity[558727] Report(D00A182[00400])","Entity[558727] Report(D00A182[00500])"
"Line(05000)", ,"14992357","677399161","0","127200679","2815205"
"Line(05001)", ,"428108","25053228","0","6890523","117745"
"Line(05100)", ,"728391","73921111","0","10104062","99565"
"Line(05200)", ,"1019635","58007181","0","653376","11485"
"Line(05300)", ,"859727","43834227","0","8234117","161496"
"Line(05301)", ,"453781","30438390","0","477137","7113"
"Line(05400)", ,"15013473","575806314","0","66247683","1727342"
"Line(05500)", ,"1896904","93025278","0","1197533","24419"
"Line(05600)", ,"487248","30150311","0","3268973","52830"
"Line(05900)", ,"154224","40810251","0","6967886","26332"
"Line(06000)", ,"3709096","658604578","0","112767911","635109"
"Line(06001)", ,"78533","10991951","0","525450","3754"
"Line(06002)", ,"345283","15806405","0","1351842","29530"
"Line(06300)", ,"287342","74599932","0","16728594","64439"
"Line(06500)", ,"1421227","128729092","0","32147550","354909"
"Line(06600)", ,"713712","79138764","0","17078690","154016"
"Line(06700)", ,"150663","14850511","0","2716127","27555"
"Line(06800)", ,"554889","15957682","0","1609833","55979"
"Line(06900)", ,"425439","60550329","0","19753119","138785"
"Line(07000)", ,"838323","37451982","0","7134739","159704"
"Line(07100)", ,"127931","127620689","0","26549173","26602"
"Line(07200)", ,"175326","388231072","0","86203810","38964"
"Line(07300)", ,"3482371","867065540","0","134193924","538923"
"Line(07303)", ,"353143","60922783","0"
"Line(07400)", ,"695874","38881481","0","7958878","142440"
"Line(07600)", ,"38777","1707623","0"
"Line(07601)", ,"1487803","82907433","0","5839231","104785"
"Line(07602)", ,"35507","2168560","0","13314","218"
"Line(07603)", ,"917001","110317803","0","15467131","128563"
"Line(07604)", ,"331689","7419725","0","292959","13096"
"Line(07608)", ,"102","140942","0"
"Line(07697)", ,"15553","1093026","0","56275","801"
"Line(08900)", ,"13917","3465643","0"
"Line(09001)", ,"299290","9653063","0","8350","259"
"Line(09002)", ,"5701740","77279340","0","316711","23367"
"Line(09003)", ,"304983","3168131","0","5530","532"
"Line(09004)", ,"335506","2779231","0"
"Line(09005)", ,"2"
"Line(09006)", ,"324245","19204896","0","3446043","58180"
"Line(09007)", ,"691358","9950487","0","3384","235"
"Line(09008)", ,"37622","871228","0"
"Line(09010)", ,"49001","89779","1","106","58"
"Line(09011)", ,"226482","15539173","0"
"Line(09012)", ,"102628","325835","0","924","291"
"Line(09014)", ,"5154","4329127","0"
"Line(09017)", ,"148087","1218341","0","2404","292"
"Line(09018)", ,"144021","2356762","0","2140","131"
"Line(09019)", ,"11724","4853912","0","5190","13"
"Line(09020)", ,"4728","456671","0","6942","72"
"Line(09021)", ,"23397","179869","0"
"Line(09022)", ,"33696","2118736","0"
"Line(09023)", ,"108416","682288","0","3022","480"
"Line(09024)", ,"53633","100","536"
"Line(09100)", ,"1662933","338578034","0","29913651","146936"
"Line(09200)", ,"972639","37132228","0","678105","17762"
"Line(09400)", ,"215150","13077463","0","530","9"
