"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report S410000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(S410000)","Entity[558727] Report(S410000[00000])","Entity[558727] Report(S410000[00100])","Entity[558727] Report(S410000[00200])","Entity[558727] Report(S410000[00300])","Entity[558727] Report(S410000[00400])","Entity[558727] Report(S410000[00500])"
"Line(00000)", ,"MARION"
"Line(00100)", , ,"12067","5321","1174","18562"
"Line(00200)", , ,"1647"
"Line(00300)","40"
"Line(00400)", ,"3", ,"3"
"Line(00500)", ,"112", ,"112"
"Line(00600)", ,"67", ,"67"
"Line(00800)", ,"20", ,"20"
"Line(01000)", ,"4", ,"4"
"Line(01200)", ,"1", ,"1"
"Line(01400)", ,"2", ,"2"
"Line(01600)", ,"9", ,"9"
"Line(01800)","INFUSION AND RT","93", ,"93"
"Line(01900)", ,"9"
"Line(02000)", ,"11300"
"Line(02001)", ,"14020"
"Line(02002)", ,"23844"
"Line(02003)", ,"26900"
"Line(02004)", ,"29020"
"Line(02005)", ,"29140"
"Line(02006)", ,"34620"
"Line(02007)", ,"43780"
"Line(02008)", ,"99915"
"Line(02100)", ,"11748","798","663","377","13586"
"Line(02200)", ,"2252405","158000","115601","72600","2598606"
"Line(02300)", ,"7773","58","290","239","8360"
"Line(02400)", ,"1793286","12925","60160","55460","1921831"
"Line(02500)", ,"1801","9","25","57","1892"
"Line(02600)", ,"415245","2115","5875","12925","436160"
"Line(02700)", ,"262","1","1","9","273"
"Line(02800)", ,"61100","235","235","2115","63685"
"Line(02900)", ,"312","13","6","7","338"
"Line(03000)", ,"73085","3055","1410","1645","79195"
"Line(03100)", ,"3468","325","18","145","3956"
"Line(03200)", ,"362670","34125","1785","15225","413805"
"Line(03300)", ,"25364","1204","1003","834","28405"
"Line(03500)", ,"4957791","210455","185066","159970","5513282"
"Line(03600)", ,"1632", ,"344","57","2033"
