"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report I3H0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(I3H0000)", ,"Entity[558727] Report(I3H0000[00100])","Entity[558727] Report(I3H0000[00200])","Entity[558727] Report(I3H0000[00300])","Entity[558727] Report(I3H0000[00400])","Entity[558727] Report(I3H0000[00500])","Entity[558727] Report(I3H0000[00600])","Entity[558727] Report(I3H0000[00700])","Entity[558727] Report(I3H0000[00800])","Entity[558727] Report(I3H0000[00900])","Entity[558727] Report(I3H0000[01000])"
"Line(00100)", ,"545969","104896","571083","146278","247308","-491004","1239732", ,"2364262","717766"
"Line(00200)", ,"10190","10190","10190","10190","10190","10190","10190","10190"
"Line(00400)", ,"20","20","20","20","20","20","20","20"
"Line(00600)", ,"58","58","58","58","58","58","58","58"
"Line(00700)", ,"23","23","23","23","23","23","23","23"
"Line(00800)", ,"2415","2415","2415","2415","2415","2415","2415","2415"
"Line(01000)", ,"6679","6679","6679","6679","6679","6679","6679","6679"
"Line(01100)", ,"8326","8326","8326","8326","8326","8326","8326","8326"
"Line(01700)", ,"27711","27711","27711","27711","27711","27711","27711","27711", ,"2364262"
