"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report D00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(D00A181)", ,"Entity[558727] Report(D00A181[00100])", ,"Entity[558727] Report(D00A181[00300])","Entity[558727] Report(D00A181[00400])","Entity[558727] Report(D00A181[00500])","Entity[558727] Report(D00A181[00600])","Entity[558727] Report(D00A181[00700])"
"Line(03000)", ,"14084083", ,"14084083","273752","51","76232","3922136"
"Line(03100)", ,"896397", ,"896397","20129","45","6754","300756"
"Line(03200)", ,"616129", ,"616129","14220","43","5772","250101"
"Line(03201)", ,"271025", ,"271025","8176","33"
"Line(03300)", ,"191118", ,"191118","2137","89"
"Line(03402)", ,"190570", ,"190570","4852","39","2119","83234"
"Line(03404)", ,"545783", ,"545783","8591","64","14","889"
"Line(03405)", ,"157172", ,"157172","2526","62","816","50772"
"Line(03406)", ,"1023152", ,"1023152","1757","582","43","25040"
"Line(04000)", ,"256072", ,"256072","6528","39","1532","60100"
"Line(04300)", ,"241143", ,"241143","11157","22"
