"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report D00B182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(D00B182)", ,"Entity[558727] Report(D00B182[00100])","Entity[558727] Report(D00B182[00200])","Entity[558727] Report(D00B182[00300])","Entity[558727] Report(D00B182[00400])","Entity[558727] Report(D00B182[00500])"
"Line(05000)", ,"14992357","677399161","0"
"Line(05001)", ,"428108","25053228","0","4980","85"
"Line(05100)", ,"728391","73921111","0"
"Line(05200)", ,"1019635","58007181","0"
"Line(05300)", ,"859727","43834227","0"
"Line(05301)", ,"453781","30438390","0"
"Line(05400)", ,"15013473","575806314","0","108652","2833"
"Line(05500)", ,"1896904","93025278","0"
"Line(05600)", ,"487248","30150311","0"
"Line(05900)", ,"154224","40810251","0"
"Line(06000)", ,"3709096","658604578","0","401334","2260"
"Line(06001)", ,"78533","10991951","0"
"Line(06002)", ,"345283","15806405","0"
"Line(06300)", ,"287342","74599932","0","121"
"Line(06500)", ,"1421227","128729092","0","31246","345"
"Line(06600)", ,"713712","79138764","0","52842","477"
"Line(06700)", ,"150663","14850511","0","7372","75"
"Line(06800)", ,"554889","15957682","0","2281","79"
"Line(06900)", ,"425439","60550329","0","42082","296"
"Line(07000)", ,"838323","37451982","0","36994","828"
"Line(07100)", ,"127931","127620689","0","11878","12"
"Line(07200)", ,"175326","388231072","0"
"Line(07300)", ,"3482371","867065540","0","497224","1997"
"Line(07303)", ,"353143","60922783","0"
"Line(07400)", ,"695874","38881481","0","12885","231"
"Line(07600)", ,"38777","1707623","0"
"Line(07601)", ,"1487803","82907433","0"
"Line(07602)", ,"35507","2168560","0","219681","3597"
"Line(07603)", ,"917001","110317803","0"
"Line(07604)", ,"331689","7419725","0"
"Line(07608)", ,"102","140942","0"
"Line(07697)", ,"15553","1093026","0"
"Line(08900)", ,"13917","3465643","0"
"Line(09001)", ,"299290","9653063","0"
"Line(09002)", ,"5701740","77279340","0"
"Line(09003)", ,"304983","3168131","0"
"Line(09004)", ,"335506","2779231","0"
"Line(09005)", ,"2"
"Line(09006)", ,"324245","19204896","0","7373","124"
"Line(09007)", ,"691358","9950487","0"
"Line(09008)", ,"37622","871228","0"
"Line(09010)", ,"49001","89779","1"
"Line(09011)", ,"226482","15539173","0"
"Line(09012)", ,"102628","325835","0"
"Line(09014)", ,"5154","4329127","0"
"Line(09017)", ,"148087","1218341","0","46","6"
"Line(09018)", ,"144021","2356762","0"
"Line(09019)", ,"11724","4853912","0"
"Line(09020)", ,"4728","456671","0"
"Line(09021)", ,"23397","179869","0"
"Line(09022)", ,"33696","2118736","0"
"Line(09023)", ,"108416","682288","0"
"Line(09024)", ,"53633","100","536"
"Line(09100)", ,"1662933","338578034","0","184477","906"
"Line(09200)", , ,"37132228"
"Line(09400)", ,"215150","13077463","0"
