"----------"," Entity 558727"," Report K010000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(K010000[00100])","Entity[558727] Report(K010000[00200])","Entity[558727] Report(K010000[00300])", ,"Entity[558727] Report(K010000[00500])","Entity[558727] Report(K010000[00600])","Entity[558727] Report(K010000[00700])","Entity[558727] Report(K010000[00800])","Entity[558727] Report(K010000[00900])","Entity[558727] Report(K010000[01000])", , , , , , , , , 
 , , , , ,"253412","253412","-15048","238364", ,"238364", , , , , , , , , 
 , , , , ,"44649","44649","-44649", , , , , , , , , , , , 
 , , , , ,"45597","45597", ,"45597", ,"45597", , , , , , , , , 
 ,"1079033","322402", , ,"1600951","3002386","-241373","2761013","-318527","2442486", , , , , , , , , 
 ,"10563","3156", , ,"145245","158964","-2363","156601","-50000","106601", , , , , , , , , 
 ,"1740173","519943", , , ,"2260116","-389295","1870821", ,"1870821", , , , , , , , , 
 ,"318522","95170", , , ,"413692","-71257","342435", ,"342435", , , , , , , , , 
 ,"260852","77940", , , ,"338792","-58355","280437", ,"280437", , , , , , , , , 
 , , , , ,"638420","638420","-633399","5021", ,"5021", , , , , , , , , 
 , , ,"48511", , ,"48511", ,"48511", ,"48511", , , , , , , , , 
 , , , , ,"4876","4876", ,"4876", ,"4876", , , , , , , , , 
 , , , , ,"5699","5699", ,"5699", ,"5699", , , , , , , , , 
 , , , , ,"71175","71175","-71175", , , , , , , , , , , , 
 ,"276690","82672", , , ,"359362","-61898","297464", ,"297464", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K110000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , ,"Entity[558727] Report(K110000[00200])","Entity[558727] Report(K110000[00300])", ,"Entity[558727] Report(K110000[00500])", , ,"Entity[558727] Report(K110000[00800])","Entity[558727] Report(K110000[00900])", , , , , , , , , , 
 , ,"97580", , ,"291000", , ,"690453","1079033", , , , , , , , , , 
 , , , , , , , ,"10563","10563", , , , , , , , , , 
 , , , , ,"1740173", , , ,"1740173", , , , , , , , , , 
 , , ,"318522", , , , , ,"318522", , , , , , , , , , 
 , , , , , , , ,"260852","260852", , , , , , , , , , 
 , , , , , , , ,"276690","276690", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K210000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , ,"Entity[558727] Report(K210000[00200])","Entity[558727] Report(K210000[00300])", ,"Entity[558727] Report(K210000[00500])", , ,"Entity[558727] Report(K210000[00800])","Entity[558727] Report(K210000[00900])", , , , , , , , , , 
 , ,"29156", , ,"86947", , ,"206299","322402", , , , , , , , , , 
 , , , , , , , ,"3156","3156", , , , , , , , , , 
 , , , , ,"519943", , , ,"519943", , , , , , , , , , 
 , , ,"95170", , , , , ,"95170", , , , , , , , , , 
 , , , , , , , ,"77940","77940", , , , , , , , , , 
 , , , , , , , ,"82672","82672", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K410001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"Entity[558727] Report(K410001[00000])","Entity[558727] Report(K410001[00100])", ,"Entity[558727] Report(K410001[00300])", , ,"Entity[558727] Report(K410001[00600])","Entity[558727] Report(K410001[00700])", , , , , , , , , , , , 
"238364","238364", , , , , , , , , , , , , , , , , , 
"45597", , ,"45597", , , , , , , , , , , , , , , , 
"2442486","238364", ,"45597", , ,"2726447", , , , , , , , , , , , , 
"106601", , , , , ,"98128","204729", , , , , , , , , , , , 
"1870821", , , , , ,"1722123","3592944", , , , , , , , , , , , 
"342435", , , , , ,"315217","657652", , , , , , , , , , , , 
"280437", , , , , ,"258147","538584", , , , , , , , , , , , 
"5021", , , , , ,"4622","9643", , , , , , , , , , , , 
"48511", , , , , ,"44655","93166", , , , , , , , , , , , 
"4876", , , , , ,"4488","9364", , , , , , , , , , , , 
"5699", , , , , ,"5246","10945", , , , , , , , , , , , 
"297464", , , , , ,"273821","571285", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K410002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(K410002[00100])", ,"Entity[558727] Report(K410002[00300])","Entity[558727] Report(K410002[00400])", ,"Entity[558727] Report(K410002[00600])", , , , , , , , , , , , , 
 ,"7062", , , , , , , , , , , , , , , , , , 
 , , ,"7062", , , , , , , , , , , , , , , , 
 , , , ,"100", , , , , , , , , , , , , , , 
 ,"7062", ,"7062","100", ,"2961865", , , , , , , , , , , , , 
 , , , , , ,"106601", , , , , , , , , , , , , 
 , , , , , ,"1870821", , , , , , , , , , , , , 
 , , , , , ,"342435", , , , , , , , , , , , , 
 , , , , , ,"280437", , , , , , , , , , , , , 
 , , , , , ,"5021", , , , , , , , , , , , , 
 , , , , , ,"48511", , , , , , , , , , , , , 
 , , , , , ,"4876", , , , , , , , , , , , , 
 , , , , , ,"5699", , , , , , , , , , , , , 
 , , , , , ,"297464", , , , , , , , , , , , , 
 ,"238364", ,"45597", , ,"2726447", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K41002* ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(K41002*[00100])","Entity[558727] Report(K41002*[00200])","Entity[558727] Report(K41002*[00300])","Entity[558727] Report(K41002*[00400])","Entity[558727] Report(K41002*[00500])","Entity[558727] Report(K41002*[00600])", , , , , , , , , , , , , 
 ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-", , , , , , , , , , , , , 
 ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &", , , , , , , , , , , , , 
 ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL", , , , , , , , , , , , , 
 ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM.", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
