"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[558727] Report(B000001)","Entity[558727] Report(B000001[00000])","Entity[558727] Report(B000001[00100])","Entity[558727] Report(B000001[00200])", ,"Entity[558727] Report(B000001[00400])", ,"Entity[558727] Report(B000001[00600])","Entity[558727] Report(B000001[00700])","Entity[558727] Report(B000001[00800])", ,"Entity[558727] Report(B000001[01000])","Entity[558727] Report(B000001[01100])", ,"Entity[558727] Report(B000001[01300])","Entity[558727] Report(B000001[01400])","Entity[558727] Report(B000001[01500])","Entity[558727] Report(B000001[01600])","Entity[558727] Report(B000001[01700])","Entity[558727] Report(B000001[01800])", , ,"Entity[558727] Report(B000001[02100])","Entity[558727] Report(B000001[02200])", ,"Entity[558727] Report(B000001[02400])","Entity[558727] Report(B000001[02500])","Entity[558727] Report(B000001[02600])"
"Line(03406)","1358287","403067","597053", ,"275716", ,"277728","891118","4215", ,"85654","4661", ,"132995","67538", ,"10887","48414","3033", , , , , ,"4624767", ,"4624767"
"Line(04000)","3476470","202479","13984", ,"729806", ,"139516","447649","12497", ,"318241","12586", ,"212792","36232", ,"22837","179878","6363", , ,"156606","47484", ,"7086099","-204090","6882009"
"Line(04300)","3951618","155917","50737", ,"832595", ,"107433","344709","7733", , ,"12353", ,"407851","213041", ,"33807","307429","9419", , , , , ,"7560923", ,"7560923"
"Line(05000)","36824522","2156550","11804529", ,"6992035", ,"1485946","4767797","92690", ,"33833","115368", ,"2225445","57795519", ,"1159707","19123","323119", , ,"4445974","1348033", ,"151488730","-5794007","145694723"
"Line(05001)","1320219","63655","347216", ,"254754", ,"43860","140730","6388", , ,"3962", ,"106396","399660", ,"42891", ,"11950", , ,"249746","75724", ,"3730917","-325470","3405447"
"Line(05100)","6138244","482793","187101", ,"1264139", ,"332663","1067381","15624", ,"14333","19578", ,"638375","318971", ,"126553","8101","35260", , ,"12364","3749", ,"12928329","-16113","12912216"
"Line(05200)","7781110","530631","402120", ,"1609742", ,"365625","1173143","52639", ,"191149","24705", ,"727038","503227", ,"99308","108043","27669", , , , , ,"16252094", ,"16252094"
"Line(05300)","1981216","14909","802282", ,"324912", ,"10273","32962", , , ,"6060", ,"88663","2357330", ,"75044", ,"20909", , ,"4703962","1426256", ,"12839751","-6130218","6709533"
"Line(05301)","2918313","186775","247345", ,"580758", ,"128695","412932","1198", , ,"9323", ,"62064","168855", ,"52111", ,"14519", , ,"295904","89719", ,"6080699","-385623","5695076"
"Line(05400)","34909608","2249190","12409384", ,"5831764", ,"1549779","4972612","54457", , ,"89031", ,"514246","8436557", ,"985780", ,"274660", , ,"4870460","1476738", ,"94531208","-6347198","88184010"
"Line(05500)","4783494","417163","1439996", ,"1002621", ,"287441","922282","6794", , ,"10022", ,"62064","249250", ,"159259", ,"44373", , ,"149188","45234", ,"11725881","-194422","11531459"
"Line(05600)","1026151","184459","257017", ,"196310", ,"127099","407811","2924", , ,"2564", , ,"2820413", ,"51617", ,"14382", , , , , ,"5992822", ,"5992822"
"Line(05900)","1032847","106973", , ,"202630", ,"73709","236501","1810", , ,"2098", ,"44332","3042575", ,"69867", ,"19466", , ,"78303","23742", ,"5793464","-102045","5691419"
"Line(06000)","18755531","1643409","1706774", ,"7193293", ,"1132372","3633322","58", , ,"132615", , ,"16996015", ,"1127531", ,"314154", , ,"1824877","553308", ,"68551662","-2378185","66173477"
"Line(06001)","2260334","42260","18817", ,"206260", ,"29119","93430", , , ,"3263", , ,"750416", ,"18818", ,"5243", , ,"34618","10496", ,"3867330","-45114","3822216"
"Line(06002)","1054868","167224","161182", ,"215316", ,"115224","369707", , , ,"3496", ,"53198","592661", ,"27061", ,"7540", , ,"81600","24741", ,"3366427","-106341","3260086"
"Line(06300)","3323044","84945","77514", ,"704050", ,"58531","187801", , , ,"10954", , ,"8640426", ,"127715", ,"35584", , ,"222546","67477", ,"15434222","-290023","15144199"
"Line(06500)","21290173","236948","1065273", ,"4471928", ,"163267","523856","354", , ,"75047", ,"17733","2582502", ,"220384", ,"61404", , , , , ,"35869834", ,"35869834"
"Line(06600)","12567981","389916","261270", ,"2515681", ,"268667","862044","10394", , ,"37291", , ,"488307", ,"135486", ,"37749", , ,"55224","16744", ,"20081307","-71968","20009339"
"Line(06700)","2394739","114886","23521", ,"508760", ,"79161","253996","9", , ,"7924", , ,"60434", ,"25424", ,"7084", , , , , ,"4107563", ,"4107563"
"Line(06800)","3420507","243321","273512", ,"721180", ,"167657","537944","132", , ,"11420", ,"44332","1436518", ,"27320", ,"7612", , ,"559662","169691", ,"8892902","-729353","8163549"
"Line(06900)","2245500","105461","303519", ,"580022", ,"72666","233157","3303", , ,"10022", ,"35465","41418", ,"103662", ,"28883", , ,"388219","117709", ,"5425376","-505928","4919448"
"Line(07000)","4577285","184658","627870", ,"883315", ,"127236","408250","374", , ,"13984", , ,"197626", ,"64118", ,"17865", , ,"309092","93718", ,"8892456","-402810","8489646"
"Line(07100)","34775848","28967", , ,"44253", ,"19960","64042", , , ,"699", , ,"109315", ,"218487", ,"60875", , , , , ,"38930665", ,"38930665"
"Line(07200)","60197532", , , , , , , , , , , , , , , ,"664652", ,"185186", , , , , ,"68631056", ,"68631056"
"Line(07300)","137297780", , , , , , , , , , , , , , ,"96684258","1487253", ,"412014", , , , , ,"254840056", ,"254840056"
"Line(07303)","8411272","53945","266434", ,"1621208", ,"37170","119264","37", , ,"22841", , , , ,"104300", ,"29060", , , , , ,"12550085", ,"12550085"
"Line(07400)","7337798","322026","305956", ,"1413543", ,"221888","711950","23513", ,"7264","24938", ,"452182","1384365", ,"66565","4106","18546", , ,"211007","63978", ,"14529557","-1366221","13163336"
"Line(07600)","554202", ,"35153", ,"117448", , , , , , ,"1165", ,"35465","64737", ,"2923", ,"815", , , , , ,"915163", ,"915163"
"Line(07601)","3815887","91412","1319001", ,"468840", ,"62986","202097","579", , ,"7924", ,"88663","4364051", ,"141938", ,"39547", , ,"337940","102465", ,"12673021","-440405","12232616"
"Line(07602)","203988","26973","6025", ,"39603", ,"18585","59632", , , ,"466", ,"17733","15410", ,"3713", ,"1034", , , , , ,"659474", ,"659474"
"Line(07603)","6186606","289239","542868", ,"936719", ,"199297","639463","12189", ,"634","13052", ,"177326","3530601", ,"188864","358","52622", , , , , ,"15516274", ,"15516274"
"Line(07604)","4560392","248984","40813", ,"953077", ,"171559","550464","16079", ,"48165","16548", ,"443316","323576", ,"12703","27224","3539", , ,"31321","9497", ,"8738544","-40818","8697726"
