"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[558727] Report(B000001)","Entity[558727] Report(B000001[00000])","Entity[558727] Report(B000001[00100])","Entity[558727] Report(B000001[00200])", ,"Entity[558727] Report(B000001[00400])", ,"Entity[558727] Report(B000001[00600])","Entity[558727] Report(B000001[00700])","Entity[558727] Report(B000001[00800])", ,"Entity[558727] Report(B000001[01000])","Entity[558727] Report(B000001[01100])", ,"Entity[558727] Report(B000001[01300])","Entity[558727] Report(B000001[01400])","Entity[558727] Report(B000001[01500])","Entity[558727] Report(B000001[01600])","Entity[558727] Report(B000001[01700])","Entity[558727] Report(B000001[01800])", , ,"Entity[558727] Report(B000001[02100])","Entity[558727] Report(B000001[02200])", ,"Entity[558727] Report(B000001[02400])","Entity[558727] Report(B000001[02500])","Entity[558727] Report(B000001[02600])"
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report B100000 ","-------------","-------------","-----------",""
"","","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[558727] Report(B100000)", ,"Entity[558727] Report(B100000[00100])","Entity[558727] Report(B100000[00200])", ,"Entity[558727] Report(B100000[00400])", ,"Entity[558727] Report(B100000[00600])","Entity[558727] Report(B100000[00700])","Entity[558727] Report(B100000[00800])", ,"Entity[558727] Report(B100000[01000])","Entity[558727] Report(B100000[01100])", ,"Entity[558727] Report(B100000[01300])","Entity[558727] Report(B100000[01400])","Entity[558727] Report(B100000[01500])","Entity[558727] Report(B100000[01600])","Entity[558727] Report(B100000[01700])","Entity[558727] Report(B100000[01800])", , ,"Entity[558727] Report(B100000[02100])","Entity[558727] Report(B100000[02200])"
"Line(00000)"
"Line(00100)", ,"4101962"
"Line(00101)"
"Line(00200)", , ,"44084027"
"Line(00400)", ,"1290", , ,"588073040"
"Line(00501)"
"Line(00502)", ,"2084", , ,"36881"
"Line(00503)", ,"2260","166052", ,"9876"
"Line(00504)", ,"1421"
"Line(00505)"
"Line(00506)", ,"111394","2244838", ,"13561330"
"Line(00600)", ,"25933","1252", ,"335017", ,"3957580"
"Line(00700)", ,"2614","63312", ,"1689343", ,"2614","3954966"
"Line(00800)", ,"33264","1027", ,"1012", ,"33264","33264","6202025"
"Line(00901)"
"Line(00902)"
"Line(00903)", ,"1845", , ,"326102", ,"1845","1845","296"
"Line(01000)", ,"39630","127405", ,"8515641", ,"39630","39630", , ,"960978"
"Line(01100)", ,"1276", , ,"106338", ,"1276","1276", , , ,"8928"
"Line(01300)", ,"31215","210659", ,"15941220", ,"31215","31215", , , ,"232", ,"3463"
"Line(01400)", ,"50055","458315", ,"2628058", ,"50055","50055","22417", , ,"68", , ,"211377734"
"Line(01500)", ,"57138","1639137", ,"27776974", ,"57138","57138","1128", , ,"340", ,"1","2198345","137297780"
"Line(01600)", ,"951", , ,"330389", ,"951","951", , , ,"6", , , , ,"2147483647"
"Line(01700)", ,"5623","1854", ,"4349056", ,"5623","5623","18", , ,"81", , ,"1267", , ,"339659"
"Line(01800)", ,"910","56491", ,"1832666", ,"910","910", , , ,"58", , ,"5228", , , ,"2147483647"
"Line(02100)", ,"3259", , ,"29490593", ,"3259","3259","1152", , ,"576", , ,"52", , , , , , ,"61236"
"Line(02200)", ,"46555","12918", ,"528555", ,"46555","46555","7506", , ,"7", , ,"9858", , , , , , , ,"61236"
"Line(02301)", ,"10501","16650", ,"129859", ,"10501","10501", , , ,"2", , ,"63"
"Line(02302)", ,"3869", , ,"867773", ,"3869","3869", , , ,"12"
"Line(02303)", ,"3715", , ,"377233", ,"3715","3715", , , ,"5", , ,"3781"
"Line(02304)", ,"3611", , ,"231656", ,"3611","3611", , , ,"4"
"Line(02305)", , , , ,"561480", , , , , , ,"14"
"Line(02306)", , , , ,"480945", , , , , , ,"7", , ,"7258"
"Line(02307)", , ,"2283", ,"1141038", , , , , , ,"19"
"Line(02308)"
"Line(02309)", ,"2289", , ,"225919", ,"2289","2289", , , ,"4", , ,"338"
"Line(02310)", ,"2238", , ,"233988", ,"2238","2238", , , ,"4", , ,"2491"
"Line(02311)"
"Line(03000)", ,"743966","3779177", ,"121235620", ,"743966","743966","3094658", ,"757647","1962", ,"1575","13674503", ,"652862620","252549","652862620", , ,"16572","16572"
"Line(03100)", ,"49708","179664", ,"13709675", ,"49708","49708","269604", ,"60387","209", ,"181","2120150", ,"69896293","20129","69896293", , ,"1485","1485"
"Line(03200)", ,"39188","77748", ,"10377015", ,"39188","39188","262306", ,"42660","158", ,"140","2056826", ,"51608917","14220","51608917", , ,"643","643"
"Line(03201)", ,"8262","112721", ,"4249564", ,"8262","8262","17716", , ,"59", ,"52","365011", ,"22988128","8176","22988128", , ,"1350","1350"
"Line(03300)", ,"15080","21835", ,"1385606", ,"15080","15080","17759", ,"6411","19", ,"15","143057", ,"6884092","2137","6884092"
"Line(03402)", , ,"101964", ,"3464880", , , ,"80703", ,"14556","55", ,"51","1011417", ,"16993286","4852","16993286", , ,"8","8"
"Line(03404)", ,"29217","130819", ,"7664070", ,"29217","29217","59673", ,"25773","118", ,"105","1087372", ,"39188816","8591","39188816", , ,"800","800"
"Line(03405)", ,"13559","1200", ,"1926985", ,"13559","13559","59739", ,"7578","31", ,"29","411092", ,"8713506","2526","8713506", , ,"7","7"
"Line(03406)", ,"42634","427036", ,"1197740", ,"42634","42634","20718", ,"5271","20", ,"15","102722", ,"6358954","1757","6358954"
"Line(04000)", ,"21417","10002", ,"3170353", ,"21417","21417","61434", ,"19584","54", ,"24","55107", ,"13339174","6528","13339174", , ,"190","190"
"Line(04300)", ,"16492","36289", ,"3616882", ,"16492","16492","38013", , ,"53", ,"46","324026", ,"19747015","11157","19747015"
"Line(05000)", ,"228107","8443072", ,"30374136", ,"228107","228107","455647", ,"2082","495", ,"251","87904422", ,"677399161","694","677399161", , ,"5394","5394"
"Line(05001)", ,"6733","248343", ,"1106680", ,"6733","6733","31400", , ,"17", ,"12","607864", ,"25053228", ,"25053228", , ,"303","303"
"Line(05100)", ,"51067","133822", ,"5491552", ,"51067","51067","76805", ,"882","84", ,"72","485141", ,"73921112","294","73921112", , ,"15","15"
"Line(05200)", ,"56127","287612", ,"6992890", ,"56127","56127","258762", ,"11763","106", ,"82","765385", ,"58007181","3921","58007181"
"Line(05300)", ,"1577","573824", ,"1411453", ,"1577","1577", , , ,"26", ,"10","3585391", ,"43834226", ,"43834226", , ,"5707","5707"
"Line(05301)", ,"19756","176911", ,"2522875", ,"19756","19756","5888", , ,"40", ,"7","256821", ,"30438390", ,"30438390", , ,"359","359"
"Line(05400)", ,"237906","8875676", ,"25333795", ,"237906","237906","267701", , ,"382", ,"58","12831617", ,"575806314", ,"575806314", , ,"5909","5909"
"Line(05500)", ,"44125","1029943", ,"4355493", ,"44125","44125","33399", , ,"43", ,"7","379098", ,"93025278", ,"93025278", , ,"181","181"
"Line(05600)", ,"19511","183829", ,"852791", ,"19511","19511","14373", , ,"11", , ,"4289719", ,"30150310", ,"30150310"
"Line(05900)", ,"11315", , ,"880245", ,"11315","11315","8896", , ,"9", ,"5","4627617", ,"40810250", ,"40810250", , ,"95","95"
"Line(06000)", ,"173830","1220753", ,"31248421", ,"173830","173830","286", , ,"569", , ,"25850160", ,"658604578", ,"658604578", , ,"2214","2214"
"Line(06001)", ,"4470","13459", ,"896016", ,"4470","4470", , , ,"14", , ,"1141349", ,"10991952", ,"10991952", , ,"42","42"
"Line(06002)", ,"17688","115284", ,"935354", ,"17688","17688", , , ,"15", ,"6","901410", ,"15806405", ,"15806405", , ,"99","99"
"Line(06300)", ,"8985","55441", ,"3058469", ,"8985","8985", , , ,"47", , ,"13141692", ,"74599932", ,"74599932", , ,"270","270"
"Line(06500)", ,"25063","761926", ,"19426527", ,"25063","25063","1742", , ,"322", ,"2","3927867", ,"128729092", ,"128729092"
"Line(06600)", ,"41243","186871", ,"10928383", ,"41243","41243","51097", , ,"160", , ,"742693", ,"79138764", ,"79138764", , ,"67","67"
"Line(06700)", ,"12152","16823", ,"2210105", ,"12152","12152","43", , ,"34", , ,"91917", ,"14850510", ,"14850510"
"Line(06800)", ,"25737","195627", ,"3132880", ,"25737","25737","650", , ,"49", ,"5","2184878", ,"15957682", ,"15957682", , ,"679","679"
"Line(06900)", ,"11155","217089", ,"2519675", ,"11155","11155","16235", , ,"43", ,"4","62995", ,"60550329", ,"60550329", , ,"471","471"
"Line(07000)", ,"19532","449078", ,"3837212", ,"19532","19532","1840", , ,"60", , ,"300580", ,"37451983", ,"37451983", , ,"375","375"
"Line(07100)", ,"3064", , ,"192239", ,"3064","3064", , , ,"3", , ,"166263", ,"127620689", ,"127620689"
"Line(07200)", , , , , , , , , , , , , , , , ,"388231072", ,"388231072"
"Line(07300)", , , , , , , , , , , , , , , ,"137297780","867065540", ,"867065540"
"Line(07303)", ,"5706","190564", ,"7042698", ,"5706","5706","182", , ,"98", , , , ,"60922783", ,"60922783"
"Line(07400)", ,"34062","218832", ,"6140578", ,"34062","34062","115586", ,"447","107", ,"51","2105556", ,"38881482","149","38881482", , ,"256","256"
"Line(07600)", , ,"25143", ,"510207", , , , , , ,"5", ,"4","98462", ,"1707623", ,"1707623"
"Line(07601)", ,"9669","943402", ,"2036692", ,"9669","9669","2844", , ,"34", ,"10","6637522", ,"82907433", ,"82907433", , ,"410","410"
"Line(07602)", ,"2853","4309", ,"172039", ,"2853","2853", , , ,"2", ,"2","23438", ,"2168560", ,"2168560"
"Line(07603)", ,"30594","388281", ,"4069207", ,"30594","30594","59921", ,"39","56", ,"20","5369883", ,"110317803","13","110317803"
"Line(07604)", ,"26336","29191", ,"4140268", ,"26336","26336","79039", ,"2964","71", ,"50","492144", ,"7419725","988","7419725", , ,"38","38"
"Line(07606)", , , , , , , , , , , , , , , , , , , , , ,"59","59"
"Line(07607)", , , , , , , , , , , , , , , , , , , , , ,"2","2"
"Line(07608)", , , , ,"27282", , , , , , , , , , , ,"140942", ,"140942"
"Line(07697)", ,"1188","1196", ,"278893", ,"1188","1188","18", , ,"4", ,"3","3407", ,"1093026", ,"1093026"
"Line(08900)", , , , ,"3190298", , , , , , ,"60", , , , ,"3465643", ,"3465643"
"Line(09001)", ,"20275","64746", ,"2071221", ,"20275","20275","22704", , ,"45", ,"13","92095", ,"9653063", ,"9653063", , ,"453","453"
"Line(09002)", ,"129062","3086608", ,"25265406", ,"129062","129062","27314", , ,"268", ,"52","1611789", ,"77279340", ,"77279340", , ,"2524","2524"
"Line(09003)", ,"335","214298", ,"225317", ,"335","335", , , ,"6", , ,"6731", ,"3168130", ,"3168130", , ,"406","406"
"Line(09004)", ,"28811","39023", ,"375336", ,"28811","28811","21", , ,"6", ,"3","805", ,"2779231", ,"2779231", , ,"1082","1082"
"Line(09005)", , , , , , , , , , , , , , ,"119"
"Line(09006)", ,"11438","144050", ,"2144224", ,"11438","11438","6016", , ,"35", ,"8","55402", ,"19204895", ,"19204895", , ,"8","8"
"Line(09007)", ,"37790","218453", ,"4315886", ,"37790","37790","18215", , ,"77", ,"33","272780", ,"9950487", ,"9950487", , ,"858","858"
"Line(09008)", ,"425","23132", ,"102346", ,"425","425", , , ,"1", ,"1","65721", ,"871228", ,"871228", , ,"1928","1928"
"Line(09010)", ,"4653","2725", ,"22190", ,"4653","4653", , , , , , ,"935", ,"89780", ,"89780", , ,"607","607"
"Line(09011)", ,"13321","60472", ,"2348987", ,"13321","13321", , , ,"40", , ,"93267", ,"15539173", ,"15539173", , ,"1","1"
"Line(09012)", ,"10113","2202", ,"265781", ,"10113","10113", , , ,"5", ,"2","9121", ,"325835", ,"325835", , ,"26","26"
"Line(09014)", , ,"2644", ,"150766", , , ,"17", , ,"3", ,"2","22335", ,"4329127", ,"4329127", , ,"356","356"
"Line(09015)", , , , , , , , , , , , , , , , , , , , , ,"952","952"
"Line(09016)", , , , , , , , , , , , , , , , , , , , , ,"128","128"
"Line(09017)", ,"13959","6308", ,"688398", ,"13959","13959","3800", , ,"18", ,"3","17305", ,"1218341", ,"1218341", , ,"110","110"
"Line(09018)", ,"8578","40496", ,"575158", ,"8578","8578","5809", , ,"14", ,"6","101433", ,"2356762", ,"2356762"
"Line(09019)", , ,"5033", ,"661479", , , , , , ,"10", ,"5","44617", ,"4853912", ,"4853912", , ,"1115","1115"
"Line(09020)", , ,"1853", ,"347116", , , , , , ,"7", ,"2","19307", ,"456671", ,"456671", , ,"10","10"
"Line(09021)", ,"2107","1417", ,"137527", ,"2107","2107", , , ,"2", ,"2","802", ,"179869", ,"179869"
"Line(09022)", , ,"21280", ,"824017", , , , , , ,"12", ,"1","2816", ,"2118737", ,"2118737"
"Line(09023)", ,"10916", , ,"483432", ,"10916","10916","3026", , ,"11", ,"4","21037", ,"682288", ,"682288"
"Line(09024)", ,"4578","2540", ,"1047428", ,"4578","4578", , , ,"18", ,"5","5292"
"Line(09100)", ,"111454","283311", ,"17674897", ,"111454","111454","579316", ,"15","291", ,"217","3033599", ,"338578035","5","338578035", , ,"5413","5413"
"Line(09400)", ,"11683","58054", ,"849755", ,"11683","11683", , , ,"13", ,"7","1885576", ,"13077462", ,"13077462"
"Line(09500)", , ,"2208601", ,"7188385", , , , , , ,"107", ,"43","262589", ,"67798760", ,"67798760"
"Line(10100)", ,"23805","190884", ,"19125483", ,"23805","23805", , , ,"310", ,"63","171909", ,"79074743", ,"79074743"
"Line(10500)", ,"4596","158347", ,"2229775", ,"4596","4596", , , ,"30", , ,"88930", ,"33332836", ,"33332836"
"Line(10600)", ,"2220","10670", ,"244751", ,"2220","2220", , , ,"3", , ,"35", ,"5194302", ,"5194302"
"Line(10700)", ,"2298","60354", ,"895387", ,"2298","2298", , , ,"12", , ,"31979", ,"21049782", ,"21049782"
"Line(10800)", ,"3782","24438", ,"455665", ,"3782","3782", , , ,"6", , ,"16", ,"8995990", ,"8995990", , ,"29","29"
"Line(10900)", ,"849","30909", ,"235076", ,"849","849", , , ,"3", , ,"13831", ,"6590488", ,"6590488"
"Line(11000)", ,"331","5412", ,"147716", ,"331","331", , , ,"2", , ,"2166", ,"2940904", ,"2940904"
"Line(11200)", , ,"6445", ,"160505", , , , , , ,"2", , ,"13488"
"Line(11201)", ,"10965","205915", ,"3304931", ,"10965","10965", , , ,"43", ,"1","86384"
"Line(11600)", ,"6697","44649", ,"3709354", ,"6697","6697", , ,"2919","66", ,"28","71175", ,"17228308","973","17228308"
"Line(11800)", ,"3029055","42092218", ,"567296380", ,"2884673","2882059","6163432", ,"960978","8609", ,"3396","210660641","137297780","2147483647","339659","2147483647", , ,"60006","60006"
"Line(19000)", ,"17609","639", , , ,"17609","17609", , , ,"15"
"Line(19100)", ,"28428","52342", ,"3263841", ,"28428","28428","4278", , ,"43", ,"11","335830", , , , , , ,"956","956"
"Line(19101)", ,"7934", , , , ,"7934","7934","15527", , , , , ,"35679"
"Line(19102)", ,"1563","28691", ,"1898538", ,"1563","1563", , , ,"17", ,"7","11415"
"Line(19200)", ,"1054","1745", ,"97820", ,"1054","1054", , , ,"1", , , , , , , , , ,"49","49"
"Line(19201)", ,"156106","411790", ,"6364723", ,"156106","156106","18788", , ,"122", ,"15","185975", , , , , , ,"11","11"
"Line(19202)", ,"5056","792967", ,"3385661", ,"5056","5056", , , ,"45", ,"28","23985", , , , , , ,"100","100"
"Line(19203)", ,"693465", , ,"720", ,"693465","693465"
"Line(19204)", , , , ,"100381", , , , , , ,"1", , , , , , , , , ,"23","23"
"Line(19206)", , ,"929", ,"30470", , , , , , ,"1", , , , , , , , , ,"1","1"
"Line(19207)", , ,"2144", ,"150306", , , , , , ,"3", , ,"92678"
"Line(19208)", ,"14506","672028", ,"4635009", ,"14506","14506", , , ,"58", , ,"5518", , , , , , ,"61","61"
"Line(19209)", , , , ,"33994", , , , , , ,"1", , ,"4699"
"Line(19210)", , ,"28534", ,"815197", , , , , , ,"12", ,"6","21314", , , , , , ,"29","29"
"Line(19211)", ,"147186", , , , ,"147186","147186"
"Line(20200)", ,"38780415","61635308", ,"135372774", ,"25780657","82665048","1261651", ,"15615939","2080818", ,"30704052","138976996","96684258","10436741","9359248","2905532", , ,"50473425","15303698"
"Line(20300)", ,"9","1", ,"0", ,"7","21","0", ,"16","233", ,"8866","1","1","0","28","0", , ,"824","250"
"Line(20400)", , , , ,"12196", ,"310009","315495","322135", ,"595367","17283", ,"668686","1464174","3089859","34619","79589","94975", , ,"156036","500936"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report B200010 ","-------------","-------------","-----------",""
"","DESCRIPTION","PART","LINE NO.","AMOUNT",""
"","1","2","3","4",""
"1"," Adjustment for EPO costs in Renal Dialysis cost center","1","74","","1"
"2"," Adjustment for EPO costs in Home Program Dialysis cost center","1","94","","2"
"3"," Adjustment for ARANESP costs in Renal Dialysis cost center","1","74","","3"
"4"," Adjustment for ARANESP costs in Home Program Dialysis cost center","1","94","","4"
"5","","","","","5"
"6","","","","","6"
"7","","","","","7"
"8","","","","","8"
"9","","","","","9"
"10","","","","","10"
"11","","","","","11"
"12","","","","","12"
"13","","","","","13"
"14","","","","","14"
"15","","","","","15"
"16","","","","","16"
"17","","","","","17"
"18","","","","","18"
"19","","","","","19"
"20","","","","","20"
"21","","","","","21"
"22","","","","","22"
"23","","","","","23"
"24","","","","","24"
"25","","","","","25"
"26","","","","","26"
"27","","","","","27"
"28","","","","","28"
"29","","","","","29"
"30","","","","","30"
"31","","","","","31"
"32","","","","","32"
"33","","","","","33"
"34","","","","","34"
"35","","","","","35"
"36","","","","","36"
"37","","","","","37"
"38","","","","","38"
"39","","","","","39"
"40","","","","","40"
"41","","","","","41"
"42","","","","","42"
"43","","","","","43"
"44","","","","","44"
"45","","","","","45"
"46","","","","","46"
"47","","","","","47"
"48","","","","","48"
"49","","","","","49"
"50","","","","","50"
"51","","","","","51"
"52","","","","","52"
"53","","","","","53"
"54","","","","","54"
"55","","","","","55"
"56","","","","","56"
"57","","","","","57"
"58","","","","","58"
"59","","","","","59"
"Entity[558727] Report(B200010)", ,"Entity[558727] Report(B200010[00100])","Entity[558727] Report(B200010[00200])","Entity[558727] Report(B200010[00300])","Entity[558727] Report(B200010[00400])"
"Line(00500)", ,"ADJ FOR ESA COSTS IN RENAL DIALYSIS","1","74","-1091236"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
