"----------"," Entity 565497"," Report K010000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(K010000[00100])", ,"Entity[565497] Report(K010000[00300])", ,"Entity[565497] Report(K010000[00500])","Entity[565497] Report(K010000[00600])","Entity[565497] Report(K010000[00700])","Entity[565497] Report(K010000[00800])","Entity[565497] Report(K010000[00900])","Entity[565497] Report(K010000[01000])", , , , , , , , , 
 ,"111164", , , ,"158095","269259","-3629","265630","46155","311785", , , , , , , , , 
 ,"284372", ,"27917", ,"124217","436506", ,"436506", ,"436506", , , , , , , , , 
 ,"24890", , , , ,"24890", ,"24890", ,"24890", , , , , , , , , 
 , , ,"2443", , ,"2443", ,"2443", ,"2443", , , , , , , , , 
 ,"53387", , , , ,"53387", ,"53387", ,"53387", , , , , , , , , 
 ,"44853", ,"4403", , ,"49256", ,"49256", ,"49256", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K110000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(K110000[00100])", ,"Entity[565497] Report(K110000[00300])", ,"Entity[565497] Report(K110000[00500])", ,"Entity[565497] Report(K110000[00700])","Entity[565497] Report(K110000[00800])","Entity[565497] Report(K110000[00900])", , , , , , , , , , 
 ,"39545", , , , , , ,"71619","111164", , , , , , , , , , 
 , , , , ,"284372", , , ,"284372", , , , , , , , , , 
 , , ,"24890", , , , , ,"24890", , , , , , , , , , 
 , , , , , , , ,"53387","53387", , , , , , , , , , 
 , , , , , , ,"44853", ,"44853", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K410001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"Entity[565497] Report(K410001[00000])", , , , , ,"Entity[565497] Report(K410001[00600])","Entity[565497] Report(K410001[00700])", , , , , , , , , , , , 
"311785", , , , , ,"311785", , , , , , , , , , , , , 
"436506", , , , , ,"240247","676753", , , , , , , , , , , , 
"24890", , , , , ,"13699","38589", , , , , , , , , , , , 
"2443", , , , , ,"1345","3788", , , , , , , , , , , , 
"53387", , , , , ,"29384","82771", , , , , , , , , , , , 
"49256", , , , , ,"27110","76366", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K410002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , , , , , ,"Entity[565497] Report(K410002[00600])", , , , , , , , , , , , , 
 , , , , , ,"1132964", , , , , , , , , , , , , 
 , , , , , ,"873012", , , , , , , , , , , , , 
