"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report D00C182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(D00C182)", ,"Entity[565497] Report(D00C182[00100])","Entity[565497] Report(D00C182[00200])","Entity[565497] Report(D00C182[00300])","Entity[565497] Report(D00C182[00400])","Entity[565497] Report(D00C182[00500])"
"Line(05000)", ,"7176383","147215626","0","46788","2281"
"Line(05001)", ,"1081288","46355543","0"
"Line(05100)", ,"732703","44012079","0","30037","500"
"Line(05200)", ,"536648","9995581","0"
"Line(05300)", ,"602009","84223125","0","29308","209"
"Line(05400)", ,"2592221","84323655","0","360129","11071"
"Line(05401)", ,"191754","22157371","0","48324","418"
"Line(05600)", ,"850614","36495266","0","94586","2205"
"Line(05700)", ,"711691","123670968","0","426412","2454"
"Line(05800)", ,"1527288","68790968","0","202795","4502"
"Line(05900)", ,"2036082","74831218","0","45400","1235"
"Line(06000)", ,"1164942","338090153","0","2733964","9421"
"Line(06001)", ,"588187","30675963","0","30554","586"
"Line(06003)", , ,"122"
"Line(06300)", ,"275294","39265158","0","135269","948"
"Line(06500)", ,"599973","49340454","0","933810","11355"
"Line(06600)", ,"155975","21589155","0","35865","259"
"Line(06700)", ,"37003","8023225","0","508971","2347"
"Line(06800)", ,"610378","2190886","0","148815","41460"
"Line(06900)", ,"1876211","112335481","0","133775","2234"
"Line(07000)", ,"286641","8058241","0","17375","618"
"Line(07100)", ,"511820","1703001","0","56809","17073"
"Line(07300)", ,"437194","133471930","0","3030122","9927"
"Line(07400)", ,"343059","30845086","0","201766","2244"
"Line(07500)", ,"3"
"Line(07600)", ,"198668","3340210","0","19880","1182"
"Line(07601)", ,"73962","545333","0"
"Line(07604)", ,"92864","11746585","0","180285","1425"
"Line(07607)", ,"1371115","33762036","0","31621","1284"
"Line(07609)", ,"8346","2335915","0"
"Line(07610)", ,"3129","284726","0"
"Line(07611)", ,"2988","115","26"
"Line(09000)", ,"86920","1029864","0"
"Line(09001)", ,"18840","511214","0"
"Line(09002)", ,"1365885","73416406","0"
"Line(09003)", ,"181841","154005","1"
"Line(09007)", ,"5205949","132715798","0","112989","4432"
"Line(09008)", ,"311597","26582958","0"
"Line(09009)", ,"84711","2968365","0"
"Line(09010)", ,"100310","9469831","0"
"Line(09012)", ,"124781","5598727","0"
"Line(09014)", ,"62191","5618848","0"
"Line(09015)", ,"60114","4918320","0"
"Line(09016)", ,"68025","9338512","0"
"Line(09018)", ,"67012","1896619","0"
"Line(09020)", ,"83226","5526441","0"
"Line(09021)", ,"78044","2998231","0"
"Line(09022)", ,"190786","18658366","0"
"Line(09023)", ,"27470","1960755","0"
"Line(09024)", ,"69675","4283775","0"
"Line(09025)", ,"52157","1692122","0"
"Line(09026)", ,"1403","511547","0"
"Line(09027)", ,"1"
"Line(09028)", ,"53165","19053063","0"
"Line(09029)", ,"2570858","64388625","0"
"Line(09030)", ,"15869","9137102","0"
"Line(09031)", ,"78","129355","0"
"Line(09032)", ,"258","85976","0"
"Line(09100)", ,"794222","105505982","0","154157","1160"
"Line(09201)", ,"40645","19064685","0"
"Line(09700)", ,"2965","2135817","0"
