"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(D00A182)", ,"Entity[565497] Report(D00A182[00100])","Entity[565497] Report(D00A182[00200])","Entity[565497] Report(D00A182[00300])","Entity[565497] Report(D00A182[00400])","Entity[565497] Report(D00A182[00500])"
"Line(05000)", ,"7176383","147215626","0","54845764","2673566"
"Line(05001)", ,"1081288","46355543","0","62333","1454"
"Line(05100)", ,"732703","44012079","0","10268304","170947"
"Line(05200)", ,"536648","9995581","0","217823","11695"
"Line(05300)", ,"602009","84223125","0","28629766","204646"
"Line(05400)", ,"2592221","84323655","0","17857162","548947"
"Line(05401)", ,"191754","22157371","0","2599670","22498"
"Line(05600)", ,"850614","36495266","0","2274658","53018"
"Line(05700)", ,"711691","123670968","0","23053235","132671"
"Line(05800)", ,"1527288","68790968","0","8528539","189351"
"Line(05900)", ,"2036082","74831218","0","17432805","474329"
"Line(06000)", ,"1164942","338090153","0","77911645","268484"
"Line(06001)", ,"588187","30675963","0","4082992","78287"
"Line(06003)", , ,"122"
"Line(06300)", ,"275294","39265158","0","14200553","99560"
"Line(06500)", ,"599973","49340454","0","23076143","280606"
"Line(06600)", ,"155975","21589155","0","4045844","29231"
"Line(06700)", ,"37003","8023225","0","2559454","11804"
"Line(06800)", ,"610378","2190886","0","1051260","292880"
"Line(06900)", ,"1876211","112335481","0","26944633","450029"
"Line(07000)", ,"286641","8058241","0","1565664","55692"
"Line(07100)", ,"511820","1703001","0"
"Line(07300)", ,"437194","133471930","0"
"Line(07400)", ,"343059","30845086","0","3527533","39233"
"Line(07500)", ,"3"
"Line(07600)", ,"198668","3340210","0","873898","51978"
"Line(07601)", ,"73962","545333","0"
"Line(07604)", ,"92864","11746585","0","2977624","23541"
"Line(07607)", ,"1371115","33762036","0","3581669","145455"
"Line(07609)", ,"8346","2335915","0","412074","1472"
"Line(07610)", ,"3129","284726","0","181","2"
"Line(07611)", ,"2988","115","26"
"Line(09000)", ,"86920","1029864","0","2389","202"
"Line(09001)", ,"18840","511214","0","314622","11595"
"Line(09002)", ,"1365885","73416406","0","624948","11627"
"Line(09003)", ,"181841","154005","1"
"Line(09007)", ,"5205949","132715798","0","1432204","56180"
"Line(09008)", ,"311597","26582958","0","72716","852"
"Line(09009)", ,"84711","2968365","0","3568","102"
"Line(09010)", ,"100310","9469831","0","5113","54"
"Line(09012)", ,"124781","5598727","0","6099","136"
"Line(09014)", ,"62191","5618848","0","59071","654"
"Line(09015)", ,"60114","4918320","0","7548","92"
"Line(09016)", ,"68025","9338512","0","10023","73"
"Line(09018)", ,"67012","1896619","0","3987","141"
"Line(09020)", ,"83226","5526441","0","3196","48"
"Line(09021)", ,"78044","2998231","0","2278","59"
"Line(09022)", ,"190786","18658366","0","26549","271"
"Line(09023)", ,"27470","1960755","0","2739","38"
"Line(09024)", ,"69675","4283775","0"
"Line(09025)", ,"52157","1692122","0","408","13"
"Line(09026)", ,"1403","511547","0"
"Line(09027)", ,"1"
"Line(09028)", ,"53165","19053063","0","18411","51"
"Line(09029)", ,"2570858","64388625","0","153026","6110"
"Line(09030)", ,"15869","9137102","0","17872","31"
"Line(09031)", ,"78","129355","0"
"Line(09032)", ,"258","85976","0","214","1"
"Line(09100)", ,"794222","105505982","0","20929365","157556"
"Line(09200)", ,"449768"
"Line(09201)", ,"40645","19064685","0","5273","11"
"Line(09700)", ,"2965","2135817","0"
