"----------"," Entity 565497"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[565497] Report(B000001[00000])","Entity[565497] Report(B000001[00100])","Entity[565497] Report(B000001[00200])", ,"Entity[565497] Report(B000001[00400])", , ,"Entity[565497] Report(B000001[00700])","Entity[565497] Report(B000001[00800])","Entity[565497] Report(B000001[00900])","Entity[565497] Report(B000001[01000])","Entity[565497] Report(B000001[01100])", ,"Entity[565497] Report(B000001[01300])","Entity[565497] Report(B000001[01400])","Entity[565497] Report(B000001[01500])","Entity[565497] Report(B000001[01600])","Entity[565497] Report(B000001[01700])", ,"Entity[565497] Report(B000001[01900])", ,"Entity[565497] Report(B000001[02100])", , ,"Entity[565497] Report(B000001[02400])","Entity[565497] Report(B000001[02500])","Entity[565497] Report(B000001[02600])"
"","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[565497] Report(B000002[00100])","Entity[565497] Report(B000002[00200])", ,"Entity[565497] Report(B000002[00400])", , ,"Entity[565497] Report(B000002[00700])","Entity[565497] Report(B000002[00800])","Entity[565497] Report(B000002[00900])","Entity[565497] Report(B000002[01000])","Entity[565497] Report(B000002[01100])", ,"Entity[565497] Report(B000002[01300])","Entity[565497] Report(B000002[01400])","Entity[565497] Report(B000002[01500])","Entity[565497] Report(B000002[01600])","Entity[565497] Report(B000002[01700])", ,"Entity[565497] Report(B000002[01900])", ,"Entity[565497] Report(B000002[02100])", , ,"Entity[565497] Report(B000002[02400])", ,"Entity[565497] Report(B000002[02600])"
 ,"118730","32151", ,"199373", , , , , , , , , , , , , , , 
 ,"39305","20263", ,"361", , , , , , , , , , , , , , , 
 ,"305436","277702", ,"2375", , , , , , , , , , , , , , , 
 ,"315663","10829", ,"571", , , , , , , , , , , , , , , 
 ,"91557","1904", , , , , , , , , , , , , , , , , 
 ,"53329","17180", ,"916", , , , , , , , , , , , , , , 
 ,"48012","8656", ,"901", , , , , , , , , , , , , , , 
 ,"192227","1198", ,"1899", , , , , , , , , , , , , , , 
 ,"103616","8561", ,"674", , , , , , , , , , , , , , , 
 ,"42826","779", ,"131", , , , , , , , , , , , , , , 
 ,"196526","10861", ,"312", , , , , , , , , , , , , , , 
 ,"1124738","788381", ,"17038", , , , , , , , , , , , , , , 
 ,"44132","12709", ,"1162", , , , , , , , , , , , , , , 
 , , , ,"18", , , , , , , , , , , , , , , 
 ,"273388","398508", ,"1943", , ,"899000", , , , , , , , , , , , 
 ,"80119","143982", ,"560", , ,"4471", , , , , , , , , , , , 
 ,"101521","2013", , , , ,"5666","163479", , , , , , , , , , , 
 ,"139987","18289", , , , ,"7813","26","227442", , , , , , , , , , 
 ,"322131","50155", ,"821", , ,"17978", ,"9485","565969", , , , , , , , , 
 ,"146347","4288", ,"333", , ,"8167", ,"824", ,"227718", , , , , , , , 
 ,"11425","5215", ,"315", , ,"638","5","339", ,"1819", , , , , , , , 
 ,"109964","17289", ,"842", , ,"6137", ,"1018", ,"1276", ,"197075", , , , , , 
 ,"173161","587977", ,"496", , ,"9664", ,"4350", ,"1806", , ,"862141", , , , , 
 ,"45509","7600", ,"294", , ,"2540", ,"2063", ,"464", , ,"927", , , , , 
 ,"214694","196460", ,"3149", , ,"11982","83","2909", ,"5075", ,"31","1050","576390", , , , 
 ,"297915","10553", ,"1755", , ,"16626", ,"1305", ,"4344", , , , ,"496800", , , 
 ,"46754","2988", ,"1026", , ,"2609", ,"281", ,"1925", , ,"23", , ,"89208", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"1143", , , , , , , , , , , , , , ,"3115"
 ,"91676","1709", ,"14753", , ,"5116","1067","850", ,"22468", , ,"25", , , , , , ,"348179"
 ,"58371","5644", ,"218", , ,"3258", ,"476", ,"469", , ,"36","7", , , , 
 ,"2187238","838685", ,"14039", , ,"122064","64516","51039","392310","30159", ,"54702","100965","67","73616","26284", , , , , , ,"5387044", ,"5387044"
 ,"543687","450961", ,"4895", , ,"30343","13498","7054","48893","8153", ,"22993","46162","30","22147","1721", , , , , , ,"1607002", ,"1607002"
 ,"129940","98688", ,"1527", , ,"7252","4581","2579","19696","2711", ,"5994","19889","1","9341","1948", , , , , , ,"409059", ,"409059"
 ,"294658","409405", ,"2804", , ,"16445","2639","3795", ,"4304", ,"13625","5109","22","13488","3514", , , , , , ,"962099", ,"962099"
 ,"54874","106488", ,"757", , ,"3062","1006","1625", ,"1220", ,"3460","5491","2","3479","1886", , , , , , ,"235930", ,"235930"
 ,"132994","72632", ,"971", , ,"7422","2663","1726","15807","1642", ,"3839","11376","8","4718","2320", , , , , , ,"346333", ,"346333"
 ,"114694","129158", ,"1288", , ,"6401","1207","3397","16738","2540", ,"4033","6273","7","6942","2702", , , , , , ,"382454", ,"382454"
 ,"346897","29498", ,"1700", , ,"19360","4298","9962","53846","3053", ,"3575","4374", ,"5862","808", , , , , , ,"672633", ,"672633"
 , , , ,"216", , , , , , , , , , , ,"826", , , , , , , ,"5336", ,"5336"
 ,"1859682","3997905", ,"4547", , ,"103787","12920","25640", ,"8561", ,"13411","11365","1740","46827","2311", , , , , , ,"7176383", ,"7176383"
 ,"393280","319083", ,"1052", , ,"21949","5086","4379", ,"2104", ,"3345","1207","6788","63","17", , , , , , ,"1081288", ,"1081288"
 ,"416154","39615", ,"960", , ,"23225","2939","5588", ,"1777", ,"3933","3529", ,"10076", , , , , , , ,"732703", ,"732703"
 ,"103628","322758", ,"892", , ,"5783","2867","1346", ,"1618", ,"3324","7560","10","3556", , , , , , , ,"536648", ,"536648"
 ,"30706","473356", ,"191", , ,"1714","789","410", ,"616", ,"653","395","5","25563", , , , , , , ,"602009", ,"602009"
 ,"734500","1362578", ,"2395", , ,"40992","2334","10124", ,"5289", ,"2619","2458","81","14930", , , , , , , ,"2592221", ,"2592221"
 ,"46024","101854", ,"408", , ,"2569","1322","574", ,"621", , ,"120","8","2310", , , , , , , ,"191754", ,"191754"
 ,"167796","559934", ,"584", , ,"9365","910","2024", ,"780", , ,"229", ,"1553", , , , , , , ,"850614", ,"850614"
 ,"82730","483354", ,"1000", , ,"4617","2095","1003", ,"1447", , ,"137","8","19032", , , , , , , ,"711691", ,"711691"
 ,"179305","1199283", ,"665", , ,"10007","1840","2291", ,"879", , ,"121","3","7507", , , , , , , ,"1527288", ,"1527288"
 ,"440573","1263558", ,"1713", , ,"24588","2855","6206", ,"2267", ,"3142","4039","159","12768", , , , , , , ,"2036082", ,"2036082"
 ,"396058","250539", ,"2538", , ,"22104", ,"5794", ,"5755", , ,"4624","95","61238","1361", , , , , , ,"1164942", ,"1164942"
 ,"294298","112027", ,"509", , ,"16425", ,"4694", ,"1263", , ,"1002","124","3870", , , , , , , ,"588187", ,"588187"
 ,"82227","86978", ,"477", , ,"4589","172","1869", ,"920", ,"672","767","12","12211", , , , , , , ,"275294", ,"275294"
 ,"166610","260235", ,"2255", , ,"9298","430","1621", ,"4573", , ,"391","7414","19396", , , , , , , ,"599973", ,"599973"
 ,"72024","1893", ,"1314", , ,"4020","896","2667", ,"2233", , ,"307","10","3584", , , , , , , ,"155975", ,"155975"
 ,"13449", , ,"403", , ,"751", ,"1834", ,"622", , ,"9","14","2473", , , , , , , ,"37003", ,"37003"
 ,"406525", , ,"130", , ,"22688", ,"377", ,"195", , ,"522", ,"866","845", , , , , , ,"610378", ,"610378"
 , ,"1727205", ,"1142", , , ,"913","5319", ,"1859", ,"2574","4124","52","20348","4264", , , , , , ,"1876211", ,"1876211"
 ,"101521","117494", ,"470", , ,"5666","265","3007", ,"1053", ,"2","45","220","1719", , , , , , , ,"286641", ,"286641"
 , , , , , , , , , , , , , ,"506595", ,"622", , , , , , , ,"511820", ,"511820"
 , , , , , , , , , , , , , , ,"224089","48494", , , , , , , ,"437194", ,"437194"
 ,"140514","36272", ,"1034", , ,"7842","1766","253", ,"2295", ,"2959","28464","16596","2142","3549", , , , , , ,"343059", ,"343059"
 , , , , , , , , , , , , , , , , , , , , , , , ,"3", ,"3"
 ,"40012","131747", ,"121", , ,"2233","93", , ,"232", ,"155","55","2","526", , , , , , , ,"198668", ,"198668"
 ,"43844","1830", ,"317", , ,"2447", ,"1185", ,"418", ,"5","288","84", , , , , , , , ,"73962", ,"73962"
 ,"15713","55605", ,"277", , ,"877","469","466", ,"476", ,"165","50", ,"1943", , , , , , , ,"92864", ,"92864"
 ,"109233","1146319", ,"1022", , ,"6096","1464","1418", ,"2054", ,"2878","6568","52","2630","102", , , , , , ,"1371115", ,"1371115"
 , , , , , , , , , , , , , , , ,"740", , , , , , , ,"8346", ,"8346"
 , , , ,"142", , , , , , ,"401", , , , , , , , , , , , ,"3129", ,"3129"
 , , , ,"208", , , , , , ,"408", , , , , , , , , , , , ,"2988", ,"2988"
 ,"43844","703", ,"80", , ,"2447","60","1221","16032","177", ,"279", ,"55","1","30", , , , , , ,"86920", ,"86920"
 , , , ,"70", , , , , , ,"111", , ,"123", ,"205","4", , , , , , ,"18840", ,"18840"
 ,"628800","76776", ,"2119", , ,"35093","3110","4797","2647","4710", ,"3947","28229","187486","251","63", , , , , , ,"1365885", ,"1365885"
 ,"119101", , ,"115", , ,"6647", ,"364", ,"368", ,"162","8","11", , , , , , , , ,"181841", ,"181841"
 ,"1624413","2376384", ,"7595", , ,"90657","4086","25065", ,"16421", ,"13534","4701","34038","1301","30186", , , , , , ,"5205949", ,"5205949"
 ,"1162","250655", ,"2102", , ,"65","1567","13", ,"3523", ,"2177","1716","1086","29", , , , , , , ,"311597", ,"311597"
 , ,"69046", ,"354", , , ,"41", , ,"911", ,"569","397","1502","1", , , , , , , ,"84711", ,"84711"
 , ,"74684", ,"761", , , ,"412", , ,"1607", ,"1425","949","1131","2", , , , , , , ,"100310", ,"100310"
 , ,"92049", ,"1126", , , ,"347", , ,"1411", ,"1092","734","5373","2", , , , , , , ,"124781", ,"124781"
 , ,"45256", ,"535", , , ,"81", , ,"838", ,"465","222","621","24", , , , , , , ,"62191", ,"62191"
 , ,"34425", ,"472", , , ,"463", , ,"1108", ,"990","696","3193","3", , , , , , , ,"60114", ,"60114"
 , ,"32610", ,"1269", , , ,"715", , ,"1968", ,"1173","1078","3177","4", , , , , , , ,"68025", ,"68025"
 , ,"53045", ,"226", , , ,"107", , ,"662", ,"658","397","2062","2", , , , , , , ,"67012", ,"67012"
 , ,"50853", ,"1143", , , ,"300", , ,"1567", ,"781","881","5264","1", , , , , , , ,"83226", ,"83226"
 ,"38455","7252", ,"286", , ,"2146","1062", , ,"813", ,"418","410","770","1", , , , , , , ,"78044", ,"78044"
 , ,"120513", ,"1348", , , ,"913", , ,"2206", ,"1846","1852","23909","11", , , , , , , ,"190786", ,"190786"
 , ,"12800", ,"1003", , , , , , ,"967", ,"356","358","1381","1", , , , , , , ,"27470", ,"27470"
 , ,"60860", ,"275", , , ,"193", , ,"510", ,"389","279","94","11", , , , , , , ,"69675", ,"69675"
 , ,"44765", ,"632", , , ,"40", , ,"871", ,"168","83","59", , , , , , , , ,"52157", ,"52157"
 , ,"1080", , , , , , , , ,"74", , , , , , , , , , , , ,"1403", ,"1403"
 , , , , , , , , , , , , , , , , , , , , , , , ,"1", ,"1"
 , ,"24630", ,"227", , , , , , ,"475", , , , ,"7", , , , , , , ,"53165", ,"53165"
 ,"1197600","698038", ,"3069", , ,"66837", , , ,"5612", , , ,"24","61","2667", , , , , , ,"2570858", ,"2570858"
 , ,"1569", ,"836", , , , , , ,"363", , , , ,"8", , , , , , , ,"15869", ,"15869"
 , , , , , , , , , , ,"3", , , , , , , , , , , , ,"78", ,"78"
 , , , , , , , , , , ,"203", , , , , , , , , , , , ,"258", ,"258"
 ,"297771","134508", ,"6008", , ,"16618","11465", , ,"6499", ,"8839","31501", ,"17321", , , , , , , ,"794222", ,"794222"
 ,"19150", , ,"111", , ,"1069","503","249", ,"193", ,"569","113","15","2", , , , , , , ,"40645", ,"40645"
 ,"8731", , , , , ,"487", , , , , , , ,"1", , , , , , , , ,"14269", ,"14269"
 , , , ,"127", , , , ,"33", ,"214", , , , ,"137", , , , , , , ,"2965", ,"2965"
 ,"68611", , ,"1412", , ,"3829", ,"214", ,"2586", ,"4085","251","47", , , , , , , , ,"132537", ,"132537"
 ,"8419", , ,"205", , ,"470", ,"25", ,"229", ,"19","4", ,"4099","1691", , , , , , ,"35228", ,"35228"
 ,"31820","1533", ,"192", , ,"1776", ,"134", ,"136", ,"37","3", ,"721", , , , , , , ,"55241", ,"55241"
 ,"3796", , ,"210", , ,"212", ,"31", ,"222", , , , ,"2197", , , , , , , ,"19438", ,"19438"
 ,"28611", , ,"180", , ,"1597", ,"109", ,"122", ,"47","6", ,"2414","935", , , , , , ,"58463", ,"58463"
 , , , ,"226", , , , , , ,"785", , , , , , , , , , , , ,"3641", ,"3641"
 , , , ,"147", , , , ,"8", ,"254", , , , , , , , , , , , ,"2008", ,"2008"
 , , , , , , , , ,"13", , , , , , , , , , , , , , ,"13", ,"13"
 ,"1916","3093", ,"355", , ,"107", , , ,"663", ,"3", , ,"577", , , , , , , ,"16550", ,"16550"
 ,"5329", , ,"203", , ,"297", , , ,"443", ,"648","187","663", , , , , , , , ,"14590", ,"14590"
 ,"19057976","23097908", ,"143988", , ,"899000","163479","227442","565969","203969", ,"196765","861849","529672","496800","89208", , , , , , ,"48755299", ,"48755299"
 , , , ,"20", , , , , , ,"76", , , , , , , , , , , , ,"942", ,"942"
 , , , ,"332", , , , , , ,"427", , , , , , , , , , , , ,"4414", ,"4414"
 , , , ,"307", , , , , , ,"559", ,"193","213","19459", , , , , , , , ,"33492", ,"33492"
 , ,"6460", ,"94", , , , , , ,"174", , , ,"27253", , , , , , , , ,"56045", ,"56045"
 , , , ,"1909", , , , , , ,"1334", , ,"52", , , , , , , , , ,"11664", ,"11664"
 , , , ,"16", , , , , , ,"20", , , , , , , , , , , , ,"272", ,"272"
 , , , ,"33", , , , , , , , ,"117","24","6", , , , , , , , ,"1012", ,"1012"
 , ,"607592", ,"52674", , , , , , ,"21159", , ,"3", , , , , , , , , ,"1243169", ,"1243169"
 , , , , , , , , , , , , , , , , , , ,"3115", ,"348179", , ,"447391", ,"447391"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report B10000* ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[565497] Report(B10000*[00100])","Entity[565497] Report(B10000*[00200])", ,"Entity[565497] Report(B10000*[00400])", ,"Entity[565497] Report(B10000*[00600])","Entity[565497] Report(B10000*[00700])","Entity[565497] Report(B10000*[00800])","Entity[565497] Report(B10000*[00900])","Entity[565497] Report(B10000*[01000])","Entity[565497] Report(B10000*[01100])","Entity[565497] Report(B10000*[01200])","Entity[565497] Report(B10000*[01300])","Entity[565497] Report(B10000*[01400])","Entity[565497] Report(B10000*[01500])","Entity[565497] Report(B10000*[01600])","Entity[565497] Report(B10000*[01700])", ,"Entity[565497] Report(B10000*[01900])","Entity[565497] Report(B10000*[02000])","Entity[565497] Report(B10000*[02100])","Entity[565497] Report(B10000*[02200])","Entity[565497] Report(B10000*[02300])"
 ,"CAP","CAP", ,"EMPLOYEE", ,"MAIN-","OPERATION","LAUNDRY","HOUSE-","DIETARY","CAFETERIA","MAIN-","NURSING","CENTRAL","PHARMACY","MEDICAL","SOCIAL", ,"NONPHYSIC.","NURSING","I&R","I&R","PARAMED"
 ,"BLDGS &","MOVABLE", ,"BENEFITS", ,"TENANCE &","OF PLANT","& LINEN","KEEPING", , ,"TENANCE &","ADMINIS-","SERVICES &", ,"RECORDS &","SERVICE", ,"ANESTHET.","SCHOOL","SALARY &","PROGRAM","EDUCATION"
 ,"FIXTURES","EQUIPMENT", ,"DEPARTMENT", ,"REPAIRS", ,"SERVICE", , , ,"PERSONNEL","TRATION","SUPPLY", ,"LIBRARY", , , , ,"FRINGES","COSTS"
 ,"SQUARE","DOLLAR", ,"GROSS", ,"SQUARE","SQUARE","LAUNDRY CO","HOURS OF","MEALS","PAID HOURS","NUMBER","RN FTES","COSTED","COSTED","INPATIENT","TIME", ,"ASSIGNED","PATIENT DA","PATIENT DA","ASSIGNED","ASSIGNED"
 ,"FEET","VALUE", ,"SALARIES", ,"FEET","FEET","ST","SERVICE","SERVED", ,"HOUSED", ,"REQUIS.","REQUIS.","REVENUE","SPENT", ,"TIME","YS","YS","TIME","TIME"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report B100000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[565497] Report(B100000[00100])","Entity[565497] Report(B100000[00200])", ,"Entity[565497] Report(B100000[00400])", ,"Entity[565497] Report(B100000[00600])","Entity[565497] Report(B100000[00700])","Entity[565497] Report(B100000[00800])","Entity[565497] Report(B100000[00900])","Entity[565497] Report(B100000[01000])","Entity[565497] Report(B100000[01100])", ,"Entity[565497] Report(B100000[01300])","Entity[565497] Report(B100000[01400])","Entity[565497] Report(B100000[01500])","Entity[565497] Report(B100000[01600])","Entity[565497] Report(B100000[01700])", ,"Entity[565497] Report(B100000[01900])","Entity[565497] Report(B100000[02000])","Entity[565497] Report(B100000[02100])","Entity[565497] Report(B100000[02200])","Entity[565497] Report(B100000[02300])"
 , , , , , , , , , , , , , , , , , , , 
 ,"1591347", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"18373769", , , , , , , , , , , , , , , , , 
 ,"9914","24913", ,"508301146", , , , , , , , , , , , , , , 
 ,"3282","15701", ,"922073", , , , , , , , , , , , , , , 
 ,"25504","215184", ,"6059581", , , , , , , , , , , , , , , 
 ,"26358","8391", ,"1456795", , , , , , , , , , , , , , , 
 ,"7645","1475", , , , , , , , , , , , , , , , , 
 ,"4453","13312", ,"2336366", , , , , , , , , , , , , , , 
 ,"4009","6707", ,"2298997", , , , , , , , , , , , , , , 
 ,"16051","928", ,"4844591", , , , , , , , , , , , , , , 
 ,"8652","6634", ,"1719073", , , , , , , , , , , , , , , 
 ,"3576","604", ,"335122", , , , , , , , , , , , , , , 
 ,"16410","8416", ,"795469", , , , , , , , , , , , , , , 
 ,"93916","610896", ,"43463350", , , , , , , , , , , , , , , 
 ,"3685","9848", ,"2963274", , , , , , , , , , , , , , , 
 , , , ,"45116", , , , , , , , , , , , , , , 
 , , , , , ,"1367892", , , , , , , , , , , , , 
 ,"22828","308793", ,"4957393", ,"22828","1345064", , , , , , , , , , , , 
 ,"6690","111568", ,"1427647", ,"6690","6690", , , , , , , , , , , , 
 ,"8477","1560", , , ,"8477","8477","892704", , , , , , , , , , , 
 ,"11689","14172", , , ,"11689","11689","140","402474", , , , , , , , , , 
 ,"26898","38864", ,"2095491", ,"26898","26898", ,"16785","251632", , , , , , , , , 
 ,"12220","3323", ,"848556", ,"12220","12220", ,"1459", ,"9153820", , , , , , , , 
 ,"954","4041", ,"802982", ,"954","954","26","599", ,"73115", , , , , , , , 
 ,"9182","13397", ,"2147550", ,"9182","9182", ,"1801", ,"51276", ,"121674", , , , , , 
 ,"14459","455608", ,"1265223", ,"14459","14459", ,"7698", ,"72600", , ,"12075287", , , , , 
 ,"3800","5889", ,"749436", ,"3800","3800", ,"3651", ,"18660", , ,"12982", , , , , 
 ,"17927","152232", ,"8033265", ,"17927","17927","454","5147", ,"204007", ,"19","14713","61900851", , , , 
 ,"24876","8177", ,"4476675", ,"24876","24876", ,"2309", ,"174618", , ,"7", ,"1237551599", , , 
 ,"3904","2315", ,"2618460", ,"3904","3904", ,"498", ,"77373", , ,"326", , ,"41302", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"2915486", , , , , , , , , , , , , , ,"10000"
 , , , , , , , , , , , , , , , , , , , ,"131744"
 ,"7655","1324", ,"37634979", ,"7655","7655","5827","1505", ,"903182", , ,"353", , , , , , ,"131744"
 , , , , , , , , , , , , , , , , , , , , , ,"33380"
 , , , , , , , , , , , , , , , , , , , , , , ,"1000"
 ,"4874","4373", ,"555561", ,"4874","4874", ,"843", ,"18870", , ,"507","715", , , , 
 ,"182635","649875", ,"35814320", ,"182635","182635","352307","90318","174422","1212349", ,"33775","1414134","7246","182226900","12169", , ,"83976","83976","7494"
 ,"45398","349438", ,"12488073", ,"45398","45398","73709","12483","21738","327748", ,"14196","646550","3244","55228190","797", , ,"17179","17179","2088"
 ,"10850","76471", ,"3896154", ,"10850","10850","25014","4563","8757","108963", ,"3701","278563","152","23294170","902", , ,"2369","2369","691"
 ,"24604","317237", ,"7154232", ,"24604","24604","14409","6715", ,"173001", ,"8412","71562","2367","33636154","1627", , ,"9813","9813","327"
 ,"4582","82515", ,"1931170", ,"4582","4582","5494","2876", ,"49025", ,"2136","76904","213","8677002","873", , ,"2086","2086","319"
 ,"11105","56281", ,"2478123", ,"11105","11105","14541","3055","7028","65990", ,"2370","159328","874","11764724","1074", , ,"3133","3133","319"
 ,"9577","100081", ,"3285013", ,"9577","9577","6590","6011","7442","102086", ,"2490","87861","753","17312829","1251", , ,"3263","3263","936"
 ,"28966","22857", ,"4336093", ,"28966","28966","23468","17628","23940","122705", ,"2207","61261","32","14619458","374", , ,"8107","8107","319"
 , , , ,"552037", , , , , , , , , , , ,"2059606", , , ,"1818","1818"
 ,"155284","3097865", ,"11600031", ,"155284","155284","70550","45371", ,"344124", ,"8280","159179","186844","116775897","1070", ,"10000", , ,"4019"
 ,"32839","247249", ,"2684672", ,"32839","32839","27772","7749", ,"84576", ,"2065","16900","728936","156038","8", , , , ,"792"
 ,"34749","30697", ,"2448456", ,"34749","34749","16051","9888", ,"71415", ,"2428","49432","20","25127065", , , 
 ,"8653","250097", ,"2275743", ,"8653","8653","15653","2381", ,"65032", ,"2052","105880","1119","8868005", , , , , ,"329"
 ,"2564","366791", ,"486612", ,"2564","2564","4307","725", ,"24778", ,"403","5532","514","63747874", , , , , ,"3214"
 ,"61331","1055826", ,"6110640", ,"61331","61331","12744","17915", ,"212611", ,"1617","34421","8715","37230763", , , , , ,"1090"
 ,"3843","78924", ,"1040522", ,"3843","3843","7221","1016", ,"24977", , ,"1682","853","5761558", , , , , ,"290"
 , , , , , , , , , , , , , , , , , , , , , ,"403"
 ,"14011","433878", ,"1489600", ,"14011","14011","4969","3582", ,"31357", , ,"3213", ,"3871935", , , , , ,"290"
 ,"6908","374538", ,"2551018", ,"6908","6908","11441","1775", ,"58152", , ,"1913","823","47462524", , , , , ,"469"
