"----------"," Entity 565497"," Report L00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(L00A181[00100])", , , , , , , , , , , , , , , , , , 
 ,"7231937", , , , , , , , , , , , , , , , , , 
 ,"430968", , , , , , , , , , , , , , , , , , 
 ,"337", , , , , , , , , , , , , , , , , , 
 ,"320", , , , , , , , , , , , , , , , , , 
 ,"31", , , , , , , , , , , , , , , , , , 
 ,"2221651", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"471522", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
