"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(S300002)", ,"Entity[565497] Report(S300002[00100])","Entity[565497] Report(S300002[00200])","Entity[565497] Report(S300002[00300])","Entity[565497] Report(S300002[00400])","Entity[565497] Report(S300002[00500])","Entity[565497] Report(S300002[00600])"
"Line(00100)", ,"200","518743967", ,"518743967","11657875","45"
"Line(00300)", , ,"2618607", ,"2618607","32656","80"
"Line(00400)", , ,"3334097", ,"3334097","47999","69"
"Line(00401)", , ,"370455", ,"370455","5333","69"
"Line(00500)", , ,"20501773", ,"20501773","279660","73"
"Line(00700)", ,"21","33795970","3839009","37634979","1486725","25"
"Line(00900)", ,"44"
"Line(01000)", , ,"160778477","-6926794","153851683","1265099","122"
"Line(01100)", , ,"1896676", ,"1896676","60852","31"
"Line(01400)", , ,"25193116", ,"25193116","332330","76"
"Line(01700)", , ,"61916048", ,"61916048"
"Line(01900)", , ,"20174026", ,"20174026"
"Line(02100)", , ,"385918", ,"385918"
"Line(02200)", , ,"513630", ,"513630"
"Line(02201)", , ,"57047", ,"57047"
"Line(02300)", , ,"3666519", ,"3666519"
"Line(02500)", , ,"7745775", ,"7745775"
"Line(02600)", ,"4","10442821", ,"10442821","337749","31"
"Line(02700)", ,"5","63444638","3795169","67239807","1603671","42"
"Line(02800)", , ,"1269434", ,"1269434","29523","43"
"Line(02900)", ,"6"
"Line(03000)", ,"7","10138040","-3753000","6385040","255697","25"
"Line(03100)", ,"8"
"Line(03200)", ,"9","1054423","-1054423"
"Line(03300)", , ,"9865530", ,"9865530","436751","23"
"Line(03400)", ,"10","2954117","-858626","2095491","143676","15"
"Line(03600)", ,"11","306599","541957","848556","51896","16"
"Line(03700)", ,"12","802982", ,"802982","76942","10"
"Line(03800)", ,"13","2148350","-800","2147550","51152","42"
"Line(03900)", ,"14","2014659", ,"2014659","93740","21"
"Line(04000)", ,"15","8063065","-29800","8033265","209700","38"
"Line(04100)", ,"16","4476675", ,"4476675","180619","25"
"Line(04200)", ,"17","2573178","45282","2618460","80913","32"
