"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report S410000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(S410000)", ,"Entity[565497] Report(S410000[00100])","Entity[565497] Report(S410000[00200])","Entity[565497] Report(S410000[00300])","Entity[565497] Report(S410000[00400])","Entity[565497] Report(S410000[00500])"
"Line(00000)", ,"COOK"
"Line(00200)", , ,"871","300", ,"1747"
"Line(00400)", ,"1", ,"1"
"Line(00500)", ,"13", ,"13"
"Line(00600)", ,"26", ,"26"
"Line(00800)", ,"6", ,"6"
"Line(01000)", ,"1", ,"1"
"Line(01200)", ,"0", ,"0"
"Line(01400)", ,"1", ,"1"
"Line(01600)", ,"3", ,"3"
"Line(01900)", ,"1"
"Line(02000)", ,"16974"
"Line(02100)", ,"6724","692","564","115","8095"
"Line(02200)", ,"1370683","153264","89621","21942","1635510"
"Line(02300)", ,"2806","58","61","62","2987"
"Line(02400)", ,"707165","14692","14506","15395","751758"
"Line(02500)", ,"784","48","16","21","869"
"Line(02600)", ,"202891","12245","4229","5607","224972"
"Line(02700)", ,"43", , , ,"43"
"Line(02800)", ,"11491", , , ,"11491"
"Line(02900)", ,"55","2","4", ,"61"
"Line(03000)", ,"16737","609","1217", ,"18563"
"Line(03100)", ,"942","164","1","27","1134"
"Line(03200)", ,"118378","20815","128","3320","142641"
"Line(03300)", ,"11354","964","646","225","13189"
"Line(03400)", ,"59655","8117","1397","653","69822"
"Line(03500)", ,"2487000","209742","111098","46917","2854757"
"Line(03600)", ,"757", ,"177","21","955"
"Line(03700)", , ,"20", ,"1","21"
