"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report I3D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(I3D0000)", ,"Entity[562588] Report(I3D0000[00100])","Entity[562588] Report(I3D0000[00200])","Entity[562588] Report(I3D0000[00300])","Entity[562588] Report(I3D0000[00400])","Entity[562588] Report(I3D0000[00500])","Entity[562588] Report(I3D0000[00600])","Entity[562588] Report(I3D0000[00700])","Entity[562588] Report(I3D0000[00800])","Entity[562588] Report(I3D0000[00900])","Entity[562588] Report(I3D0000[01000])"
"Line(00100)", ,"1490113","1565396","2635139","2282645","1250159", , , ,"9223452","4775743"
"Line(00200)", ,"51802","51802","51802","51802","51802","51802","51802","51802"
"Line(00300)", ,"10255","10255","10255","10255","10255","10255","10255","10255"
"Line(01700)", ,"62057","62057","62057","62057","62057","62057","62057","62057", ,"9223452"
