"----------"," Entity 562588"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[562588] Report(B000001[00000])","Entity[562588] Report(B000001[00100])","Entity[562588] Report(B000001[00200])", ,"Entity[562588] Report(B000001[00400])","Entity[562588] Report(B000001[00500])", ,"Entity[562588] Report(B000001[00700])","Entity[562588] Report(B000001[00800])","Entity[562588] Report(B000001[00900])","Entity[562588] Report(B000001[01000])","Entity[562588] Report(B000001[01100])", ,"Entity[562588] Report(B000001[01300])","Entity[562588] Report(B000001[01400])","Entity[562588] Report(B000001[01500])","Entity[562588] Report(B000001[01600])","Entity[562588] Report(B000001[01700])", , , ,"Entity[562588] Report(B000001[02100])","Entity[562588] Report(B000001[02200])","Entity[562588] Report(B000001[02300])","Entity[562588] Report(B000001[02400])","Entity[562588] Report(B000001[02500])","Entity[562588] Report(B000001[02600])"
 ,"347493","68609", ,"59","106974", ,"25740", ,"335", ,"13686", , , , ,"735", , , , , , , ,"563631", ,"563631"
 , , , , ,"8260", , , , , ,"734", , , , , , , , , , , , ,"39262", ,"39262"
 ,"15882","12977", ,"20","30811", ,"1176", ,"73", ,"3612", , , , ,"311", , , , , , , ,"64862", ,"64862"
 , , , , ,"7754", , , , , ,"634", , , , ,"1", , , , , , , ,"39618", ,"39618"
 ,"27655","211", ,"11","27375", ,"2048", ,"27", ,"2516", , , , ,"98", , , , , , , ,"59941", ,"59941"
 ,"59111","35373", ,"9","26241", ,"4379", ,"40", ,"1749", , , , ,"118", , , , , , , ,"127020", ,"127020"
 , , , ,"1","2419", , , , , ,"210", , , , ,"13", , , , , , , ,"4232", ,"4232"
 ,"511853","105081", ,"79","37969", ,"37915","1735","1077", ,"13431", ,"171", , ,"555", , , , , , , ,"709866", ,"709866"
 , , , , ,"105", , , , , , , , , , , , , , , , , , ,"3258", ,"3258"
 ,"296096","179801", ,"80","114387", ,"21933","10996","478", ,"10957", , , , ,"584","36015", , , , , , ,"671327", ,"671327"
 , ,"159940", , ,"1502896", , , , , , , , ,"437898", ,"4901", , , , , , , ,"2105635", ,"2105635"
 , , , , ,"98697", , , , , , , , , , , , , , , , , , ,"292977", ,"292977"
 , , , , ,"579184", , , , , , , , ,"222351", ,"2965", , , , , , , ,"804500", ,"804500"
 , , , , ,"20784", , , , , , , , , , , , , , , , , , ,"50011", ,"50011"
 , , , , ,"1214157", , , , , , , , , ,"1512803","8122", , , , , , , ,"2735082", ,"2735082"
 , , , , ,"35271", , , , , , , , , , , , , , , , , , ,"258734", ,"258734"
 ,"1043043","1565396", ,"90","230930", ,"77262","160","944", ,"27947", ,"110358", , ,"1445","84239", , , , , , ,"3141814", ,"3141814"
 , ,"2694", ,"3","3898", , ,"39", , ,"893", , , , ,"23", , , , , , , ,"7550", ,"7550"
 ,"6479838","5226529", ,"1382","1388523", ,"479983","103144","11398", ,"211411", ,"287986", , ,"3934","245688", , , , , , ,"14439816", ,"14439816"
 ,"457048","45594", ,"90","103300", ,"33854","4567","429", ,"13897", ,"52131", , ,"351","127782", , , , , , ,"839043", ,"839043"
 ,"332222","35373", ,"24","25119", ,"24609", ,"294", ,"4207", ,"13500", , ,"86","6899", , , , , , ,"442333", ,"442333"
 ,"516484","249095", ,"76","88918", ,"38257","1390","164", ,"10493", ,"29226", , ,"383","420", , , , , , ,"934906", ,"934906"
 ,"279212","331815", ,"59","62466", ,"20682","1782","117", ,"10014", ,"23756", , ,"259", , , , , , , ,"730162", ,"730162"
 ,"68392","28361", ,"18","16256", ,"5067","1718","294", ,"2796", ,"9477", , ,"77", , , , , , , ,"132456", ,"132456"
 , ,"686178", ,"20","112538", , ,"1898", , ,"3122", , , , ,"706", , , , , , , ,"804462", ,"804462"
 ,"88237","21423", ,"13","14034", ,"6536","261","77", ,"2004", ,"1953", , ,"65", , , , , , , ,"134603", ,"134603"
 , ,"100337", ,"14","14121", , ,"188", , ,"2582", ,"335", , ,"66", , , , , , , ,"117643", ,"117643"
 ,"428400","13128", ,"14","24430", ,"31733","97","376", ,"2513", ,"15322", , ,"47", , , , , , , ,"516060", ,"516060"
 ,"152406","273131", ,"17","14280", ,"11289","228","134", ,"3041", ,"13828", , ,"56", , , , , , , ,"468410", ,"468410"
 , ,"229636", ,"20","22145", , , , , ,"2829", ,"335", , ,"106", , , , , , , ,"255071", ,"255071"
 , ,"3836", ,"3","3220", , ,"7", , ,"648", , , , ,"8", , , , , , , ,"7722", ,"7722"
 ,"127972","9054", ,"14","12834", ,"9479","543","112", ,"1863", ,"16897", , ,"60", , , , , , , ,"178828", ,"178828"
 ,"403994","1046390", ,"360","280701", ,"29925","6222","354", ,"42541", ,"95439", , ,"1085","55015", , , , , , ,"1962026", ,"1962026"
 ,"180736","1705", ,"17","22365", ,"13388","280","158", ,"2571", ,"9172", , ,"76", , , , , , , ,"230468", ,"230468"
 ,"99827","73488", ,"13","15584", ,"7394","181","88", ,"2004", ,"13579", , ,"48", , , , , , , ,"212206", ,"212206"
 ,"1136993","1234024", ,"210","165275", ,"84220","217","985", ,"23133", ,"32108", , ,"812", , , , , , , ,"2677977", ,"2677977"
 ,"249106","3089", ,"38","40883", ,"18452","797","218", ,"6149", ,"17192", , ,"135", , , , , , , ,"336059", ,"336059"
 ,"9076","1003439", ,"97","214066", ,"672","987", , ,"10009", ,"12044", , ,"413","50682", , , , , , ,"1301485", ,"1301485"
 ,"1221698","520866", ,"215","556610", ,"90495","1992","4638", ,"38160", ,"265320", , ,"3479","15075", , , , , , ,"2718548", ,"2718548"
 , , , , ,"128373", , , , , ,"9411", , , , , , , , , , , , ,"498170", ,"498170"
 ,"135175","6441", ,"4","21887", ,"10013", ,"98", ,"941", ,"22494", , ,"206", , , , , , , ,"197259", ,"197259"
 ,"77722","41885", ,"62","171317", , , ,"68", ,"12650", ,"24626", , ,"206","17996", , , , , , ,"346532", ,"346532"
 , ,"17810", ,"29","74631", ,"5757", , , ,"6087", ,"9915", , ,"92","29462", , , , , , ,"143783", ,"143783"
 ,"30476","1952", ,"11","52991", ,"2257", ,"66", ,"1373", , , , ,"48","4469", , , , , , ,"93643", ,"93643"
 ,"535","17843", , ,"10036", ,"39", ,"8", ,"77", , , , ,"45","5708", , , , , , ,"34291", ,"34291"
 ,"3678","235", ,"1","9737", ,"273", , , ,"166", , , , ,"1","539", , , , , , ,"14630", ,"14630"
 , ,"37302", ,"2","12630", , , , , ,"123", , , , ,"25","17417", , , , , , ,"67499", ,"67499"
 ,"85415","6735", ,"46","162911", ,"6327", ,"72", ,"11341", ,"597", , ,"210","118273", , , , , , ,"391927", ,"391927"
 , ,"449", ,"18","71359", , , , , ,"3903", ,"20463", , ,"95","29217", , , , , , ,"125504", ,"125504"
 ,"56493381","59850682", ,"8006","18598568", ,"2980807","339262","71782","2925036","1333785", ,"3761722","660249","1512803","77354","879495", , , , , , ,"117207121", ,"117207121"
 ,"45295","32632", ,"3","19999", ,"3354", ,"12", ,"1255", , , , , , , , , , , , ,"102550", ,"102550"
 ,"715406", , , ,"16854", ,"52992", ,"2", , , , , , , , , , , , , , ,"785254", ,"785254"
 , ,"12224", , ,"4271", , , , , ,"327", , , , , , , , , , , , ,"16958", ,"16958"
 ,"469344","186789", ,"18","224081", ,"34767", ,"386", ,"14552", , , , , , , , , , , , ,"929937", ,"929937"
 ,"181104","981682", ,"49","226547", ,"13415", ,"160", ,"8030", ,"702", , , , , , , , , , ,"1411689", ,"1411689"
 ,"481440","47475", , ,"7093", ,"35662", ,"422", , , , , , , , , , , , , , ,"572092", ,"572092"
 ,"26243", , ,"6","112173", ,"1944", ,"23", ,"2172", , , , , , , , , , , , ,"142561", ,"142561"
 ,"14226","920", ,"72","141496", ,"1054", ,"25","270638","1959", , , , , , , , , , , , ,"430390", ,"430390"
 , , , , ,"310", , , , , , , , , , , , , , , , , , ,"727", ,"727"
 , , , , , , , , , , , , , , , , , , , , ,"760771","1206697","2095","2064851", ,"2064851"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report B10000* ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[562588] Report(B10000*[00100])","Entity[562588] Report(B10000*[00200])", ,"Entity[562588] Report(B10000*[00400])","Entity[562588] Report(B10000*[00500])","Entity[562588] Report(B10000*[00600])","Entity[562588] Report(B10000*[00700])","Entity[562588] Report(B10000*[00800])","Entity[562588] Report(B10000*[00900])","Entity[562588] Report(B10000*[01000])","Entity[562588] Report(B10000*[01100])", ,"Entity[562588] Report(B10000*[01300])","Entity[562588] Report(B10000*[01400])","Entity[562588] Report(B10000*[01500])","Entity[562588] Report(B10000*[01600])","Entity[562588] Report(B10000*[01700])","Entity[562588] Report(B10000*[01800])", , ,"Entity[562588] Report(B10000*[02100])","Entity[562588] Report(B10000*[02200])","Entity[562588] Report(B10000*[02300])"
 ,"CAP","CAP", ,"EMPLOYEE","ADMINIS-","MAIN-","OPERATION","LAUNDRY","HOUSE-","DIETARY","CAFETERIA", ,"NURSING","CENTRAL","PHARMACY","MEDICAL","SOCIAL","OTHER", , ,"I&R","I&R","PARAMED"
 ,"BLDGS &","MOVABLE", ,"BENEFITS","TRATIVE &","TENANCE &","OF PLANT","& LINEN","KEEPING", , , ,"ADMINIS-","SERVICES &", ,"RECORDS &","SERVICE","GENERAL", , ,"SALARY &","PROGRAM","EDUCATION"
 ,"FIXTURES","EQUIPMENT", ,"DEPARTMENT","GENERAL","REPAIRS", ,"SERVICE", , , , ,"TRATION","SUPPLY", ,"LIBRARY", ,"SERVICE", , ,"FRINGES","COSTS"
 ,"SQ","DEPR", ,"BENEFITS","ACCUM.","SQ","SQ","LAUNDRY","WT","MEALS","FTES", ,"NSG","CS","DRUG","MR","SOCIAL SER","PAT", , ,"RES","RES","ASSIGNED"
 , , , , ,"COST", , , , , , , , , , , ,"VICE", , , , , ,"TIME"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report B100000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[562588] Report(B100000[00100])","Entity[562588] Report(B100000[00200])", ,"Entity[562588] Report(B100000[00400])","Entity[562588] Report(B100000[00500])","Entity[562588] Report(B100000[00600])","Entity[562588] Report(B100000[00700])","Entity[562588] Report(B100000[00800])","Entity[562588] Report(B100000[00900])","Entity[562588] Report(B100000[01000])","Entity[562588] Report(B100000[01100])", ,"Entity[562588] Report(B100000[01300])","Entity[562588] Report(B100000[01400])","Entity[562588] Report(B100000[01500])","Entity[562588] Report(B100000[01600])","Entity[562588] Report(B100000[01700])","Entity[562588] Report(B100000[01800])", , ,"Entity[562588] Report(B100000[02100])","Entity[562588] Report(B100000[02200])","Entity[562588] Report(B100000[02300])"
 , , , , ,"X", , , , , , , , , , , , , , 
 ,"29677163", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"20533064", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"4142", , ,"517371849", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"7008342","1865826", ,"31970376","821439162", , , , , , , , , , , , , , 
 , , , , , ,"1455385", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"1242535","118828", ,"903891","13757217","79788","1375597", , , , , , , , , , , , 
 , ,"829", , ,"1269058", , , , , , , , , , , , , , 
 ,"114807","21440", ,"35883","1387348","7372","7372","3993436", , , , , , , , , , , 
 , , , , ,"221524", , , , , , , , , , , , , , 
 ,"2180","4116", ,"1121200","2362907","140","140","3171","13546694", , , , , , , , , , 
 , , , ,"108575","1034227", , ,"18366", , , , , , , , , , , 
 ,"493000","659124", ,"3928703","8030174","31657","31657","15492","166780","949677", , , , , , , , , 
 , , , , ,"1126779", , , , , , , , , , , , , , 
 , , , , , , , , , ,"404777","11792394", , , , , , , , 
 ,"156166","1033526", ,"7688455","13900233","10028","10028", ,"51200", ,"244720", ,"17157658", , , , , , 
 , ,"5303", ,"169685","1064605", , , , , ,"23451", ,"252", , , , , , 
 ,"162785","74232", ,"1801755","3632553","10453","10453", ,"52265", ,"79717", , ,"73007420", , , , , 
 , , , , ,"619427", , , , , ,"11997", , , , , , , , 
 ,"199194","175002", ,"9695560","22949668","12791","12791", ,"62750", ,"256248", , , ,"58456189", , , , 
 , , , , ,"3840901", , , , , ,"48139", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"3283535", , , , , , , , , , ,"2147483647", , , 
 , , , , ,"620", , , , , , , , , , , , , , 
 ,"36783","6860", ,"4616663","7015589","2362","2362", ,"9070", ,"155826", ,"2726604", , , ,"1991591", , 
 , , , , ,"961152", , , , , ,"24742", , , , , , , , 
 , , , , , , , , , , , , , , , , , ,"109809", 
 , , , , ,"1", , , ,"107450", , , , , , , , , , 
 , ,"7349", ,"23909396","26838906", , , ,"69065", ,"916606", , , , , , , , , ,"885324"
 ,"299760","25545", ,"4933537","20677772","19249","19249", ,"28785", ,"81762", , , , , , , , , , ,"885324"
 , , , ,"63625","77832", , , , , ,"2251", , , , , , , , , , , ,"34"
 ,"1456","1429", ,"103079","144258","94","94", ,"2190", ,"3601", , , , , , , , 
 ,"20977","1563", ,"376838","571002","1347","1347", ,"6735", ,"16849", , , , , , , , 
 , ,"390", ,"307324","468709", , , , , ,"23392", , , , , , , , 
 , , , , ,"202445", , , , , , , , , , , , , , 
 ,"3453822","1250822", ,"32770043","64571878","221783","221783","1484861","3017420","323508","1278437", ,"4023143", , ,"180659216","30630","109809", , ,"174611","174611","2"
 ,"747691","249000", ,"11617707","19236882","48012","48012","225350","687974","46343","309736", ,"1379730", , ,"64251219", , , , ,"60189","60189"
 ,"314551","258705", ,"5060950","12343735","20199","20199","32947","347088","34709","149992", ,"548827", , ,"50702393", , , , ,"3867","3867"
 , , , , ,"4145395", , , , , ,"62325", , , , , , , , 
 ,"195145","72111", ,"1836906","3513723","12531","12531","29304","84609","14277","61548", ,"325346", , ,"9118831", , , , ,"10162","10162"
 , , , , ,"19", , , , , , , , , , , , , , 
 ,"55860","6619", ,"525191","956912","3587","3587","105268","2492","9811","14833", ,"77770", , ,"3163854", , , 
 ,"335385","66767", ,"2350459","4181024","21536","21536","83633","208250","28389","86023", ,"554335", , ,"8976149", , , 
 ,"1988873","3600923", ,"32485502","55761826","127713","127713","222102","1856955", ,"677019", ,"769121", , ,"317758863","47485", , , ,"63792","63792"
 , ,"54870", ,"694598","7922594", , , , , ,"80833", , , , ,"406326", , , 
 ,"275035","65196", ,"3017751","5550664","17661","17661", ,"371658","7436","89415", ,"426745", , ,"25238710", , , 
 ,"212976","589186", ,"37960402","17546103","13676","13676","2785","134460", ,"375935", ,"745471", , ,"81420167", , , , ,"14616","14616"
 , , , , ,"1410053", , , , , ,"30481", , , , , , , , 
 ,"1171168","2339954", ,"23973999","31664089","75205","75205","124941","744810", ,"405080", ,"93963", , ,"155602259", , , , ,"61578","61578"
 , ,"29277", ,"14204","2128836", , , , , ,"29133", , , , ,"479643", , , 
 ,"163236","459226", ,"5322595","7686157","10482","10482", ,"51430", ,"71532", , , , ,"59984436", , , , ,"1742","1742","8"
 ,"91086","68568", ,"1351068","1917396","5849","5849", ,"29245", ,"22748", , , , ,"17859269", , , , ,"9487","9487"
 , , , , ,"85927", , , , , ,"426", , , , , , , , 
 ,"72851","25227", ,"1249011","6241673","4678","4678", ,"23390", ,"43698", , , , ,"104060334", , , 
 , , , , ,"629153", , , , , ,"9789", , , , , , , , 
 ,"161617","423287", ,"1210397","5740773","10378","10378", ,"55845", ,"43397", ,"984", , ,"62950039", , , 
 , , , , ,"699276", , , , , ,"5502", , , , , , , , 
 ,"256565","159413", ,"3442862","6974970","16475","16475", ,"82375", ,"45233", ,"100098", , ,"54656718", , , 
 ,"639440","555349", ,"11830128","13312112","41061","41061","4007","401880", ,"508447", ,"42539", , ,"272763486", , , , ,"31358","31358"
 ,"309638","489388", ,"7689458","12067900","19883","19883", ,"97935", ,"145539", , , , ,"42732661", , , , ,"1981","1981"
 ,"21273","590", ,"254913","556068","1366","1366", ,"6830", ,"7462", , , , ,"1772435", , , 
 , ,"2466", ,"7239","2908938", , , , , ,"37170", , , , ,"32342", , , 
 ,"157988","69576", ,"4657657","5976098","10145","10145", ,"50720", ,"153428", ,"95107", , ,"42366753", , , 
 , , , , ,"72937", , , , , , , , , , , , , , 
 ,"175928","4919", ,"1586621","6048622","11297","11297", ,"56485", ,"43804", ,"76800", , ,"18896515","233", , 
 ,"568243","728808", ,"14848076","11694404","36489","36489", ,"182445", ,"330438", ,"159420", , ,"163208729", , , 
 ,"33856","36216", ,"353940","627910","2174","2174", ,"2730", ,"12461", , , , ,"3733054", , , , ,"11073","11073"
 , , , , ,"1910764", , , , , ,"37881", , , , , , , , 
 ,"176506","23052", ,"3682408","4540889","11334","11334", ,"62340", ,"118487", , , , ,"28256857", , , 
 , , , , ,"350624", , , , , ,"6358", , , , , , , , 
 ,"8067","4360", ,"1227286","1307885","518","518", ,"13545", ,"31268", , , , ,"11949445", , , 
 , , , , ,"329155", , , , , ,"5486", , , , ,"34291", , , 
 ,"14047","71", ,"668945","1162038","902","902", ,"4975", ,"21781", , , , ,"3784445", , , 
 ,"30025","11885", ,"537115","1113889","1928","1928", ,"7500", ,"15141", , , , ,"4528253", , , 
 , , , ,"64911","102689", , , , , ,"1818", , , , ,"491212", , , 
 ,"259991","35306", ,"4914839","1611742","16695","16695","20422","200340", ,"116284", ,"782", , ,"21358618", , , , ,"7671","7671"
 , , , , ,"4468", , , , , , , , , , , , , , 
 ,"150399","60411", ,"5004932","4855547","9658","9658","129433","88932", ,"94858", , , , ,"22450670","81554", , 
 , ,"53738", , ,"63795563", , , , , , , , ,"48421954", ,"188492386", , , 
 , , , , ,"4189537", , , , , , , , , , , , , , 
 , , , , ,"24585466", , , , , , , , ,"24585466", ,"114051163", , , 
 , , , , ,"882259", , , , , , , , , , , , , , 
 , , , , ,"51539062", , , , , , , , , ,"58456189","312371864", , , , , , ,"24"
 , , , , ,"1497200", , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"529804","525955", ,"5598790","9802598","34021","34021","1883","175638", ,"241953", ,"503261", , ,"55575780","190756", , 
 , ,"905", ,"165527","165478", , ,"463", , ,"7732", , , , ,"874667", , , 
 ,"3291373","1756054", ,"94191535","58940612","211352","211352","1214104","2120568", ,"1830349", ,"1313297", , ,"151289996","556356", , , ,"294771","294771"
 ,"232153","15319", ,"5598981","4384942","14907","14907","53760","79740", ,"120311", ,"237732", , ,"13516571","289359", , 
 ,"168749","11885", ,"1495558","1066270","10836","10836", ,"54610", ,"36422", ,"61564", , ,"3292757","15623", , 
 ,"262343","83693", ,"4721676","3774410","16846","16846","16357","30550", ,"90843", ,"133278", , ,"14733549","950", , 
 ,"141823","111486", ,"3677130","2651599","9107","9107","20977","21740", ,"86695", ,"108335", , ,"9956116", , , 
 ,"34739","9529", ,"1142139","690027","2231","2231","20221","54636", ,"24205", ,"43219", , ,"2971701", , , 
 , ,"230548", ,"1250233","4777070", , ,"22342", , ,"27025", , , , ,"27137414", , , 
 ,"44819","7198", ,"830823","595741","2878","2878","3073","14390", ,"17348", ,"8904", , ,"2482236", , , 
 , ,"33712", ,"889426","599411", , ,"2209", , ,"22352", ,"1529", , ,"2519630", , , 
 ,"217602","4411", ,"905989","1036994","13973","13973","1141","69865", ,"21756", ,"69873", , ,"1804081", , , 
 ,"77413","91769", ,"1057318","606179","4971","4971","2688","24855", ,"26327", ,"63059", , ,"2150271", , , 
 , ,"77155", ,"1231898","940022", , , , , ,"24495", ,"1529", , ,"4076319", , , 
 , ,"1289", ,"179333","136674", , ,"79", , ,"5613", , , , ,"318929", , , 
 ,"65002","3042", ,"894715","544791","4174","4174","6392","20870", ,"16133", ,"77055", , ,"2295858", , , 
 ,"205205","351575", ,"22489321","11915313","13177","13177","73233","65885", ,"368301", ,"435227", , ,"41732720","124579", , 
 ,"91803","573", ,"1060711","949349","5895","5895","3301","29475", ,"22258", ,"41825", , ,"2911926", , , 
 ,"50706","24691", ,"837833","661525","3256","3256","2135","16280", ,"17354", ,"61922", , ,"1847352", , , 
 ,"577525","414618", ,"13155071","7015681","37085","37085","2549","183325", ,"200281", ,"146421", , ,"31229579", , , 
 ,"126531","1038", ,"2365198","1735438","8125","8125","9376","40625", ,"53236", ,"78398", , ,"5208951", , , 
 ,"4610","337144", ,"6054498","9086751","296","296","11619", , ,"86653", ,"54923", , ,"15903201","114768", , 
 ,"620550","175005", ,"13463019","23627229","39848","39848","23452","862869", ,"330372", ,"1209930", , ,"133801682","34136", , , ,"32784","32784"
 , , , , ,"5449245", , , , , ,"81475", , , , ,"8400", , , 
 ,"68661","2164", ,"280161","929058","4409","4409", ,"18275", ,"8149", ,"102579", , ,"7931229", , , 
 ,"39478","14073", ,"3869496","7272127", , , ,"12675", ,"109515", ,"112302", , ,"7912024","40752", , 
 , ,"5984", ,"1829247","3167957","2535","2535", , , ,"52699", ,"45217", , ,"3555140","66717", , 
 ,"15480","656", ,"685429","2249388","994","994", ,"12300", ,"11891", , , , ,"1850700","10119", , , ,"4202","4202"
 ,"272","5995", ,"22597","426028","17","17", ,"1575", ,"670", , , , ,"1724581","12925", , , ,"663","663"
 ,"1868","79", ,"82724","413329","120","120", , , ,"1435", , , , ,"27122","1221", , , ,"221","221"
 , ,"12533", ,"141493","536114", , , , , ,"1064", , , , ,"970200","39441", , 
 ,"43386","2263", ,"2851338","6915304","2786","2786", ,"13385", ,"98189", ,"2722", , ,"8064633","267827", , 
 , ,"151", ,"1101106","3029059", , , , , ,"33788", ,"93317", , ,"3669277","66160", , 
 ,"28695284","20109140", ,"508066971","789482979","1392335","1312547","3993436","13355079","869250","11547416", ,"17154455","73007420","58456189","2147483647","1991591","109809", , ,"784768","784768","34"
 ,"23007","10964", ,"194929","848939","1477","1477", ,"2215", ,"10868", , , , , , , , , ,"97625","97625"
 ,"363384", , , ,"715406","23334","23334", ,"285", , , , , , , , , , , ,"2931","2931"
 , ,"4107", ,"29982","181293", , , , , ,"2832", , , , , , , , 
 ,"238399","62759", ,"1140787","9511888","15309","15309", ,"71890", ,"125986", , , , , , , , 
 ,"91990","329834", ,"3053051","9616556","5907","5907", ,"29790", ,"69523", ,"3203", , , , , , 
 ,"244543","15951", , ,"301084","15703","15703", ,"78515", , , , , , , , , , 
 ,"13330", , ,"355055","4761549","856","856", ,"4280", ,"18807", , , , , , , , 
 ,"7226","309", ,"4531074","6006296","464","464", ,"4640","80427","16962", , , , , , , , 
 , , , , ,"13172", , , , , , , , , , , , , , 
 ,"58426439","61112404", ,"115524604","168667825", ,"16582014","1761080","2851173","10102567","4305978", ,"16975413","4544546","27922933","3957750","11241038", , , ,"32699026","25191528","94635"
