"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[562588] Report(B000001)","Entity[562588] Report(B000001[00000])","Entity[562588] Report(B000001[00100])","Entity[562588] Report(B000001[00200])", ,"Entity[562588] Report(B000001[00400])","Entity[562588] Report(B000001[00500])", ,"Entity[562588] Report(B000001[00700])","Entity[562588] Report(B000001[00800])","Entity[562588] Report(B000001[00900])","Entity[562588] Report(B000001[01000])","Entity[562588] Report(B000001[01100])", ,"Entity[562588] Report(B000001[01300])","Entity[562588] Report(B000001[01400])","Entity[562588] Report(B000001[01500])","Entity[562588] Report(B000001[01600])","Entity[562588] Report(B000001[01700])", , , ,"Entity[562588] Report(B000001[02100])","Entity[562588] Report(B000001[02200])","Entity[562588] Report(B000001[02300])","Entity[562588] Report(B000001[02400])","Entity[562588] Report(B000001[02500])","Entity[562588] Report(B000001[02600])"
"Line(05200)","4141314","541471","194042", ,"673837","1139729", ,"212893", ,"78223","79103","32650", ,"422212", , ,"33138", , , , , , , ,"7548612", ,"7548612"
"Line(05300)","6897004","419293","1753590", ,"8476216","3602776", ,"164856","1228","28300", ,"137272", ,"737553", , ,"106905", , , , ,"539835","415892", ,"23280720","-955727","22324993"
"Line(05301)","371456", , , , ,"289529", , , , , ,"11130", , , , , , , , , , , , ,"1742337", ,"1742337"
"Line(05400)","17040807","2305718","6964386", ,"5353178","6501651", ,"906552","55098","156760", ,"147915", ,"92965", , ,"204306", , , , ,"2274354","1752176", ,"43755866","-4026530","39729336"
"Line(05413)","1576186", ,"87137", ,"3172","437118", , , , , ,"10638", , , , ,"630", , , , , , , ,"2740352", ,"2740352"
"Line(05500)","4809510","321368","1366791", ,"1188488","1578214", ,"126354", ,"10824", ,"26120", , , , ,"78760", , , , ,"64340","49568","22267","9886617","-113908","9772709"
"Line(05600)","1232313","179324","204078", ,"301681","393703", ,"70506", ,"6155", ,"8306", , , , ,"23449", , , , ,"350398","269949", ,"3039862","-620347","2419515"
"Line(05601)","41886", , , , ,"17644", , , , , ,"156", , , , , , , , , , , , ,"122681", ,"122681"
"Line(05700)","5744273","143424","75083", ,"278893","1281615", ,"56391", ,"4923", ,"15956", , , , ,"136631", , , , , , , ,"7737189", ,"7737189"
"Line(05701)","548835", , , , ,"129185", , , , , ,"3574", , , , , , , , , , , , ,"774613", ,"774613"
"Line(05800)","3892495","318181","1259826", ,"270271","1178764", ,"125101", ,"11754", ,"15846", ,"974", , ,"82653", , , , , , , ,"7155865", ,"7155865"
"Line(05801)","583234", , , , ,"143584", , , , , ,"2009", , , , , , , , , , , , ,"869423", ,"869423"
"Line(05900)","5226642","505108","474460", ,"768760","1432185", ,"198596", ,"17337", ,"16517", ,"99035", , ,"71764", , , , , , , ,"8810404", ,"8810404"
"Line(06000)","7758783","1258887","1652881", ,"2641561","2733403", ,"494966","1767","84584", ,"185659", ,"42087", , ,"358138", , , , ,"1158193","892279", ,"19439976","-2050472","17389504"
"Line(06005)","8284756","609595","1456562", ,"1716987","2477926", ,"239678", ,"20612", ,"53143", , , , ,"56108", , , , ,"73167","56369", ,"15044903","-129536","14915367"
"Line(06006)","455511","41881","1756", ,"56920","114179", ,"16466", ,"1438", ,"2725", , , , ,"2327", , , , , , , ,"693203", ,"693203"
"Line(06016)","2481094", ,"7340", ,"1616","597298", , , , , ,"13573", , , , ,"42", , , , , , , ,"3636859", ,"3636859"
"Line(06300)","4417971","311036","207078", ,"1040013","1227084", ,"122292", ,"10675", ,"56024", ,"94097", , ,"55628", , , , , , , ,"7541898", ,"7541898"
"Line(06301)","72423", , , , ,"14976", , , , , , , , , , , , , , , , , , ,"87924", ,"87924"
"Line(06400)","5333349","346355","14640", ,"354278","1241976", ,"136179", ,"11888", ,"15995", ,"75984", , ,"24811","1315", , , , , , ,"7556770", ,"7556770"
"Line(06500)","5091098","1118719","2169145", ,"3315442","2401235", ,"439853", ,"38399", ,"120659", ,"157727", , ,"214293", , , , , , , ,"15066570", ,"15066570"
"Line(06501)","374436","66653","107789", ,"79032","128930", ,"26206", ,"575", ,"4550", , , , ,"4901", , , , ,"408976","315078", ,"1517126","-724054","793072"
"Line(06502)","1586552", , , , ,"392341", , , , , ,"13832", , , , , , , , , , , , ,"2349869", ,"2349869"
"Line(06600)","3302538","347493","68609", ,"822249","932390", ,"136625", ,"13121", ,"43265", , , , ,"37101", , , , , , , ,"5703391", ,"5703391"
"Line(06602)","281509", , , , ,"71994", , , , , ,"2322", , , , , , , , , , , , ,"447231", ,"447231"
"Line(06700)","1004984","15882","12977", ,"274042","268551", ,"6244", ,"2851", ,"11417", , , , ,"15690", , , , , , , ,"1612638", ,"1612638"
"Line(06702)","265187", , , , ,"67586", , , , , ,"2003", , , , ,"45", , , , , , , ,"421796", ,"421796"
"Line(06800)","984803","27655","211", ,"149369","238604", ,"10873", ,"1047", ,"7953", , , , ,"4969", , , , , , , ,"1425484", ,"1425484"
"Line(06802)","899472","59111","35373", ,"119933","228717", ,"23241", ,"1579", ,"5529", , , , ,"5946", , , , , , , ,"1378901", ,"1378901"
"Line(06803)","86606", , , ,"14494","21085", , , , , ,"664", , , , ,"645", , , , , , , ,"125085", ,"125085"
"Line(06900)","-102631","511853","105081", ,"1097439","330942", ,"201248","9006","42166", ,"42461", ,"774", , ,"28044", , , , ,"283325","218275", ,"2767983","-501600","2266383"
"Line(06901)","1315", , , , ,"917", , , , , , , , , , , , , , , , , , ,"5387", ,"5387"
"Line(07000)","3262094","296096","179801", ,"1117556","996999", ,"116422","57079","18718", ,"34637", , , , ,"29478","460311", , , , , , ,"6569191", ,"6569191"
"Line(07100)","63635623", ,"159940", , ,"13099271", , , , , , , , ,"3014150", ,"247491", , , , , , , ,"80156475", ,"80156475"
"Line(07101)","4129951", , , , ,"860246", , , , , , , , , , , , , , , , , , ,"5791021", ,"5791021"
"Line(07200)","24585466", , , , ,"5048183", , , , , , , , ,"1530396", ,"149749", , , , , , , ,"31313794", ,"31313794"
"Line(07201)","882259", , , , ,"181156", , , , , , , , , , , , , , , , , , ,"1260493", ,"1260493"
"Line(07300)","51539062", , , , ,"10582619", , , , , , , , , ,"27922933","410144", , , , , , ,"66801","91095051", ,"91095051"
"Line(07301)","1497200", , , , ,"307423", , , , , , , , , , , , , , , , , , ,"6530722", ,"6530722"
"Line(07400)","5944000","1043043","1565396", ,"1250159","2012787", ,"410103","830","36967", ,"88349", ,"497915", , ,"72971","1076675", , , , , , ,"13999195", ,"13999195"
"Line(07602)","125823", ,"2694", ,"36961","33978", , ,"204", , ,"2823", , , , ,"1148", , , , , , , ,"203631", ,"203631"
"Line(09000)","26201998","6479838","5226529", ,"21032247","12102394", ,"2547724","535413","446316", ,"668348", ,"1299347", , ,"198644","3140213", , , ,"10887228","8387587", ,"99153826","-19274815","79879011"
"Line(09001)","2632098","457048","45594", ,"1250202","900369", ,"179695","23708","16783", ,"43931", ,"235207", , ,"17747","1633215", , , , , , ,"7435597", ,"7435597"
"Line(09002)","364730","332222","35373", ,"333945","218939", ,"130622", ,"11494", ,"13299", ,"60910", , ,"4323","88180", , , , , , ,"1594037", ,"1594037"
"Line(09003)","1954523","516484","249095", ,"1054308","775007", ,"203069","7213","6430", ,"33171", ,"131862", , ,"19345","5362", , , , , , ,"4955869", ,"4955869"
"Line(09004)","1219502","279212","331815", ,"821070","544458", ,"109780","9251","4576", ,"31657", ,"107184", , ,"13072", , , , , , , ,"3471577", ,"3471577"
"Line(09005)","338245","68392","28361", ,"255029","141685", ,"26893","8917","11499", ,"8838", ,"42760", , ,"3902", , , , , , , ,"934521", ,"934521"
"Line(09006)","3811726", ,"686178", ,"279166","980885", , ,"9853", , ,"9868", , , , ,"35631", , , , , , , ,"5813307", ,"5813307"
"Line(09007)","300566","88237","21423", ,"185515","122325", ,"34693","1355","3029", ,"6335", ,"8809", , ,"3259", , , , , , , ,"775546", ,"775546"
