"----------"," Entity 562588"," Report L00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[562588] Report(L00A181[00100])", , , , , , , , , , , , , , , , , , 
 ,"8410042", , , , , , , , , , , , , , , , , , 
 ,"1084375", , , , , , , , , , , , , , , , , , 
 ,"385", , , , , , , , , , , , , , , , , , 
 ,"171", , , , , , , , , , , , , , , , , , 
 ,"13", , , , , , , , , , , , , , , , , , 
 ,"1122741", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"519741", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
