"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(D00A182)", ,"Entity[562588] Report(D00A182[00100])","Entity[562588] Report(D00A182[00200])","Entity[562588] Report(D00A182[00300])","Entity[562588] Report(D00A182[00400])","Entity[562588] Report(D00A182[00500])"
"Line(05000)", ,"16541213","314828603","0","44729093","2350067"
"Line(05001)", ,"1698445","32862124","0"
"Line(05200)", ,"1038015","25289918","0","209480","8598"
"Line(05300)", ,"2827869","81548102","0","12279376","425812"
"Line(05301)", ,"216288","8920641","0","1630","40"
"Line(05400)", ,"10273279","160166050","0","21125967","1355041"
"Line(05413)", ,"508215","8694329","0","2092","122"
"Line(05500)", ,"1903217","59984436","0","1194293","37894"
"Line(05600)", ,"445126","17859269","0","966693","24094"
"Line(05601)", ,"52580","508121","0","9385","971"
"Line(05700)", ,"384071","104060334","0","16207146","59821"
"Line(05701)", ,"33213","4477410","0"
"Line(05800)", ,"1744002","62950039","0","6334724","175504"
"Line(05801)", ,"96808","6487343","0"
"Line(05900)", ,"1210393","54656719","0","14096367","312164"
"Line(06000)", ,"3396462","230476776","0","40816939","601519"
"Line(06005)", ,"2414177","67210298","0","8650881","310740"
"Line(06006)", ,"60788","1772435","0","143098","4908"
"Line(06016)", ,"315971","10611146","0","5849","174"
"Line(06300)", ,"721966","42366753","0","12773489","217673"
"Line(06301)", ,"2232","1751258","0","88"
"Line(06400)", ,"551968","18896515","0","34533","1009"
"Line(06500)", ,"3724815","77294061","0","23867500","1150175"
"Line(06501)", ,"195728","3733054","0","95785","5022"
"Line(06502)", ,"144516","8209666","0","2012","35"
"Line(06600)", ,"563631","28256856","0","6893923","137513"
"Line(06602)", ,"39262","1257620","0","974","30"
"Line(06700)", ,"64862","11949445","0","4863180","26397"
"Line(06702)", ,"39618","1625001","0"
"Line(06800)", ,"59941","4213457","0","1225515","17434"
"Line(06802)", ,"127020","4528253","0","20819","584"
"Line(06803)", ,"4232","756193","0","1668","9"
"Line(06900)", ,"709866","17702404","0","3631592","145627"
"Line(06901)", ,"3258","290555","0","154","2"
"Line(07000)", ,"671327","24217792","0","2497083","69219"
"Line(07100)", ,"2105635","179644475","0","48080694","563554"
"Line(07101)", ,"292977","10950923","0"
"Line(07200)", ,"804500","111113205","0","51367665","371902"
"Line(07201)", ,"50011","2937958","0"
"Line(07300)", ,"2735082","293052377","0","52432916","489356"
"Line(07301)", ,"258734","19831214","0"
"Line(07400)", ,"3141814","55575780","0","2370716","134021"
"Line(07602)", ,"7550","874667","0","2043","18"
"Line(09000)", ,"14439816","244115866","0","16484022","975046"
"Line(09001)", ,"839043","13516570","0","36159","2245"
"Line(09002)", ,"442333","3292757","0","21531","2892"
"Line(09003)", ,"934906","14733550","0","56204","3566"
"Line(09004)", ,"730162","9956117","0","49907","3660"
"Line(09005)", ,"132456","2971702","0","9546","425"
"Line(09006)", ,"804462","32676958","0","108482","2671"
"Line(09007)", ,"134603","2482236","0","10441","566"
"Line(09008)", ,"117643","2519630","0"
"Line(09009)", ,"516060","1804081","0","4877","1395"
"Line(09010)", ,"468410","2150272","0","5164","1125"
"Line(09011)", ,"255071","4076320","0"
"Line(09012)", ,"7722","318929","0","650","16"
"Line(09013)", ,"178828","2295858","0","2707","211"
"Line(09014)", ,"1962026","41770191","0","11316","532"
"Line(09015)", ,"230468","2911926","0","1200","95"
"Line(09016)", ,"212206","1847353","0","6473","744"
"Line(09017)", ,"2677977","30800567","0","32359","2813"
"Line(09018)", ,"336059","5208951","0","24945","1609"
"Line(09020)", ,"1301485","15903201","0"
"Line(09100)", ,"2718548","133801682","0","20666733","419907"
"Line(09101)", ,"498170","27806209","0","6791","122"
"Line(09200)", ,"1527626","19164955","0","1995548","159063"
"Line(09400)", ,"197259","7931229","0"
