"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report S410000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(S410000)", ,"Entity[562588] Report(S410000[00100])","Entity[562588] Report(S410000[00200])","Entity[562588] Report(S410000[00300])","Entity[562588] Report(S410000[00400])","Entity[562588] Report(S410000[00500])"
"Line(00200)", , ,"1295"
"Line(01900)", ,"1"
"Line(02000)", ,"28660"
"Line(02100)", ,"15360","1831","486","168","17845"
"Line(02200)", ,"2382922","304684","59847","25234","2772687"
"Line(02300)", ,"9726","83","94","73","9976"
"Line(02400)", ,"1704860","14662","9298","12874","1741694"
"Line(02500)", ,"1754","21","7","26","1808"
"Line(02600)", ,"311827","3755","1252","4649","321483"
"Line(02700)", ,"452","11","2","16","481"
"Line(02800)", ,"77421","1967","179","2861","82428"
"Line(02900)", ,"176","5","5","3","189"
"Line(03000)", ,"39732","1155","693","693","42273"
"Line(03100)", ,"1965","67","10","28","2070"
"Line(03200)", ,"219349","7478","906","3172","230905"
"Line(03300)", ,"29433","2018","604","314","32369"
"Line(03500)", ,"4736111","333701","72175","49483","5191470"
"Line(03600)", ,"1629", ,"150","20","1799"
"Line(03700)", , ,"46", ,"1","47"
