"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(S300002)", ,"Entity[562588] Report(S300002[00100])","Entity[562588] Report(S300002[00200])","Entity[562588] Report(S300002[00300])","Entity[562588] Report(S300002[00400])","Entity[562588] Report(S300002[00500])","Entity[562588] Report(S300002[00600])"
"Line(00100)", ,"200","496035493","2722281","498757774","10988739","45"
"Line(00300)", , , ,"13608281","13608281","151053","90"
"Line(00400)", , , ,"32863211","32863211","205243","160"
"Line(00401)", , , ,"13307462","13307462","86223","154"
"Line(00500)", , , ,"155850506","155850506","1230988","127"
"Line(00700)", ,"21","23909396", ,"23909396","932865","26"
"Line(00900)", ,"44","2360460","4021","2364481","85938","28"
"Line(01000)", , ,"28759053","-1838199","26920854","935737","29"
"Line(01100)", , ,"5898266", ,"5898266","102030","58"
"Line(01400)", , ,"83930073", ,"83930073","3013664","28"
"Line(01700)", , , ,"49282937","49282937"
"Line(01900)", , , ,"7489999","7489999"
"Line(02100)", , , ,"1564265","1564265"
"Line(02200)", , , ,"2943204","2943204"
"Line(02201)", , , ,"1728367","1728367"
"Line(02300)", , , ,"14883573","14883573"
"Line(02500)", , , ,"6034107","6034107"
"Line(02600)", ,"4"
"Line(02700)", ,"5","-13296512","41146389","27849877","432400","64"
"Line(02800)", , ,"10138853", ,"10138853","82954","122"
"Line(02900)", ,"6"
"Line(03000)", ,"7","903891","-494045","409846","10040","41"
"Line(03100)", ,"8","35883", ,"35883","2826","13"
"Line(03200)", ,"9","1743883","-59345","1684538","132496","13"
"Line(03400)", ,"10","4630479", ,"4630479","307525","15"
"Line(03600)", ,"11"
"Line(03700)", ,"12"
"Line(03800)", ,"13","8511075","-82358","8428717","264908","32"
"Line(03900)", ,"14","2096616", ,"2096616","114453","18"
"Line(04000)", ,"15","11781399","-543185","11238214","274504","41"
"Line(04100)", ,"16"
"Line(04200)", ,"17","5333115","-87270","5245845","177303","30"
