"----------"," Entity 562588"," Report C000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS", , , , , , , 
"","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient", , , , , 
"","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio", , , , , , , 
"","","1","2","3","4","5","6","7","8","9","10","11", , , , , , , 
 ,"Entity[562588] Report(C000001[00100])", ,"Entity[562588] Report(C000001[00300])","Entity[562588] Report(C000001[00400])","Entity[562588] Report(C000001[00500])","Entity[562588] Report(C000001[00600])","Entity[562588] Report(C000001[00700])","Entity[562588] Report(C000001[00800])","Entity[562588] Report(C000001[00900])", ,"Entity[562588] Report(C000001[01100])", , , , , , , , 
 ,"90605352", ,"90605352","87294","90692646","180556112", ,"180556112", , , , , , , , , , , 
 ,"26136082", ,"26136082","95626","26231708","64249505", ,"64249505", , , , , , , , , , , 
 ,"16295956", ,"16295956", ,"16295956","50702393", ,"50702393", , , , , , , , , , , 
 ,"9343814", ,"9343814", ,"9343814","13008533", ,"13008533", , , , , , , , , , , 
 ,"4947012", ,"4947012", ,"4947012","9281378", ,"9281378", , , , , , , , , , , 
 ,"23", ,"23", ,"23", , , , , , , , , , , , , , 
 ,"1454676", ,"1454676", ,"1454676","3163854", ,"3163854", , , , , , , , , , , 
 ,"6316847", ,"6316847", ,"6316847","8976149", ,"8976149", , , , , , , , , , , 
 ,"70938237", ,"70938237","1457368","72395605","117341730","197486873","314828603","0", ,"0", , , , , , , , 
 ,"10714150", ,"10714150", ,"10714150","8033048","24829076","32862124","0", ,"0", , , , , , , , 
 ,"7548612", ,"7548612", ,"7548612","21605104","3684814","25289918","0", ,"0", , , , , , , , 
 ,"22324993", ,"22324993","1222840","23547833","33202785","48345317","81548102","0", ,"0", , , , , , , , 
 ,"1742337", ,"1742337","195684","1938021","2325450","6595191","8920641","0", ,"0", , , , , , , , 
 ,"39729336", ,"39729336","1058960","40788296","47066540","113099510","160166050","0", ,"0", , , , , , , , 
 ,"2740352", ,"2740352", ,"2740352","2561267","6133062","8694329","0", ,"0", , , , , , , , 
 ,"9772709", ,"9772709","228218","10000927","2383868","57600568","59984436","0", ,"0", , , , , , , , 
 ,"2419515", ,"2419515","98032","2517547","1804221","16055048","17859269","0", ,"0", , , , , , , , 
