"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I2H0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I2H0000)", ,"Entity[572966] Report(I2H0000[00100])", ,"Entity[572966] Report(I2H0000[00300])","Entity[572966] Report(I2H0000[00400])","Entity[572966] Report(I2H0000[00500])","Entity[572966] Report(I2H0000[00600])","Entity[572966] Report(I2H0000[00700])", ,"Entity[572966] Report(I2H0000[00900])","Entity[572966] Report(I2H0000[01000])","Entity[572966] Report(I2H0000[01100])"
"Line(00100)", ,"63406", ,"376389","68078","174390","130391","516043", ,"1328697","585993","1914690"
"Line(00200)", ,"1899", ,"1593","288","738","552","811", ,"5881","2594","8475"
"Line(00700)", ,"2244", ,"7965","1441","3690","2759","12834", ,"30933","13642","44575"
"Line(00800)", ,"15305", ,"80444","14550","37271","27868","40922", ,"216360","95421","311781"
"Line(01100)", ,"43958", ,"286387","51799","132691","99212","461476", ,"1075523","474336","1549859"
"Line(01700)", ,"63406", ,"376389","68078","174390","130391","516043", ,"1328697","585993","1914690"
