"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I2D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I2D0000)", ,"Entity[572966] Report(I2D0000[00100])","Entity[572966] Report(I2D0000[00200])","Entity[572966] Report(I2D0000[00300])","Entity[572966] Report(I2D0000[00400])","Entity[572966] Report(I2D0000[00500])","Entity[572966] Report(I2D0000[00600])","Entity[572966] Report(I2D0000[00700])", ,"Entity[572966] Report(I2D0000[00900])","Entity[572966] Report(I2D0000[01000])","Entity[572966] Report(I2D0000[01100])"
"Line(00100)", ,"635054","42382","1367591","239380","632664","112526","445020", ,"3474617","2556448","6031065"
"Line(00200)", ,"606418","32418","1045349","238422","494278","86069","230730", ,"2733684","2011307","4744991"
"Line(01200)", ,"28636","9964","322242","958","138386","26457","214290", ,"740933","545141","1286074"
"Line(01700)", ,"635054","42382","1367591","239380","632664","112526","445020", ,"3474617","2556448","6031065"
