"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I4D0010 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I4D0010)", ,"Entity[572966] Report(I4D0010[00100])","Entity[572966] Report(I4D0010[00200])","Entity[572966] Report(I4D0010[00300])", ,"Entity[572966] Report(I4D0010[00500])"
"Line(00100)", ,"4935","4744991","962", ,"2074917"
"Line(01100)", ,"4935","4744991", , ,"2074917"
