"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000Y0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000Y0)","Entity[563706] Report(A6000Y0[00000])","Entity[563706] Report(A6000Y0[00100])", ,"Entity[563706] Report(A6000Y0[00300])","Entity[563706] Report(A6000Y0[00400])","Entity[563706] Report(A6000Y0[00500])", ,"Entity[563706] Report(A6000Y0[00700])","Entity[563706] Report(A6000Y0[00800])","Entity[563706] Report(A6000Y0[00900])"
"Line(05400)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"3278", ,"109", ,"3278"
"Line(05500)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","285964", , ,"112","285964"
"Line(05600)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","103965", , ,"194","103965"
"Line(05700)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","23239", , ,"194","23239"
"Line(05800)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","169435", , ,"60","169435"
"Line(05900)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","46144", , ,"106","46144"
"Line(06000)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"22591", ,"112", ,"22591"
"Line(06100)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"7724", ,"194", ,"7724"
"Line(06200)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"1687", ,"194", ,"1687"
"Line(06300)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"12243", ,"60", ,"12243"
"Line(06400)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"3377", ,"106", ,"3377"
"Line(06500)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"21194", ,"112", ,"21194"
"Line(06600)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"9848", ,"194", ,"9848"
"Line(06700)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"2358", ,"194", ,"2358"
"Line(06800)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"23051", ,"60", ,"23051"
"Line(06900)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"8398", ,"110", ,"8398"
"Line(07000)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"391500", ,"22", ,"391500"
"Line(07100)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"12810", ,"22", ,"12810"
"Line(07200)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"413198", ,"22", ,"413198"
"Line(07300)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"27462", ,"22", ,"27462"
"Line(07400)","PRE-TRANSPLANT COORDINATOR","Y", ,"109", ,"5807", ,"22", ,"5807"
"Line(07500)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"7487", ,"22", ,"7487"
