"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report D00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(D00A181)", ,"Entity[563706] Report(D00A181[00100])", ,"Entity[563706] Report(D00A181[00300])","Entity[563706] Report(D00A181[00400])","Entity[563706] Report(D00A181[00500])","Entity[563706] Report(D00A181[00600])","Entity[563706] Report(D00A181[00700])"
"Line(03000)", ,"17474567", ,"17474567","292304","60","64037","3828132"
"Line(03100)", ,"3621269", ,"3621269","35923","101","8884","895596"
"Line(03200)", ,"852375", ,"852375","9735","88","2709","237200"
"Line(03400)", ,"1679448", ,"1679448","5886","285","1397","398606"
"Line(03500)", ,"1657340", ,"1657340","10282","161","2978","480024"
"Line(03501)", ,"296293", ,"296293","8172","36","1923","69728"
"Line(04000)", ,"2165214", ,"2165214","102697","21","11560","243685"
"Line(04100)", ,"175850", ,"175850","6670","26","1723","45418"
"Line(04400)", ,"126881", ,"126881","7982","16","2192","34853"
