"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(S300002)", ,"Entity[563706] Report(S300002[00100])","Entity[563706] Report(S300002[00200])","Entity[563706] Report(S300002[00300])","Entity[563706] Report(S300002[00400])","Entity[563706] Report(S300002[00500])","Entity[563706] Report(S300002[00600])"
"Line(00100)", ,"200","523251348", ,"523251348","21251400","25"
"Line(00700)", ,"21"
"Line(00701)", , ,"48542028", ,"48542028","1433293","34"
"Line(00900)", ,"44","1491871", ,"1491871","61627","24"
"Line(01000)", , ,"68163083","4039896","72202979","2972659","24"
"Line(01100)", , ,"50803475", ,"50803475","1470599","35"
"Line(01200)", , ,"93179", ,"93179","2237","42"
"Line(01300)", , ,"35091285", ,"35091285","267367","131"
"Line(01400)", , ,"87445346", ,"87445346","1765053","50"
"Line(01600)", , ,"12478023", ,"12478023","108928","115"
"Line(01700)", , ,"130721108", ,"130721108"
"Line(01900)", , ,"21545421", ,"21545421"
"Line(02600)", ,"4","2192452", ,"2192452","112971","19"
"Line(02700)", ,"5","27370289","4702229","32072518","1067131","30"
"Line(02800)", , ,"605382", ,"605382","9837","62"
"Line(02900)", ,"6","10299696", ,"10299696","352205","29"
"Line(03000)", ,"7","11121901","-1369102","9752799","369005","26"
"Line(03100)", ,"8","216043", ,"216043","15421","14"
"Line(03200)", ,"9","11875422", ,"11875422","863188","14"
"Line(03300)", , ,"2632", ,"2632","184","14"
"Line(03400)", ,"10","12370268","-107551","12262717","738551","17"
"Line(03600)", ,"11","2641279","107551","2748830","192667","14"
"Line(03700)", ,"12"
"Line(03800)", ,"13","7965539", ,"7965539","215600","37"
"Line(03900)", ,"14","902309", ,"902309","59683","15"
"Line(04000)", ,"15","10591881", ,"10591881","303675","35"
"Line(04100)", ,"16","8036853", ,"8036853","339045","24"
"Line(04200)", ,"17","12442842","-4939241","7503601","216500","35"
