"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(D00A182)", ,"Entity[563706] Report(D00A182[00100])","Entity[563706] Report(D00A182[00200])","Entity[563706] Report(D00A182[00300])","Entity[563706] Report(D00A182[00400])","Entity[563706] Report(D00A182[00500])"
"Line(05000)", ,"9565312","1117990549","0","209626895","1793568"
"Line(05001)", ,"976670","30115405","0","1313932","42612"
"Line(05002)", ,"5366","1334690","0","3215","13"
"Line(05100)", ,"622286","97846105","0","10638643","67662"
"Line(05300)", ,"1151443","336410503","0","47907147","163986"
"Line(05301)", ,"338069","14566272","0","13888","322"
"Line(05400)", ,"5207448","483527912","0","75391805","811970"
"Line(05401)", ,"148103","49699201","0","4730905","14098"
"Line(05404)", ,"537849","137039195","0","118584","465"
"Line(05405)", ,"510968","25224234","0","6407","130"
"Line(05500)", ,"1496865","138441105","0","2452371","26515"
"Line(05600)", ,"249023","38942357","0","1592572","10184"
"Line(05601)", ,"282185","36511039","0","1953838","15101"
"Line(05700)", ,"456012","452246773","0","50450372","50854"
"Line(05800)", ,"1751054","277066530","0","18816027","118917"
"Line(05801)", ,"56"
"Line(06000)", ,"4913766","2147483647","0","254789796","520281"
"Line(06001)", ,"15997","8090107","0","265838","526"
"Line(06003)", ,"283480","64226233","0","1561349","6892"
"Line(06004)", ,"29803","11598751","0","1774097","4559"
"Line(06200)", ,"165294","349728044","0","56743291","26840"
"Line(06500)", ,"971261","317702527","0","88430423","270332"
"Line(06501)", ,"371311","22525193","0","401854","6624"
"Line(06502)", ,"123017","15478303","0","81129","645"
"Line(06600)", ,"479503","54495077","0","10601644","93284"
"Line(06700)", ,"32248","22375908","0","2903076","4183"
"Line(06900)", ,"155583","57960690","0","7446550","19987"
"Line(06901)", ,"2893097","254618549","0","46838116","532175"
"Line(06902)", ,"397665","69504188","0","10974978","62788"
"Line(06903)", ,"78247","356956","0"
"Line(06904)", ,"40710","124898","0"
"Line(06905)", ,"509487","36775121","0","2174802","30130"
"Line(06907)", ,"169061","2419962","0","53030","3705"
"Line(07000)", ,"379496","98634987","0","14916640","57384"
"Line(07001)", ,"4393","1570013","0","26209","73"
"Line(07100)", ,"1111578","525505464","0","7861226","16626"
"Line(07200)", ,"577354","761696687","0","118176207","89578"
"Line(07300)", ,"1215814","1572940925","0","306897895","237232"
"Line(07301)", ,"107995","50230944","0"
"Line(07400)", ,"108176","1254545","0"
"Line(07500)", ,"1050078","78099242","0","889998","11966"
"Line(07501)", ,"415017","34881718","0"
"Line(07600)", ,"3773","2001874","0"
"Line(07601)", ,"615054","50009268","0","18545987","228097"
"Line(07602)", ,"1681470","61305415","0","5529366","151659"
"Line(07603)", ,"86644","9247366","0","49477","464"
"Line(07604)", ,"151715","4016378","0","1800","68"
"Line(07605)", ,"68792","133692","1"
"Line(07606)", ,"123072","14284613","0"
"Line(07607)", ,"92800","4406483","0"
"Line(07608)", ,"130293","12240356","0","538","6"
"Line(07609)", ,"40519","2814653","0","191","3"
"Line(07610)", ,"89445","15787795","0","133","1"
"Line(07612)", ,"91860","7336656","0","445","6"
"Line(07613)", ,"40819","3480435","0"
"Line(09000)", ,"997874","31758718","0","16809","528"
"Line(09001)", ,"191861","1843038","0","1616","168"
"Line(09002)", ,"21286","892494","0"
"Line(09003)", ,"678611","26453172","0","23104","593"
"Line(09004)", ,"21100","1671250","0","516","7"
"Line(09005)", ,"51799","1625841","0","1537","49"
"Line(09006)", ,"8"
"Line(09007)", ,"699935","6651757","0","23237","2445"
"Line(09008)", ,"263732","7198193","0","284173","10412"
"Line(09009)", ,"154364","450930","0","5402","1849"
"Line(09010)", ,"5988384","723460870","0","2936936","24309"
"Line(09011)", ,"2338134","4734276","0"
"Line(09012)", ,"33805","1183458","0"
"Line(09013)", ,"72824","722341","0"
"Line(09014)", ,"45330","1001038","0"
"Line(09015)", ,"18977","789088","0"
"Line(09016)", ,"3053","1598254","0"
"Line(09017)", ,"113929","9505252","0"
"Line(09018)", ,"766292","25549291","0","2495","75"
"Line(09019)", ,"405125","16835305","0","419","10"
"Line(09020)", ,"168757"
"Line(09023)", ,"93898"
"Line(09024)", ,"2589228","827222277","0","174427","546"
"Line(09100)", ,"3501793","289839229","0","30640133","370194"
"Line(09200)", ,"1246035","113448275","0","138087","1517"
"Line(09300)", ,"367572","8695219","0","27091","1145"
