"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report I2D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(I2D0000)", ,"Entity[563706] Report(I2D0000[00100])","Entity[563706] Report(I2D0000[00200])","Entity[563706] Report(I2D0000[00300])","Entity[563706] Report(I2D0000[00400])","Entity[563706] Report(I2D0000[00500])","Entity[563706] Report(I2D0000[00600])","Entity[563706] Report(I2D0000[00700])", ,"Entity[563706] Report(I2D0000[00900])","Entity[563706] Report(I2D0000[01000])","Entity[563706] Report(I2D0000[01100])"
"Line(00100)", ,"178352","9425","471298","82075","205922","183403","111365", ,"1241840","160195","1402035"
"Line(00200)", ,"178352","9425","471298","82075","205922","183403","111365", ,"1241840","160195","1402035"
"Line(01700)", ,"178352","9425","471298","82075","205922","183403","111365", ,"1241840","160195","1402035"
