"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report D00C182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(D00C182)", ,"Entity[563706] Report(D00C182[00100])","Entity[563706] Report(D00C182[00200])","Entity[563706] Report(D00C182[00300])","Entity[563706] Report(D00C182[00400])","Entity[563706] Report(D00C182[00500])"
"Line(05000)", ,"9565312","1117990549","0","91798","785"
"Line(05001)", ,"976670","30115405","0"
"Line(05002)", ,"5366","1334690","0"
"Line(05100)", ,"622286","97846105","0","16663","106"
"Line(05300)", ,"1151443","336410503","0","47399","162"
"Line(05301)", ,"338069","14566272","0"
"Line(05400)", ,"5207448","483527912","0","211589","2279"
"Line(05401)", ,"148103","49699201","0","7913","24"
"Line(05404)", ,"537849","137039195","0"
"Line(05405)", ,"510968","25224234","0"
"Line(05500)", ,"1496865","138441105","0","23036","249"
"Line(05600)", ,"249023","38942357","0","2379","15"
"Line(05601)", ,"282185","36511039","0"
"Line(05700)", ,"456012","452246773","0","164727","166"
"Line(05800)", ,"1751054","277066530","0","72556","459"
"Line(05801)", ,"56"
"Line(06000)", ,"4913766","2147483647","0","1732669","3538"
"Line(06001)", ,"15997","8090107","0"
"Line(06003)", ,"283480","64226233","0","2181","10"
"Line(06004)", ,"29803","11598751","0"
"Line(06200)", ,"165294","349728044","0","72853","34"
"Line(06500)", ,"971261","317702527","0","709036","2168"
"Line(06501)", ,"371311","22525193","0","9792","161"
"Line(06502)", ,"123017","15478303","0"
"Line(06600)", ,"479503","54495077","0","1265726","11137"
"Line(06700)", ,"32248","22375908","0","1734430","2499"
"Line(06900)", ,"155583","57960690","0","14572","39"
"Line(06901)", ,"2893097","254618549","0","131561","1495"
"Line(06902)", ,"397665","69504188","0","13767","79"
"Line(06903)", ,"78247","356956","0"
"Line(06904)", ,"40710","124898","0"
"Line(06905)", ,"509487","36775121","0"
"Line(06907)", ,"169061","2419962","0"
"Line(07000)", ,"379496","98634987","0","18925","73"
"Line(07001)", ,"4393","1570013","0"
"Line(07100)", ,"1111578","525505464","0","42680","90"
"Line(07200)", ,"577354","761696687","0","266354","202"
"Line(07300)", ,"1215814","1572940925","0","2645624","2045"
"Line(07301)", ,"107995","50230944","0"
"Line(07400)", ,"108176","1254545","0"
"Line(07500)", ,"1050078","78099242","0"
"Line(07501)", ,"415017","34881718","0"
"Line(07600)", ,"3773","2001874","0"
"Line(07601)", ,"615054","50009268","0","156179","1921"
"Line(07602)", ,"1681470","61305415","0","13322","365"
"Line(07603)", ,"86644","9247366","0"
"Line(07604)", ,"151715","4016378","0"
"Line(07605)", ,"68792","133692","1"
"Line(07606)", ,"123072","14284613","0"
"Line(07607)", ,"92800","4406483","0"
"Line(07608)", ,"130293","12240356","0"
"Line(07609)", ,"40519","2814653","0"
"Line(07610)", ,"89445","15787795","0"
"Line(07612)", ,"91860","7336656","0"
"Line(07613)", ,"40819","3480435","0"
"Line(09000)", ,"997874","31758718","0"
"Line(09001)", ,"191861","1843038","0"
"Line(09002)", ,"21286","892494","0"
"Line(09003)", ,"678611","26453172","0"
"Line(09004)", ,"21100","1671250","0"
"Line(09005)", ,"51799","1625841","0"
"Line(09006)", ,"8"
"Line(09007)", ,"699935","6651757","0","183","19"
"Line(09008)", ,"263732","7198193","0"
"Line(09009)", ,"154364","450930","0"
"Line(09010)", ,"5988384","723460870","0"
"Line(09011)", ,"2338134","4734276","0"
"Line(09012)", ,"33805","1183458","0"
"Line(09013)", ,"72824","722341","0"
"Line(09014)", ,"45330","1001038","0"
"Line(09015)", ,"18977","789088","0"
"Line(09016)", ,"3053","1598254","0"
"Line(09017)", ,"113929","9505252","0"
"Line(09018)", ,"766292","25549291","0"
"Line(09019)", ,"405125","16835305","0"
"Line(09020)", ,"168757"
"Line(09023)", ,"93898"
"Line(09024)", ,"2589228","827222277","0"
"Line(09100)", ,"3501793","289839229","0","595","7"
"Line(09200)", , ,"113448275"
"Line(09300)", ,"367572","8695219","0"
