"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563706] Report(B000001)","Entity[563706] Report(B000001[00000])","Entity[563706] Report(B000001[00100])","Entity[563706] Report(B000001[00200])", ,"Entity[563706] Report(B000001[00400])", ,"Entity[563706] Report(B000001[00600])","Entity[563706] Report(B000001[00700])","Entity[563706] Report(B000001[00800])","Entity[563706] Report(B000001[00900])","Entity[563706] Report(B000001[01000])","Entity[563706] Report(B000001[01100])", ,"Entity[563706] Report(B000001[01300])","Entity[563706] Report(B000001[01400])","Entity[563706] Report(B000001[01500])","Entity[563706] Report(B000001[01600])","Entity[563706] Report(B000001[01700])","Entity[563706] Report(B000001[01800])", ,"Entity[563706] Report(B000001[02000])","Entity[563706] Report(B000001[02100])","Entity[563706] Report(B000001[02200])","Entity[563706] Report(B000001[02300])","Entity[563706] Report(B000001[02400])","Entity[563706] Report(B000001[02500])","Entity[563706] Report(B000001[02600])"
"Line(01800)","4743656", ,"50363", ,"1041572", ,"30529", , ,"7746", ,"75561", ,"135420", , , , ,"6493728"
"Line(01801)","331062"
"Line(01802)","479302", ,"25", ,"97053", , , , , , ,"2789", ,"10073"
"Line(02000)","3886510", ,"10444", ,"1082559", , , ,"13544", , ,"27680", ,"60", , , , , , ,"5335764"
"Line(02100)","50341510", , , , , , , , , , , , , , , , , , , , ,"53453119"
"Line(02101)","4702329"
"Line(02200)","10914645","2533308","89769", ,"253344", ,"4043625","1006322", ,"1279936", ,"7120", ,"10608", , , , ,"130", , , ,"22718129"
"Line(02201)","2132349", , , ,"267715", , , , , , , , ,"23601","334"
"Line(02300)","12898", , , , , , , , , , , , , , , , , , , , , , ,"13695"
"Line(02301)","1143538", , , ,"291740", , , , , , ,"4095"
"Line(02302)","1547259", , , , , , , , , , ,"3071"
"Line(02307)", , ,"72", ,"35444", , , , , , ,"768"
"Line(02308)","11709", , , ,"2915", , , , , , ,"72"
"Line(03000)","111494757","6406780","632086", ,"24668295", ,"10977348","2033161","2631506","2841462","12911831","884169", ,"6614737","4041","3841","7359634","10555933","2623182", ,"4550714","20533052","8726757", ,"264851513","-29259809","235591704"
"Line(03100)","28698003","1736433","292269", ,"6005544", ,"1530047","551049","514979","388210","2233644","195011", ,"1551731","845","1555","2381042","511571","325739", ,"140906","1504730","639526", ,"53930331","-2144256","51786075"
"Line(03200)","8156531","298840","20989", ,"1647449", ,"263321","94836","103389","66811","605309","52565", ,"420100","4136","541","651097","156959","11698", ,"644144", , , ,"15102374", ,"15102374"
"Line(03400)","5786500","1106129","43768", ,"1113891", ,"1003665","351025","254921","254654","365984","33637", ,"276884","469","1353","407623","67366","37282", , , , , ,"11767632", ,"11767632"
"Line(03500)","7247214","1045176","140994", ,"1474338", ,"920951","331682","201240","233668","639321","49084", ,"400380","7387","1439","643772","217486","21858", , , , , ,"14438351", ,"14438351"
"Line(03501)","6354799", ,"5064", ,"1297031", ,"808925", , ,"205244", ,"40629", ,"334831", ,"509","523682","180212","3647", , , , , ,"11057557", ,"11057557"
"Line(04000)","32813169", , , ,"6590637", , , , , , , , ,"803815","26377", ,"1586380", , , , , , , ,"59057765","-3056288","56001477"
