 , ,"CHARGES", , , , , , , , , , , , , , , , , 
 , ,"CHARGES", , , , , , , , , , , , , , , , , 
 , ,"CHARGES", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report I1D0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572851] Report(I1D0000[00100])", ,"Entity[572851] Report(I1D0000[00300])","Entity[572851] Report(I1D0000[00400])", , , , , , , , , , , , , , , 
 ,"1787467", ,"50655","24", , , , , , , , , , , , , , , 
 ,"14588", ,"624","0", , , , , , , , , , , , , , , 
 ,"8604", ,"767","0", , , , , , , , , , , , , , , 
 ,"82453", ,"5810","3", , , , , , , , , , , , , , , 
 ,"256566", , , , , , , , , , , , , , , , , , 
 ,"2149678", , , , , , , , , , , , , , , , , , 
 ,"84753", , , , , , , , , , , , , , , , , , 
 ,"2234431", , , , , , , , , , , , , , , , , , 
 ,"259907", , , , , , , , , , , , , , , , , , 
 ,"172603", , , , , , , , , , , , , , , , , , 
 ,"588007", , , , , , , , , , , , , , , , , , 
 ,"617574", , , , , , , , , , , , , , , , , , 
 ,"495805", , , , , , , , , , , , , , , , , , 
 ,"1739", , , , , , , , , , , , , , , , , , 
 ,"10732", , , , , , , , , , , , , , , , , , 
 ,"-324996", , , , , , , , , , , , , , , , , , 
 ,"329655", , , , , , , , , , , , , , , , , , 
 ,"4385457", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report I2D0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572851] Report(I2D0000[00100])","Entity[572851] Report(I2D0000[00200])","Entity[572851] Report(I2D0000[00300])","Entity[572851] Report(I2D0000[00400])","Entity[572851] Report(I2D0000[00500])","Entity[572851] Report(I2D0000[00600])","Entity[572851] Report(I2D0000[00700])", ,"Entity[572851] Report(I2D0000[00900])","Entity[572851] Report(I2D0000[01000])","Entity[572851] Report(I2D0000[01100])", , , , , , , , 
 ,"755712","172603","1787467","105645","588007","-324996","10732", ,"3095170","1288548","4383718", , , , , , , , 
 ,"155021","35407","366669","21671","120620","-66667","2201", ,"634922","264324","899246", , , , , , , , 
 ,"118886","27153","281199","16620","92503","-51127","1688", ,"486922","202710","689632", , , , , , , , 
 , , , , , ,"-1", , ,"-1", ,"-1", , , , , , , , 
 ,"89105","20351","210759","12457","69331","-38320","1265", ,"364948","151931","516879", , , , , , , , 
 ,"118886","27153","281199","16620","92503","-51127","1688", ,"486922","202710","689632", , , , , , , , 
 ,"273814","62539","647641","38277","213050","-117754","3890", ,"1121457","466873","1588330", , , , , , , , 
 ,"755712","172603","1787467","105645","588007","-324996","10732", ,"3095170","1288548","4383718", , , , , , , , 
 , , , , , , , , , , ,"1739", , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report I3D0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"Entity[572851] Report(I3D0000[00000])","Entity[572851] Report(I3D0000[00100])","Entity[572851] Report(I3D0000[00200])","Entity[572851] Report(I3D0000[00300])","Entity[572851] Report(I3D0000[00400])","Entity[572851] Report(I3D0000[00500])","Entity[572851] Report(I3D0000[00600])","Entity[572851] Report(I3D0000[00700])", ,"Entity[572851] Report(I3D0000[00900])","Entity[572851] Report(I3D0000[01000])", , , , , , , , , 
 ,"755712","172603","1787467","105645","588007","-324996","10732", ,"3095170","1288548", , , , , , , , , 
 ,"3269","3269","3269","3269","3269","3269","3269", , , , , , , , , , , , 
 ,"2507","2507","2507","2507","2507","2507","2507", , , , , , , , , , , , 
 ,"1879","1879","1879","1879","1879","1879","1879", , , , , , , , , , , , 
 ,"2507","2507","2507","2507","2507","2507","2507", , , , , , , , , , , , 
"5774","5774","5774","5774","5774","5774","5774","5774", , , , , , , , , , , , 
 ,"15936","15936","15936","15936","15936","15936","15936", , ,"3095170", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report I4D0010 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572851] Report(I4D0010[00100])","Entity[572851] Report(I4D0010[00200])","Entity[572851] Report(I4D0010[00300])", ,"Entity[572851] Report(I4D0010[00500])", , , , , , , , , , , , , , 
 ,"3269","899246","275", ,"223090", , , , , , , , , , , , , , 
 ,"2507","689632","275", ,"57492", , , , , , , , , , , , , , 
 , ,"-1", , , , , , , , , , , , , , , , , 
 ,"1879","516879","275", ,"99579", , , , , , , , , , , , , , 
 ,"2507","689632","275", , , , , , , , , , , , , , , , 
 ,"7655","2795388", , ,"380161", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report I500000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572851] Report(I500000[00100])","Entity[572851] Report(I500000[00200])", , , , , , , , , , , , , , , , , 
 ,"380161", , , , , , , , , , , , , , , , , , 
 ,"325854","300189", , , , , , , , , , , , , , , , , 
 ,"325854","300189", , , , , , , , , , , , , , , , , 
 ,"65169","60036", , , , , , , , , , , , , , , , , 
 ,"65169","60036", , , , , , , , , , , , , , , , , 
 , ,"60036", , , , , , , , , , , , , , , , , 
 , ,"240151", , , , , , , , , , , , , , , , , 
 ,"3123398", , , , , , , , , , , , , , , , , , 
 ,"2795388", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
