"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572851] Report(D00A182)", ,"Entity[572851] Report(D00A182[00100])","Entity[572851] Report(D00A182[00200])","Entity[572851] Report(D00A182[00300])","Entity[572851] Report(D00A182[00400])","Entity[572851] Report(D00A182[00500])"
"Line(05000)", ,"8499251","368142090","0","80301902","1853930"
"Line(05001)", ,"82452","515164","0","270","43"
"Line(05100)", ,"1370117","59181129","0","7794584","180452"
"Line(05200)", ,"1741746","54684366","0","252345","8037"
"Line(05300)", ,"1468817","436277705","0","66631126","224347"
"Line(05400)", ,"4875228","168682214","0","25374208","733365"
"Line(05500)", ,"2585403","62805180","0","1404263","57806"
"Line(05600)", ,"611797","16094533","0","1523310","57906"
"Line(05700)", ,"731422","200213569","0","25377710","92705"
"Line(05800)", ,"1126268","75892736","0","7637126","113335"
"Line(05900)", ,"2771961","142973150","0","26790082","519406"
"Line(06000)", ,"4378451","615800782","0","80940380","575486"
"Line(06001)", ,"115694","6645625","0","319378","5560"
"Line(06002)", ,"108908","9626070","0","427252","4834"
"Line(06500)", ,"1506369","64929999","0","19284098","447391"
"Line(06600)", ,"627340","25652243","0","7498029","183372"
"Line(06800)", ,"39547","3412921","0","1400038","16222"
"Line(06900)", ,"800667","58008093","0","9800412","135275"
"Line(07100)", ,"4170930","85146053","0","20909932","1024294"
"Line(07200)", ,"2251141","294503999","0","74441269","569029"
"Line(07300)", ,"3007977","316340361","0","56425561","536551"
"Line(07400)", ,"678716","14975699","0","3629531","164494"
"Line(07500)", ,"1452194","92205489","0","1735796","27339"
"Line(07601)", ,"79062","127050","1","18735","11659"
"Line(07602)", ,"83630","5877788","0","546916","7782"
"Line(07603)", ,"3325909","54505550","0","4999391","305063"
"Line(07697)", ,"90705","1644012","0","142588","7867"
"Line(09000)", ,"227230","2647666","0","742","64"
"Line(09001)", ,"546268","2528692","0"
"Line(09002)", ,"567390","5578463","0","345","35"
"Line(09003)", ,"1258156","11053097","0","66859","7610"
"Line(09004)", ,"2492360","13130041","0","14431","2739"
"Line(09005)", ,"171579","1985051","0"
"Line(09006)", ,"22339","75444","0"
"Line(09007)", ,"231810","5626481","0","1699","70"
"Line(09008)", ,"70248","775374","0","54","5"
"Line(09009)", ,"866631","9246204","0","9463","887"
"Line(09010)", ,"35010","760695","0"
"Line(09011)", ,"65574","574896","0","7299","833"
"Line(09012)", ,"3560","186423","0"
"Line(09013)", ,"285172","638644","0","2525","1127"
"Line(09014)", ,"128560","3301907","0","7136","278"
"Line(09015)", ,"1988058","152754002","0","137389","1788"
"Line(09016)", ,"260845","3612544","0","3859","279"
"Line(09017)", ,"154842","1338764","0","143","17"
"Line(09020)", ,"132614","1340183","0","5361","530"
"Line(09021)", ,"359083","13553075","0","2180196","57764"
"Line(09022)", ,"153667","13175457","0","43885","512"
"Line(09023)", ,"16993","1100868","0"
"Line(09024)", ,"26033","2368032","0","3071","34"
"Line(09025)", ,"68184","382274","0","732","131"
"Line(09100)", ,"2454095","174932734","0","19230623","269786"
"Line(09101)", ,"320827","5482245","0"
"Line(09102)", ,"581675","40613248","0"
"Line(09103)", ,"136121","12027910","0","759534","8596"
"Line(09200)", ,"1683846","32981879","0","2020014","103130"
"Line(09201)", ,"722208","20141424","0","425004","15239"
"Line(09202)", ,"150741","10292868","0"
