"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572851] Report(S300002)", ,"Entity[572851] Report(S300002[00100])","Entity[572851] Report(S300002[00200])","Entity[572851] Report(S300002[00300])","Entity[572851] Report(S300002[00400])","Entity[572851] Report(S300002[00500])","Entity[572851] Report(S300002[00600])"
"Line(00100)", ,"200","618067881", ,"618067881","18118131","34"
"Line(00300)", , ,"23749094", ,"23749094","274466","87"
"Line(00400)", , ,"23593513", ,"23593513","150402","157"
"Line(00401)", , ,"15585800", ,"15585800","99787","156"
"Line(00500)", , ,"79113358", ,"79113358","719827","110"
"Line(00700)", ,"21", ,"13680980","13680980","538387","25"
"Line(00900)", ,"44"
"Line(01000)", , ,"80825621","2172776","82998397","2353982","35"
"Line(01100)", , ,"3210868", ,"3210868","42980","75"
"Line(01200)", , ,"845379", ,"845379","10419","81"
"Line(01300)", , ,"805383", ,"805383","5331","151"
"Line(01400)", , ,"150016830", ,"150016830","2541795","59"
"Line(01600)", , ,"63768", ,"63768","391","163"
"Line(01700)", , ,"119778254", ,"119778254"
"Line(01900)", , ,"20166673", ,"20166673"
"Line(02100)", , ,"2351363", ,"2351363"
"Line(02200)", , ,"1288503", ,"1288503"
"Line(02201)", , ,"854878", ,"854878"
"Line(02300)", , ,"6166792", ,"6166792"
"Line(02500)", , ,"4612386", ,"4612386"
"Line(02600)", ,"4","5569913","-5569913"
"Line(02700)", ,"5","18029589","658969","18688558","682126","27"
"Line(02800)", , ,"3840837", ,"3840837","35439","108"
"Line(02900)", ,"6"
"Line(03000)", ,"7","6305827","57344","6363171","318287","20"
"Line(03100)", ,"8","276437","2514","278951","23952","12"
"Line(03200)", ,"9","5785533","52612","5838145","504748","12"
"Line(03400)", ,"10","1178108","10714","1188822","48640","24"
"Line(03600)", ,"11"
"Line(03700)", ,"12"
"Line(03800)", ,"13","6798451","61824","6860275","184131","37"
"Line(03900)", ,"14","1861438","16928","1878366","106623","18"
"Line(04000)", ,"15","17025406","104740","17130146","451207","38"
"Line(04100)", ,"16","5317330","48355","5365685","260632","21"
"Line(04200)", ,"17","8673401","78874","8752275","321381","27"
