"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report I3D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572851] Report(I3D0000)","Entity[572851] Report(I3D0000[00000])","Entity[572851] Report(I3D0000[00100])","Entity[572851] Report(I3D0000[00200])","Entity[572851] Report(I3D0000[00300])","Entity[572851] Report(I3D0000[00400])","Entity[572851] Report(I3D0000[00500])","Entity[572851] Report(I3D0000[00600])","Entity[572851] Report(I3D0000[00700])", ,"Entity[572851] Report(I3D0000[00900])","Entity[572851] Report(I3D0000[01000])"
"Line(00100)", ,"755712","172603","1787467","105645","588007","-324996","10732", ,"3095170","1288548"
"Line(00200)", ,"3269","3269","3269","3269","3269","3269","3269"
"Line(00300)", ,"2507","2507","2507","2507","2507","2507","2507"
"Line(00900)", ,"1879","1879","1879","1879","1879","1879","1879"
"Line(01100)", ,"2507","2507","2507","2507","2507","2507","2507"
"Line(01200)","5774","5774","5774","5774","5774","5774","5774","5774"
"Line(01700)", ,"15936","15936","15936","15936","15936","15936","15936", , ,"3095170"
