"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report I2D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572851] Report(I2D0000)", ,"Entity[572851] Report(I2D0000[00100])","Entity[572851] Report(I2D0000[00200])","Entity[572851] Report(I2D0000[00300])","Entity[572851] Report(I2D0000[00400])","Entity[572851] Report(I2D0000[00500])","Entity[572851] Report(I2D0000[00600])","Entity[572851] Report(I2D0000[00700])", ,"Entity[572851] Report(I2D0000[00900])","Entity[572851] Report(I2D0000[01000])","Entity[572851] Report(I2D0000[01100])"
"Line(00100)", ,"755712","172603","1787467","105645","588007","-324996","10732", ,"3095170","1288548","4383718"
"Line(00200)", ,"155021","35407","366669","21671","120620","-66667","2201", ,"634922","264324","899246"
"Line(00300)", ,"118886","27153","281199","16620","92503","-51127","1688", ,"486922","202710","689632"
"Line(00400)", , , , , , ,"-1", , ,"-1", ,"-1"
"Line(00900)", ,"89105","20351","210759","12457","69331","-38320","1265", ,"364948","151931","516879"
"Line(01100)", ,"118886","27153","281199","16620","92503","-51127","1688", ,"486922","202710","689632"
"Line(01200)", ,"273814","62539","647641","38277","213050","-117754","3890", ,"1121457","466873","1588330"
"Line(01700)", ,"755712","172603","1787467","105645","588007","-324996","10732", ,"3095170","1288548","4383718"
"Line(01800)", , , , , , , , , , , ,"1739"
