"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report D00B182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(D00B182)", ,"Entity[553807] Report(D00B182[00100])","Entity[553807] Report(D00B182[00200])","Entity[553807] Report(D00B182[00300])","Entity[553807] Report(D00B182[00400])","Entity[553807] Report(D00B182[00500])"
"Line(05000)", ,"8055299","170092053","0","42490","2012"
"Line(05100)", ,"407319","6055560","0","202","14"
"Line(05200)", ,"555056","19920508","0","31","1"
"Line(05300)", ,"944664","4083751","0","10362","2397"
"Line(05400)", ,"3740055","86311526","0","32660","1415"
"Line(05500)", ,"2405233","60758069","0"
"Line(05700)", ,"1222790","81901721","0","40538","605"
"Line(05800)", ,"1219050","36936667","0","12517","413"
"Line(06000)", ,"5180650","257704037","0","147877","2973"
"Line(06300)", ,"329659","32396804","0","17453","178"
"Line(06500)", ,"752585","47573730","0","21525","341"
"Line(06600)", ,"311470","14165880","0","9544","210"
"Line(06700)", ,"204587","5777169","0","3810","135"
"Line(06900)", ,"66502","8887974","0","10118","76"
"Line(07000)", ,"226081","6782443","0","1218","41"
"Line(07200)", ,"611602","79943757","0"
"Line(07300)", ,"5229661","264013910","0","370683","7342"
"Line(07400)", ,"99905","15829842","0","11618","73"
"Line(07500)", ,"7730133","85121101","0","286","26"
"Line(07601)", ,"223718","10757264","0","1621","34"
"Line(07603)", ,"3844056","88344582","0","5066","220"
"Line(07605)", ,"1312376","16791558","0","2799","219"
"Line(07606)", ,"2275018","36847275","0","99","6"
"Line(07608)", ,"221465","8765668","0","2076","52"
"Line(07614)", ,"754759","34175844","0","4709","104"
"Line(07618)", ,"747134","22122065","0","134","5"
"Line(07631)", ,"25288","2279419","0","129","1"
"Line(07650)", ,"233583","6106991","0","249","10"
"Line(07651)", ,"86155","4818685","0","246","4"
"Line(07654)", ,"46349","491990","0","66340","6250"
"Line(07655)", ,"157717","4652625","0","2417","82"
"Line(07656)", ,"21652","3307494","0"
"Line(07658)", ,"752822","2485959","0"
"Line(07659)", ,"433059","6684995","0"
"Line(07698)", ,"253316","4823263","0","70","4"
"Line(07699)", ,"125694","5319307","0","18"
"Line(09000)", ,"10430461","166608076","0","1825","114"
"Line(09001)", ,"141541","2418053","0"
"Line(09020)", ,"1010511","17318023","0","3898","227"
"Line(09025)", ,"375373","6302717","0"
"Line(09026)", ,"51594","26500","2"
"Line(09028)", ,"81224","1798713","0","2708","122"
"Line(09029)", ,"140128","1144001","0","637","78"
"Line(09040)", ,"209225","8395709","0","794","20"
"Line(09100)", ,"2373309","146315869","0","654188","10611"
"Line(09101)", ,"381900","13624822","0","42636","1195"
"Line(09102)", ,"459"
"Line(09202)", ,"49296","191191","0"
