"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(S300002)", ,"Entity[553807] Report(S300002[00100])","Entity[553807] Report(S300002[00200])","Entity[553807] Report(S300002[00300])","Entity[553807] Report(S300002[00400])","Entity[553807] Report(S300002[00500])","Entity[553807] Report(S300002[00600])"
"Line(00100)", ,"200","485546374", ,"485546374","16512042","29"
"Line(00400)", , ,"17979270", ,"17979270","120624","149"
"Line(00401)", , ,"23703092", ,"23703092","168648","141"
"Line(00500)", , ,"32291694", ,"32291694","285524","113"
"Line(00700)", ,"21","30341037","3417852","33758889","1305302","26"
"Line(00900)", ,"44"
"Line(01000)", , ,"20752669","-3738093","17014576","561939","30"
"Line(01100)", , ,"2446426", ,"2446426","37535","65"
"Line(01400)", , ,"42130107", ,"42130107","945394","45"
"Line(01500)", , ,"35853897", ,"35853897","220869","162"
"Line(01700)", , ,"130277412", ,"130277412"
"Line(01900)", , ,"6577212", ,"6577212"
"Line(02200)", , ,"2966887", ,"2966887"
"Line(02201)", , ,"4130300", ,"4130300"
"Line(02300)", , ,"6516061", ,"6516061"
"Line(02500)", , ,"8912346", ,"8912346"
"Line(02600)", ,"4","8836679", ,"8836679","331736","27"
"Line(02700)", ,"5","37116318","-3617575","33498743","1061737","32"
"Line(02800)", , ,"1013327", ,"1013327","6204","163"
"Line(02900)", ,"6"
"Line(03000)", ,"7"
"Line(03100)", ,"8","392859", ,"392859","25315","16"
"Line(03200)", ,"9","10593229", ,"10593229","772888","14"
"Line(03400)", ,"10","4904073","-747428","4156645","277727","15"
"Line(03600)", ,"11","991355","697900","1689255","107485","16"
"Line(03700)", ,"12"
"Line(03800)", ,"13","8121177","-19819","8101358","257736","31"
"Line(03900)", ,"14","5203278", ,"5203278","301813","17"
"Line(04000)", ,"15","15033747","-16177","15017570","483916","31"
"Line(04100)", ,"16","3200497","-212953","2987544","168596","18"
"Line(04200)", ,"17","4795825","-557681","4238144","153391","28"
