"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000001)","Entity[553807] Report(B000001[00000])","Entity[553807] Report(B000001[00100])","Entity[553807] Report(B000001[00200])", ,"Entity[553807] Report(B000001[00400])", ,"Entity[553807] Report(B000001[00600])","Entity[553807] Report(B000001[00700])","Entity[553807] Report(B000001[00800])","Entity[553807] Report(B000001[00900])", ,"Entity[553807] Report(B000001[01100])", , , , ,"Entity[553807] Report(B000001[01600])","Entity[553807] Report(B000001[01700])", , , ,"Entity[553807] Report(B000001[02100])", ,"Entity[553807] Report(B000001[02300])","Entity[553807] Report(B000001[02400])","Entity[553807] Report(B000001[02500])","Entity[553807] Report(B000001[02600])"
"Line(04100)","2218055","176755","51222", ,"613010", ,"71962","142258","7688","373993", ,"14207", , , , ,"55342","14886", , , ,"193641", , ,"5144485","-311630","4832855"
"Line(04300)","1704905","162100", , ,"463898", ,"65996","130464","7843","91824", ,"10129", , , , ,"61750", , , , ,"182250", , ,"3426472","-293299","3133173"
"Line(05000)","55079684","1390743","4720034", ,"5573420", ,"566215","1119317","82558", , ,"98806", , , , , , , , , ,"6840083", , ,"93385926","-11007888","82378038"
"Line(05100)","4734363","59095","187251", ,"1368118", ,"24059","47562","4628", , ,"29473", , , , , , , , , , , , ,"7504774", ,"7504774"
"Line(05200)","3305565","280449","122935", ,"797410", ,"114179","225715","18899","379457", ,"17644", , , , , , , , , ,"392977", , ,"6997007","-632426","6364581"
"Line(05300)","503371","115460","723972", ,"328831", ,"47007","92926", , , ,"3486", , , , , , , , , ,"1583300", , ,"5772808","-2548037","3224771"
"Line(05400)","14633561","719261","1993064", ,"3110495", ,"292834","578886","13345","470223", ,"72827", , , , , , , , , ,"3200772", , ,"32189290","-5151069","27038221"
"Line(05500)","5351548","730656","1411987", ,"2415437", ,"297473","588057","5292", , ,"28815", , , , , , , , , ,"546751", , ,"13586474","-879898","12706576"
"Line(05700)","4511921","199836","861261", ,"1102741", ,"81359","160835","11918", , ,"24489", , , , , , , , , , , , ,"8123552", ,"8123552"
"Line(05800)","3283714","210356","869597", ,"825958", ,"85643","169302","4892","340859", ,"16674", , , , , , , , , , , , ,"6679319", ,"6679319"
"Line(06000)","53957209","975542","1248973", ,"10550519", ,"397174","785149","848","141173", ,"254053", , , , , , , , , ,"1600386", , ,"78594863","-2575534","76019329"
"Line(06300)","10664538","85012","44082", ,"673719", ,"34611","68420", , , ,"14633", , , , , , , , , , , , ,"12841939", ,"12841939"
"Line(06500)","6640907","81461","361060", ,"1586256", ,"33165","65562", , , ,"34508", , , , , , , , , , , , ,"10824211", ,"10824211"
"Line(06600)","2894007", ,"24436", ,"803490", , , ,"94", , ,"17636", , , , , , , , , , , , ,"4172655", ,"4172655"
