"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report D00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(D00A181)", ,"Entity[553807] Report(D00A181[00100])", ,"Entity[553807] Report(D00A181[00300])","Entity[553807] Report(D00A181[00400])","Entity[553807] Report(D00A181[00500])","Entity[553807] Report(D00A181[00600])","Entity[553807] Report(D00A181[00700])"
"Line(03000)", ,"10237555", ,"10237555","174291","59","38941","2287394"
"Line(03100)", ,"3783477", ,"3783477","26084","145","5943","862032"
"Line(03101)", ,"950880", ,"950880","6191","154","12","1843"
"Line(03300)", ,"1212860", ,"1212860","7704","157","1133","178368"
"Line(03500)", ,"1430392", ,"1430392","19882","72"
"Line(04000)", ,"1744151", ,"1744151","25298","69","5453","375930"
"Line(04100)", ,"411814", ,"411814","5816","71","1418","100409"
"Line(04300)", ,"240924", ,"240924","6477","37"
