"----------"," Entity 553807"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000001[00000])","Entity[553807] Report(B000001[00100])","Entity[553807] Report(B000001[00200])", ,"Entity[553807] Report(B000001[00400])", ,"Entity[553807] Report(B000001[00600])","Entity[553807] Report(B000001[00700])","Entity[553807] Report(B000001[00800])","Entity[553807] Report(B000001[00900])", ,"Entity[553807] Report(B000001[01100])", , , , ,"Entity[553807] Report(B000001[01600])","Entity[553807] Report(B000001[01700])", , , ,"Entity[553807] Report(B000001[02100])", ,"Entity[553807] Report(B000001[02300])","Entity[553807] Report(B000001[02400])","Entity[553807] Report(B000001[02500])","Entity[553807] Report(B000001[02600])"
"73502861","5193252","958571", ,"19477597", ,"2114330","4179700","188286","6250193", ,"416684", , , , ,"1663186","3054671", , , ,"19216021", ,"201158","170614816","-30924741","139690075"
"27608178","1970191","625158", ,"7275513", ,"802126","1585676","38739","1214332", ,"145374", , , , ,"248750", , , , ,"3263420", ,"21926","53761085","-5251890","48509195"
"5882463","451612","219477", ,"1996846", ,"183865","363473","8542","251150", ,"36785", , , , ,"58838", , , , , , ,"32225","11109985", ,"11109985"
"9069709","627254","166890", ,"2315611", ,"255374","504835","15890","227357", ,"47364", , , , ,"73402", , , , ,"472712", ,"34468","16358897","-760745","15598152"
"15161617","364904","443658", ,"4484144", ,"148564","293687","18830","619503", ,"81564", , , , ,"189912","207160", , , ,"649267", ,"16113","27170409","-1044879","26125530"
"9614583","1052630","80920", ,"3529277", ,"428559","847193","10888","1757873", ,"68664", , , , ,"241176","749868", , , ,"785955", ,"19933","23390478","-1264853","22125625"
"2218055","176755","51222", ,"613010", ,"71962","142258","7688","373993", ,"14207", , , , ,"55342","14886", , , ,"193641", , ,"5144485","-311630","4832855"
"1704905","162100", , ,"463898", ,"65996","130464","7843","91824", ,"10129", , , , ,"61750", , , , ,"182250", , ,"3426472","-293299","3133173"
"55079684","1390743","4720034", ,"5573420", ,"566215","1119317","82558", , ,"98806", , , , , , , , , ,"6840083", , ,"93385926","-11007888","82378038"
"4734363","59095","187251", ,"1368118", ,"24059","47562","4628", , ,"29473", , , , , , , , , , , , ,"7504774", ,"7504774"
"3305565","280449","122935", ,"797410", ,"114179","225715","18899","379457", ,"17644", , , , , , , , , ,"392977", , ,"6997007","-632426","6364581"
"503371","115460","723972", ,"328831", ,"47007","92926", , , ,"3486", , , , , , , , , ,"1583300", , ,"5772808","-2548037","3224771"
"14633561","719261","1993064", ,"3110495", ,"292834","578886","13345","470223", ,"72827", , , , , , , , , ,"3200772", , ,"32189290","-5151069","27038221"
"5351548","730656","1411987", ,"2415437", ,"297473","588057","5292", , ,"28815", , , , , , , , , ,"546751", , ,"13586474","-879898","12706576"
"4511921","199836","861261", ,"1102741", ,"81359","160835","11918", , ,"24489", , , , , , , , , , , , ,"8123552", ,"8123552"
"3283714","210356","869597", ,"825958", ,"85643","169302","4892","340859", ,"16674", , , , , , , , , , , , ,"6679319", ,"6679319"
"53957209","975542","1248973", ,"10550519", ,"397174","785149","848","141173", ,"254053", , , , , , , , , ,"1600386", , ,"78594863","-2575534","76019329"
"10664538","85012","44082", ,"673719", ,"34611","68420", , , ,"14633", , , , , , , , , , , , ,"12841939", ,"12841939"
"6640907","81461","361060", ,"1586256", ,"33165","65562", , , ,"34508", , , , , , , , , , , , ,"10824211", ,"10824211"
"2894007", ,"24436", ,"803490", , , ,"94", , ,"17636", , , , , , , , , , , , ,"4172655", ,"4172655"
"2138498","20484","22482", ,"762998", ,"8340","16487", , , ,"12766", , , , , , , , , , , , ,"3556260", ,"3556260"
"474317","24989","25431", ,"137928", ,"10174","20112", , , ,"3754", , , , , , , , , , , , ,"812521", ,"812521"
"957411","55756","87771", ,"494589", ,"22700","44874", , , ,"7146", , , , , , , , , , , , ,"1925769", ,"1925769"
"37372324", , , , , , , , , , , , , , , , , , , , , , , ,"41069457", ,"41069457"
"-303354", , , , , , , , , , , , , , , , , , , , , , ,"383050","122371212", ,"122371212"
"1607747","56153","3033", ,"36509", ,"22862","45194","1452","43004", ,"544", , , , , , , , , ,"176555", , ,"2481090","-284134","2196956"
"23202784","465736","2433492", ,"3302751", ,"189616","374840","17079","394085", ,"75599", , , , ,"873828", , , , ,"797345", , ,"38417874","-1283184","37134690"
"3042809", ,"37225", ,"539015", , , ,"6", , ,"12523", , , , , , , , , , , , ,"4017899", ,"4017899"
"11382893","783153","2392255", ,"2402976", ,"318846","630308","9853","86184", ,"46909", , , , , , , , , , , , ,"21655224", ,"21655224"
"3605531","242580","741128", ,"1098927", ,"98762","195237","1712", , ,"20350", , , , , , , , , , , , ,"6750248", ,"6750248"
