"----------"," Entity 553807"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000001[00000])","Entity[553807] Report(B000001[00100])","Entity[553807] Report(B000001[00200])", ,"Entity[553807] Report(B000001[00400])", ,"Entity[553807] Report(B000001[00600])","Entity[553807] Report(B000001[00700])","Entity[553807] Report(B000001[00800])","Entity[553807] Report(B000001[00900])", ,"Entity[553807] Report(B000001[01100])", , , , ,"Entity[553807] Report(B000001[01600])","Entity[553807] Report(B000001[01700])", , , ,"Entity[553807] Report(B000001[02100])", ,"Entity[553807] Report(B000001[02300])","Entity[553807] Report(B000001[02400])","Entity[553807] Report(B000001[02500])","Entity[553807] Report(B000001[02600])"
 , , , , , , , , , , , , , , , , , , , , , , , ,"5229661", ,"5229661"
"121","56153","3033", ,"9", ,"971","1012","93","1205", ,"112", , , , , , , , , , , , ,"99905", ,"99905"
"3951298","465736","2433492", ,"823", ,"8054","8394","1092","11047", ,"15542", , , , ,"139070", , , , , , , ,"7730133", ,"7730133"
"123049", ,"37225", ,"134", , , , , , ,"2575", , , , , , , , , , , , ,"223718", ,"223718"
"225735","783153","2392255", ,"599", ,"13542","14115","630","2416", ,"9644", , , , , , , , , , , , ,"3844056", ,"3844056"
"212915","242580","741128", ,"274", ,"4195","4372","109", , ,"4184", , , , , , , , , , , , ,"1312376", ,"1312376"
"346246","967062","503061", ,"881", ,"16723","17430","270","30675", ,"13105", , , , ,"31430","7046", , , , , , ,"2275018", ,"2275018"
 ,"17463","138979", ,"56", ,"302","315","35", , ,"841", , , , , , , , , , , , ,"221465", ,"221465"
"85324","120972","437158", ,"247", ,"2092","2180","216", , ,"3785", , , , , , , , , , , , ,"754759", ,"754759"
"550","378764","210207", ,"254", ,"6550","6827","497", , ,"3761", , , , , , , , , , , , ,"747134", ,"747134"
"100","7579","5361", ,"41", ,"131","137", , , ,"628", , , , , , , , , , , , ,"25288", ,"25288"
"160584", ,"27422", ,"70", , , , , , ,"1349", , , , , , , , , , , , ,"233583", ,"233583"
 ,"40492","21852", ,"34", ,"700","730", , , ,"572", , , , , , , , , , , , ,"86155", ,"86155"
 ,"33761","3348", ,"16", ,"584","608","27", , ,"288", , , , , , , , , , , , ,"46349", ,"46349"
"3981","60738","56144", ,"99", ,"1050","1095", , , ,"1200", , , , , , , , , , , , ,"157717", ,"157717"
 , , , ,"62", , , , , , ,"1107", , , , , , , , , , , , ,"21652", ,"21652"
"574805", ,"114151", ,"173", , , , , , ,"2409", , , , , , , , , , , , ,"752822", ,"752822"
"322243", ,"75995", ,"92", , , , , , ,"821", , , , , , , , , , , , ,"433059", ,"433059"
"200417", ,"15448", ,"48", , , , , , ,"807", , , , , , , , , , , , ,"253316", ,"253316"
 , ,"113558", ,"24", , , ,"35", , ,"370", , , , , , , , , , , , ,"125694", ,"125694"
"4181398","2725757","1098069", ,"3158", ,"47134","49128","432","41850", ,"46617", , , , ,"100686","49600", , , , , , ,"10430461", ,"10430461"
"350","109551","2475", ,"68", ,"1894","1974", , , ,"1507", , , , ,"4914", , , , , , , ,"141541", ,"141541"
"215659","544044","49507", ,"467", ,"9408","9806", , , ,"8831", , , , ,"24940", , , , , , , ,"1010511", ,"1010511"
"135","284848","23212", ,"142", ,"4926","5134", , , ,"2555", , , , ,"3430", , , , , , , ,"375373", ,"375373"
"19545","2676","21003", ,"25", ,"46","48", , , ,"505", , , , , , , , , , , , ,"51594", ,"51594"
"23303","5194","31479", ,"46", ,"90","94", , , ,"845", , , , , , , , , , , , ,"81224", ,"81224"
"96324","5008","16507", ,"59", ,"87","90", , , ,"1660", , , , , , , , , , , , ,"140128", ,"140128"
"8888","142861","6765", ,"79", ,"2470","2575", , , ,"1537", , , , ,"15390", , , , , , , ,"209225", ,"209225"
"11954","781483","416373", ,"1338", ,"13514","14085","6561","63810", ,"23645", , , , ,"173188","41347", , , , , , ,"2373309", ,"2373309"
"18066","197186","29715", ,"368", ,"3410","3554", ,"5933", ,"5348", , , , ,"21509", , , , , , , ,"381900", ,"381900"
"336", , , , , , , , , , , , , , , , , , , , , , , ,"459", ,"459"
 ,"43804", , ,"7", ,"757","790","215", , ,"108", , , , , , , , , , , , ,"49296", ,"49296"
"170556","23240","19219", ,"130", ,"402","419", , , ,"1690", , , , , ,"477", , , , , , ,"279276", ,"279276"
"26179","81010","14294", ,"49", ,"1401","1460", , , ,"727", , , , , , , , , , , , ,"147223", ,"147223"
"41313","100302","9591", ,"76", ,"1734","1808", , , ,"1169", , , , , , , , , , , , ,"216287", ,"216287"
 , , , ,"7", , , , , , ,"113", , , , , , , , , , , , ,"3948", ,"3948"
"22914823","27806755","37774727", ,"40035", ,"454368","471616","40726","508452", ,"592648", , , , ,"927130","280700", , , , , , ,"86710270", ,"86710270"
 ,"54908","2125", ,"11", ,"949","990", , , ,"383", , , , , , , , , , , , ,"69140", ,"69140"
 ,"3736","57937", ,"26", ,"65","67", ,"3735", ,"209", , , , , , , , , , , , ,"73684", ,"73684"
 , , , , , , , , , , , , , , , , , , , , ,"1165472", ,"58340","1761917", ,"1761917"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 553807"," Report B10000* ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[553807] Report(B10000*[00100])","Entity[553807] Report(B10000*[00200])", ,"Entity[553807] Report(B10000*[00400])", ,"Entity[553807] Report(B10000*[00600])","Entity[553807] Report(B10000*[00700])","Entity[553807] Report(B10000*[00800])","Entity[553807] Report(B10000*[00900])", ,"Entity[553807] Report(B10000*[01100])", , , , ,"Entity[553807] Report(B10000*[01600])","Entity[553807] Report(B10000*[01700])","Entity[553807] Report(B10000*[01800])", , ,"Entity[553807] Report(B10000*[02100])", ,"Entity[553807] Report(B10000*[02300])"
 ,"CAP","CAP", ,"EMPLOYEE", ,"MAIN-","OPERATION","LAUNDRY","HOUSE-", ,"CAFETERIA", , , , ,"MEDICAL","SOCIAL","OTHER", , ,"I&R", ,"PARAMED"
 ,"BLDGS &","MOVABLE", ,"BENEFITS", ,"TENANCE &","OF PLANT","& LINEN","KEEPING", , , , , , ,"RECORDS &","SERVICE","GENERAL", , ,"SALARY &", ,"EDUCATION"
 ,"FIXTURES","EQUIPMENT", ,"DEPARTMENT", ,"REPAIRS", ,"SERVICE", , , , , , , ,"LIBRARY", ,"SERVICE", , ,"FRINGES"
 ,"SQUARE","DOLLAR", ,"GROSS", ,"SQUARE","SQUARE","POUNDS OF","HOURS OF", ,"AVG NO OF", , , , ,"TIME","TIME","TIME", , ,"ASSIGNED", ,"ASSIGNED"
 ,"FEET","VALUE", ,"SALARIES", ,"FEET","FEET","LAUNDRY","SERVICE", ,"EMPLOYEES", , , , ,"SPENT","SPENT","SPENT", , ,"TIME", ,"TIME"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 553807"," Report B100000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
 ,"Entity[553807] Report(B100000[00100])","Entity[553807] Report(B100000[00200])", ,"Entity[553807] Report(B100000[00400])", ,"Entity[553807] Report(B100000[00600])","Entity[553807] Report(B100000[00700])","Entity[553807] Report(B100000[00800])","Entity[553807] Report(B100000[00900])", ,"Entity[553807] Report(B100000[01100])", , , , ,"Entity[553807] Report(B100000[01600])","Entity[553807] Report(B100000[01700])", , , ,"Entity[553807] Report(B100000[02100])", ,"Entity[553807] Report(B100000[02300])"
 , , , , , , , , , , , , , , , , , , , 
 ,"1051527", , , , , , , , , , , , , , , , , , 
 , ,"43714075", , , , , , , , , , , , , , , , , 
 , ,"5160", ,"511999394", , , , , , , , , , , , , , , 
 ,"1653","12124", ,"1290372", , , , , , , , , , , , , , , 
 , ,"7909", ,"856603", , , , , , , , , , , , , , , 
 ,"1242","30251", ,"5289118", , , , , , , , , , , , , , , 
 ,"54872","12344057", ,"28900383", , , , , , , , , , , , , , , 
 , ,"345576", , , ,"993760", , , , , , , , , , , , , 
 ,"4124","62944", , , ,"4124","989636", , , , , , , , , , , , 
 ,"1153","366", ,"392859", ,"1153","1153","2876078", , , , , , , , , , , 
 ,"5367","113756", ,"10593229", ,"5367","5367","167245","103673", , , , , , , , , , 
 ,"18945","71064", ,"4156646", ,"18945","18945", , , , , , , , , , , , 
 ,"19317","24476", ,"1689255", ,"19317","19317","3878","1201", ,"711098", , , , , , , , 
 ,"194","116583", ,"3181517", ,"194","194", ,"267", ,"8146", , , , ,"10000", , , 
 ,"5845","19321", ,"4238144", ,"5845","5845", , , ,"7357", , , , , ,"10000", , 
 ,"11382","70559", ,"5203278", ,"11382","11382", , , ,"14504", , , , , , , , 
 ,"23937","304321", ,"15017570", ,"23937","23937", ,"927", ,"23224", , , , , , , , 
 ,"9825","1387393", ,"8087015", ,"9825","9825", , , ,"12357", , , , , , , , 
 ,"3259","16932", ,"3197070", ,"3259","3259", , , ,"10103", , , , , , , , 
 ,"2803","570765", ,"2135675", ,"2803","2803", , , ,"3342", , , , , , , , 
 ,"8969","39434", ,"38657026", ,"8969","8969", , , ,"70182", , , , , , , , , ,"10000"
 , , , ,"24246000", , , , , , ,"8327", , , , , , , , 
 ,"1617","1909", ,"675554", ,"1617","1617", , , ,"1178", , , , , , , , , , , ,"10000"
 ,"498","2620", ,"341335", ,"498","498","541", , ,"765", , , , , , , , 
 ,"195972","1107527", ,"62209493", ,"195972","195972","850179","35463", ,"102685", , , , ,"2855","4925", , , ,"3374", ,"2422"
 ,"74347","722304", ,"23237250", ,"74347","74347","174918","6890", ,"35825", , , , ,"427", , , , ,"573", ,"264"
 ,"17042","253582", ,"6377724", ,"17042","17042","38572","1425", ,"9065", , , , ,"101", , , , , , ,"388"
 ,"23670","192824", ,"7395827", ,"23670","23670","71749","1290", ,"11672", , , , ,"126", , , , ,"83", ,"415"
 ,"13770","512599", ,"14321901", ,"13770","13770","85023","3515", ,"20100", , , , ,"326","334", , , ,"114", ,"194"
 ,"39722","93495", ,"11272152", ,"39722","39722","49161","9974", ,"16921", , , , ,"414","1209", , , ,"138", ,"240"
 ,"6670","59181", ,"1957893", ,"6670","6670","34713","2122", ,"3501", , , , ,"95","24", , , ,"34"
 ,"6117", , ,"1481643", ,"6117","6117","35413","521", ,"2496", , , , ,"106", , , , ,"32"
 ,"52481","5453497", ,"17800936", ,"52481","52481","372778", , ,"24349", , , , , , , , , ,"1201"
 ,"2230","216349", ,"4369631", ,"2230","2230","20896", , ,"7263", , , , , , , , 
 ,"10583","142038", ,"2546845", ,"10583","10583","85333","2153", ,"4348", , , , , , , , , ,"69"
 ,"4357","836472", ,"1050252", ,"4357","4357", , , ,"859", , , , , , , , , ,"278"
 ,"27142","2302773", ,"9934604", ,"27142","27142","60257","2668", ,"17947", , , , , , , , , ,"562"
 ,"27572","1631401", ,"7714661", ,"27572","27572","23897", , ,"7101", , , , , , , , , ,"96"
 ,"7541","995095", ,"3522042", ,"7541","7541","53813", , ,"6035", , , , , , , , 
 ,"7938","1004727", ,"2638027", ,"7938","7938","22087","1934", ,"4109", , , , , , , , 
 ,"36813","1443055", ,"33697285", ,"36813","36813","3829","801", ,"62607", , , , , , , , , ,"281"
 ,"3208","50932", ,"2151789", ,"3208","3208", , , ,"3606", , , , , , , , 
 ,"3074","417166", ,"5066340", ,"3074","3074", , , ,"8504", , , , , , , , 
 , ,"28233", ,"2566264", , , ,"425", , ,"4346", , , , , , , , 
 ,"773","25976", ,"2436939", ,"773","773", , , ,"3146", , , , , , , , 
 ,"943","29383", ,"440527", ,"943","943", , , ,"925", , , , , , , , 
 ,"2104","101410", ,"1579666", ,"2104","2104", , , ,"1761", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , ,"4612"
 ,"2119","3504", ,"116607", ,"2119","2119","6557","244", ,"134", , , , , , , , , ,"31"
 ,"17575","2811641", ,"10548652", ,"17575","17575","77117","2236", ,"18630", , , , ,"1500", , , , ,"140"
 , ,"43010", ,"1721560", , , ,"25", , ,"3086", , , , , , , , 
 ,"29553","2763996", ,"7674860", ,"29553","29553","44490","489", ,"11560", , , , , , , , 
 ,"9154","856295", ,"3509862", ,"9154","9154","7728", , ,"5015", , , , , , , , 
 ,"36493","581233", ,"11299257", ,"36493","36493","19100","6209", ,"15708", , , , ,"339","251", , , , , ,"155"
 ,"659","160576", ,"721179", ,"659","659","2457", , ,"1008", , , , , , , , 
 ,"4565","505090", ,"3170346", ,"4565","4565","15235", , ,"4537", , , , , , , , 
 ,"14293","242872", ,"3254904", ,"14293","14293","35120", , ,"4508", , , , , , , , 
 ,"286","6194", ,"530765", ,"286","286", , , ,"753", , , , , , , , 
 , ,"31683", ,"902474", , , , , , ,"1617", , , , , , , , 
 ,"1528","25248", ,"430508", ,"1528","1528", , , ,"686", , , , , , , , 
 ,"1274","3868", ,"201761", ,"1274","1274","1936", , ,"345", , , , , , , , 
 ,"2292","64868", ,"1267749", ,"2292","2292", , , ,"1438", , , , , , , , 
 , , , ,"791038", , , , , , ,"1327", , , , , , , , 
 , ,"131889", ,"2215857", , , , , , ,"2887", , , , , , , , 
 , ,"87804", ,"1180325", , , , , , ,"984", , , , , , , , 
 , ,"17849", ,"617869", , , , , , ,"967", , , , , , , , 
 , ,"131204", ,"303304", , , ,"2484", , ,"444", , , , , , , , 
 ,"102859","1268702", ,"40490257", ,"102859","102859","30541","8471", ,"55878", , , , ,"1086","1767", , , ,"2313"
 ,"4134","2860", ,"871827", ,"4134","4134", , , ,"1806", , , , ,"53", , , 
 ,"20530","57200", ,"5984193", ,"20530","20530", , , ,"10585", , , , ,"269", , , , ,"116"
 ,"10749","26819", ,"1817351", ,"10749","10749", , , ,"3063", , , , ,"37", , , 
 ,"101","24267", ,"315486", ,"101","101", , , ,"605", , , , , , , , 
 ,"196","36371", ,"588727", ,"196","196", , , ,"1013", , , , , , , , 
 ,"189","19072", ,"750756", ,"189","189", , , ,"1990", , , , , , , , 
 ,"5391","7816", ,"1014535", ,"5391","5391", , , ,"1842", , , , ,"166", , , 
 ,"29490","481075", ,"17156055", ,"29490","29490","463370","12916", ,"28343", , , , ,"1868","1473", , , ,"555", ,"996"
 ,"7441","34333", ,"4716645", ,"7441","7441", ,"1201", ,"6410", , , , ,"232", , , , ,"10"
 , , , , , , , , , , , , , , , , , , , 
 ,"1653", , ,"84209", ,"1653","1653","15211", , ,"129", , , , , , , , 
 ,"877","22206", ,"1663950", ,"877","877", , , ,"2026", , , , , ,"17", , , , , ,"291"
 ,"3057","16515", ,"632727", ,"3057","3057", , , ,"872", , , , , , , , 
 ,"3785","11081", ,"976643", ,"3785","3785", , , ,"1401", , , , , , , , 
 , , , ,"93470", , , , , , ,"136", , , , , , , , 
 ,"1049314","43644680", ,"511534048", ,"991547","987423","2876078","102917", ,"710389", , , , ,"10000","10000", , , ,"10000", ,"9977"
 ,"2072","2455", ,"136277", ,"2072","2072", , , ,"459", , , , , , , , 
 ,"141","66940", ,"329069", ,"141","141", ,"756", ,"250", , , , , , , , , , , ,"23"
 ,"27865399","37834789", ,"160305466", ,"10721624","21107001","636960","18271905", ,"2885564", , , , ,"5825518","6202381", , , ,"56953233", ,"830547"
 ,"26","1", ,"0", ,"11","21","0","176", ,"4", , , , ,"583","620", , , ,"5695", ,"83"
 , , , ,"40072", ,"455382","472673","40726","512187", ,"593240", , , , ,"927130","280700", , , ,"1165472", ,"58340"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
