"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report S300003 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(S300003)", , ,"Entity[553807] Report(S300003[00200])","Entity[553807] Report(S300003[00300])","Entity[553807] Report(S300003[00400])","Entity[553807] Report(S300003[00500])","Entity[553807] Report(S300003[00600])"
"Line(00100)", , ,"400223878","-3417852","396806026","14758772","27"
"Line(00200)", , ,"20752669","-3738093","17014576","561939","30"
"Line(00300)", , ,"379471209","320241","379791450","14196833","27"
"Line(00400)", , ,"80430430", ,"80430430","1203798","67"
"Line(00500)", , ,"133244299", ,"133244299", ,"35"
"Line(00600)", , ,"593145938","320241","593466179","15400631","39"
