"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report D00C182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(D00C182)", ,"Entity[553807] Report(D00C182[00100])","Entity[553807] Report(D00C182[00200])","Entity[553807] Report(D00C182[00300])","Entity[553807] Report(D00C182[00400])","Entity[553807] Report(D00C182[00500])"
"Line(05000)", ,"8055299","170092053","0","5810","275"
"Line(05100)", ,"407319","6055560","0"
"Line(05200)", ,"555056","19920508","0","21","1"
"Line(05300)", ,"944664","4083751","0"
"Line(05400)", ,"3740055","86311526","0","8831","383"
"Line(05500)", ,"2405233","60758069","0","21159","838"
"Line(05700)", ,"1222790","81901721","0","27964","418"
"Line(05800)", ,"1219050","36936667","0","19618","647"
"Line(06000)", ,"5180650","257704037","0","46389","933"
"Line(06300)", ,"329659","32396804","0","8305","85"
"Line(06500)", ,"752585","47573730","0","6034","95"
"Line(06600)", ,"311470","14165880","0","350968","7717"
"Line(06700)", ,"204587","5777169","0","373859","13239"
"Line(06900)", ,"66502","8887974","0","2531","19"
"Line(07000)", ,"226081","6782443","0","1421","47"
"Line(07200)", ,"611602","79943757","0"
"Line(07300)", ,"5229661","264013910","0","174553","3458"
"Line(07400)", ,"99905","15829842","0","138332","873"
"Line(07500)", ,"7730133","85121101","0"
"Line(07601)", ,"223718","10757264","0","101847","2118"
"Line(07603)", ,"3844056","88344582","0","20892","909"
"Line(07605)", ,"1312376","16791558","0","6673","522"
"Line(07606)", ,"2275018","36847275","0","316","20"
"Line(07608)", ,"221465","8765668","0","2112","53"
"Line(07614)", ,"754759","34175844","0","6624","146"
"Line(07618)", ,"747134","22122065","0","1567","53"
"Line(07631)", ,"25288","2279419","0","484","5"
"Line(07650)", ,"233583","6106991","0","7098","271"
"Line(07651)", ,"86155","4818685","0","85","2"
"Line(07654)", ,"46349","491990","0"
"Line(07655)", ,"157717","4652625","0","967","33"
"Line(07656)", ,"21652","3307494","0"
"Line(07658)", ,"752822","2485959","0"
"Line(07659)", ,"433059","6684995","0"
"Line(07698)", ,"253316","4823263","0","22","1"
"Line(07699)", ,"125694","5319307","0","6"
"Line(09000)", ,"10430461","166608076","0","531","33"
"Line(09001)", ,"141541","2418053","0"
"Line(09020)", ,"1010511","17318023","0","2276","133"
"Line(09025)", ,"375373","6302717","0"
"Line(09026)", ,"51594","26500","2"
"Line(09028)", ,"81224","1798713","0","22","1"
"Line(09029)", ,"140128","1144001","0"
"Line(09040)", ,"209225","8395709","0"
"Line(09100)", ,"2373309","146315869","0","25"
"Line(09101)", ,"381900","13624822","0"
"Line(09102)", ,"459"
"Line(09202)", ,"49296","191191","0"
