"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(D00A182)", ,"Entity[553807] Report(D00A182[00100])","Entity[553807] Report(D00A182[00200])","Entity[553807] Report(D00A182[00300])","Entity[553807] Report(D00A182[00400])","Entity[553807] Report(D00A182[00500])"
"Line(05000)", ,"8055299","170092053","0","18938644","896896"
"Line(05100)", ,"407319","6055560","0","594425","39983"
"Line(05200)", ,"555056","19920508","0","151021","4208"
"Line(05300)", ,"944664","4083751","0","293504","67894"
"Line(05400)", ,"3740055","86311526","0","8104087","351166"
"Line(05500)", ,"2405233","60758069","0","634851","25132"
"Line(05700)", ,"1222790","81901721","0","7451612","111253"
"Line(05800)", ,"1219050","36936667","0","2315346","76416"
"Line(06000)", ,"5180650","257704037","0","13459042","270567"
"Line(06300)", ,"329659","32396804","0","3874160","39423"
"Line(06500)", ,"752585","47573730","0","6757659","106899"
"Line(06600)", ,"311470","14165880","0","1614913","35507"
"Line(06700)", ,"204587","5777169","0","260649","9230"
"Line(06900)", ,"66502","8887974","0","831092","6218"
"Line(07000)", ,"226081","6782443","0","418029","13934"
"Line(07200)", ,"611602","79943757","0","9293568","71096"
"Line(07300)", ,"5229661","264013910","0","13592233","269235"
"Line(07400)", ,"99905","15829842","0","6772558","42742"
"Line(07500)", ,"7730133","85121101","0","852167","77388"
"Line(07601)", ,"223718","10757264","0","640275","13316"
"Line(07603)", ,"3844056","88344582","0","7228921","314545"
"Line(07605)", ,"1312376","16791558","0","1052119","82230"
"Line(07606)", ,"2275018","36847275","0","219981","13582"
"Line(07608)", ,"221465","8765668","0","289650","7318"
"Line(07614)", ,"754759","34175844","0","2583525","57057"
"Line(07618)", ,"747134","22122065","0","1160922","39208"
"Line(07631)", ,"25288","2279419","0","245163","2720"
"Line(07650)", ,"233583","6106991","0","96355","3685"
"Line(07651)", ,"86155","4818685","0","17529","313"
"Line(07654)", ,"46349","491990","0","535","50"
"Line(07655)", ,"157717","4652625","0","702376","23809"
"Line(07656)", ,"21652","3307494","0"
"Line(07658)", ,"752822","2485959","0"
"Line(07659)", ,"433059","6684995","0"
"Line(07698)", ,"253316","4823263","0","11982","629"
"Line(07699)", ,"125694","5319307","0","67801","1602"
"Line(09000)", ,"10430461","166608076","0","282788","17704"
"Line(09001)", ,"141541","2418053","0"
"Line(09020)", ,"1010511","17318023","0","2851","166"
"Line(09025)", ,"375373","6302717","0"
"Line(09026)", ,"51594","26500","2"
"Line(09028)", ,"81224","1798713","0","7034","318"
"Line(09029)", ,"140128","1144001","0","1268","155"
"Line(09040)", ,"209225","8395709","0","2292","57"
"Line(09100)", ,"2373309","146315869","0","7306694","118515"
"Line(09101)", ,"381900","13624822","0","470471","13187"
"Line(09102)", ,"459"
"Line(09202)", ,"49296","191191","0"
