"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000001)","Entity[553807] Report(B000001[00000])","Entity[553807] Report(B000001[00100])","Entity[553807] Report(B000001[00200])", ,"Entity[553807] Report(B000001[00400])", ,"Entity[553807] Report(B000001[00600])","Entity[553807] Report(B000001[00700])","Entity[553807] Report(B000001[00800])","Entity[553807] Report(B000001[00900])", ,"Entity[553807] Report(B000001[01100])", , , , ,"Entity[553807] Report(B000001[01600])","Entity[553807] Report(B000001[01700])", , , ,"Entity[553807] Report(B000001[02100])", ,"Entity[553807] Report(B000001[02300])","Entity[553807] Report(B000001[02400])","Entity[553807] Report(B000001[02500])","Entity[553807] Report(B000001[02600])"
"","","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B10000*)", ,"Entity[553807] Report(B10000*[00100])","Entity[553807] Report(B10000*[00200])", ,"Entity[553807] Report(B10000*[00400])", ,"Entity[553807] Report(B10000*[00600])","Entity[553807] Report(B10000*[00700])","Entity[553807] Report(B10000*[00800])","Entity[553807] Report(B10000*[00900])", ,"Entity[553807] Report(B10000*[01100])", , , , ,"Entity[553807] Report(B10000*[01600])","Entity[553807] Report(B10000*[01700])","Entity[553807] Report(B10000*[01800])", , ,"Entity[553807] Report(B10000*[02100])", ,"Entity[553807] Report(B10000*[02300])"
"Line(00100)", ,"CAP","CAP", ,"EMPLOYEE", ,"MAIN-","OPERATION","LAUNDRY","HOUSE-", ,"CAFETERIA", , , , ,"MEDICAL","SOCIAL","OTHER", , ,"I&R", ,"PARAMED"
"Line(00200)", ,"BLDGS &","MOVABLE", ,"BENEFITS", ,"TENANCE &","OF PLANT","& LINEN","KEEPING", , , , , , ,"RECORDS &","SERVICE","GENERAL", , ,"SALARY &", ,"EDUCATION"
"Line(00300)", ,"FIXTURES","EQUIPMENT", ,"DEPARTMENT", ,"REPAIRS", ,"SERVICE", , , , , , , ,"LIBRARY", ,"SERVICE", , ,"FRINGES"
"Line(00400)", ,"SQUARE","DOLLAR", ,"GROSS", ,"SQUARE","SQUARE","POUNDS OF","HOURS OF", ,"AVG NO OF", , , , ,"TIME","TIME","TIME", , ,"ASSIGNED", ,"ASSIGNED"
"Line(00500)", ,"FEET","VALUE", ,"SALARIES", ,"FEET","FEET","LAUNDRY","SERVICE", ,"EMPLOYEES", , , , ,"SPENT","SPENT","SPENT", , ,"TIME", ,"TIME"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report B100000 ","-------------","-------------","-----------",""
"","","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B100000)", ,"Entity[553807] Report(B100000[00100])","Entity[553807] Report(B100000[00200])", ,"Entity[553807] Report(B100000[00400])", ,"Entity[553807] Report(B100000[00600])","Entity[553807] Report(B100000[00700])","Entity[553807] Report(B100000[00800])","Entity[553807] Report(B100000[00900])", ,"Entity[553807] Report(B100000[01100])", , , , ,"Entity[553807] Report(B100000[01600])","Entity[553807] Report(B100000[01700])", , , ,"Entity[553807] Report(B100000[02100])", ,"Entity[553807] Report(B100000[02300])"
"Line(00000)"
"Line(00100)", ,"1051527"
"Line(00200)", , ,"43714075"
"Line(00400)", , ,"5160", ,"511999394"
"Line(00503)", ,"1653","12124", ,"1290372"
"Line(00504)", , ,"7909", ,"856603"
"Line(00505)", ,"1242","30251", ,"5289118"
"Line(00506)", ,"54872","12344057", ,"28900383"
"Line(00600)", , ,"345576", , , ,"993760"
"Line(00700)", ,"4124","62944", , , ,"4124","989636"
"Line(00800)", ,"1153","366", ,"392859", ,"1153","1153","2876078"
"Line(00900)", ,"5367","113756", ,"10593229", ,"5367","5367","167245","103673"
"Line(01002)", ,"18945","71064", ,"4156646", ,"18945","18945"
"Line(01100)", ,"19317","24476", ,"1689255", ,"19317","19317","3878","1201", ,"711098"
"Line(01600)", ,"194","116583", ,"3181517", ,"194","194", ,"267", ,"8146", , , , ,"10000"
"Line(01700)", ,"5845","19321", ,"4238144", ,"5845","5845", , , ,"7357", , , , , ,"10000"
"Line(01801)", ,"11382","70559", ,"5203278", ,"11382","11382", , , ,"14504"
"Line(01802)", ,"23937","304321", ,"15017570", ,"23937","23937", ,"927", ,"23224"
"Line(01803)", ,"9825","1387393", ,"8087015", ,"9825","9825", , , ,"12357"
"Line(01807)", ,"3259","16932", ,"3197070", ,"3259","3259", , , ,"10103"
"Line(01809)", ,"2803","570765", ,"2135675", ,"2803","2803", , , ,"3342"
"Line(02100)", ,"8969","39434", ,"38657026", ,"8969","8969", , , ,"70182", , , , , , , , , ,"10000"
"Line(02201)", , , , ,"24246000", , , , , , ,"8327"
"Line(02300)", ,"1617","1909", ,"675554", ,"1617","1617", , , ,"1178", , , , , , , , , , , ,"10000"
"Line(02301)", ,"498","2620", ,"341335", ,"498","498","541", , ,"765"
"Line(03000)", ,"195972","1107527", ,"62209493", ,"195972","195972","850179","35463", ,"102685", , , , ,"2855","4925", , , ,"3374", ,"2422"
"Line(03100)", ,"74347","722304", ,"23237250", ,"74347","74347","174918","6890", ,"35825", , , , ,"427", , , , ,"573", ,"264"
"Line(03101)", ,"17042","253582", ,"6377724", ,"17042","17042","38572","1425", ,"9065", , , , ,"101", , , , , , ,"388"
"Line(03300)", ,"23670","192824", ,"7395827", ,"23670","23670","71749","1290", ,"11672", , , , ,"126", , , , ,"83", ,"415"
"Line(03500)", ,"13770","512599", ,"14321901", ,"13770","13770","85023","3515", ,"20100", , , , ,"326","334", , , ,"114", ,"194"
"Line(04000)", ,"39722","93495", ,"11272152", ,"39722","39722","49161","9974", ,"16921", , , , ,"414","1209", , , ,"138", ,"240"
"Line(04100)", ,"6670","59181", ,"1957893", ,"6670","6670","34713","2122", ,"3501", , , , ,"95","24", , , ,"34"
"Line(04300)", ,"6117", , ,"1481643", ,"6117","6117","35413","521", ,"2496", , , , ,"106", , , , ,"32"
"Line(05000)", ,"52481","5453497", ,"17800936", ,"52481","52481","372778", , ,"24349", , , , , , , , , ,"1201"
"Line(05100)", ,"2230","216349", ,"4369631", ,"2230","2230","20896", , ,"7263"
"Line(05200)", ,"10583","142038", ,"2546845", ,"10583","10583","85333","2153", ,"4348", , , , , , , , , ,"69"
"Line(05300)", ,"4357","836472", ,"1050252", ,"4357","4357", , , ,"859", , , , , , , , , ,"278"
"Line(05400)", ,"27142","2302773", ,"9934604", ,"27142","27142","60257","2668", ,"17947", , , , , , , , , ,"562"
"Line(05500)", ,"27572","1631401", ,"7714661", ,"27572","27572","23897", , ,"7101", , , , , , , , , ,"96"
"Line(05700)", ,"7541","995095", ,"3522042", ,"7541","7541","53813", , ,"6035"
"Line(05800)", ,"7938","1004727", ,"2638027", ,"7938","7938","22087","1934", ,"4109"
"Line(06000)", ,"36813","1443055", ,"33697285", ,"36813","36813","3829","801", ,"62607", , , , , , , , , ,"281"
"Line(06300)", ,"3208","50932", ,"2151789", ,"3208","3208", , , ,"3606"
"Line(06500)", ,"3074","417166", ,"5066340", ,"3074","3074", , , ,"8504"
"Line(06600)", , ,"28233", ,"2566264", , , ,"425", , ,"4346"
"Line(06700)", ,"773","25976", ,"2436939", ,"773","773", , , ,"3146"
"Line(06900)", ,"943","29383", ,"440527", ,"943","943", , , ,"925"
"Line(07000)", ,"2104","101410", ,"1579666", ,"2104","2104", , , ,"1761"
"Line(07200)"
"Line(07300)", , , , , , , , , , , , , , , , , , , , , , , ,"4612"
"Line(07400)", ,"2119","3504", ,"116607", ,"2119","2119","6557","244", ,"134", , , , , , , , , ,"31"
"Line(07500)", ,"17575","2811641", ,"10548652", ,"17575","17575","77117","2236", ,"18630", , , , ,"1500", , , , ,"140"
"Line(07601)", , ,"43010", ,"1721560", , , ,"25", , ,"3086"
"Line(07603)", ,"29553","2763996", ,"7674860", ,"29553","29553","44490","489", ,"11560"
"Line(07605)", ,"9154","856295", ,"3509862", ,"9154","9154","7728", , ,"5015"
"Line(07606)", ,"36493","581233", ,"11299257", ,"36493","36493","19100","6209", ,"15708", , , , ,"339","251", , , , , ,"155"
"Line(07608)", ,"659","160576", ,"721179", ,"659","659","2457", , ,"1008"
"Line(07614)", ,"4565","505090", ,"3170346", ,"4565","4565","15235", , ,"4537"
"Line(07618)", ,"14293","242872", ,"3254904", ,"14293","14293","35120", , ,"4508"
"Line(07631)", ,"286","6194", ,"530765", ,"286","286", , , ,"753"
"Line(07650)", , ,"31683", ,"902474", , , , , , ,"1617"
"Line(07651)", ,"1528","25248", ,"430508", ,"1528","1528", , , ,"686"
"Line(07654)", ,"1274","3868", ,"201761", ,"1274","1274","1936", , ,"345"
"Line(07655)", ,"2292","64868", ,"1267749", ,"2292","2292", , , ,"1438"
"Line(07656)", , , , ,"791038", , , , , , ,"1327"
"Line(07658)", , ,"131889", ,"2215857", , , , , , ,"2887"
"Line(07659)", , ,"87804", ,"1180325", , , , , , ,"984"
"Line(07698)", , ,"17849", ,"617869", , , , , , ,"967"
"Line(07699)", , ,"131204", ,"303304", , , ,"2484", , ,"444"
"Line(09000)", ,"102859","1268702", ,"40490257", ,"102859","102859","30541","8471", ,"55878", , , , ,"1086","1767", , , ,"2313"
"Line(09001)", ,"4134","2860", ,"871827", ,"4134","4134", , , ,"1806", , , , ,"53"
"Line(09020)", ,"20530","57200", ,"5984193", ,"20530","20530", , , ,"10585", , , , ,"269", , , , ,"116"
"Line(09025)", ,"10749","26819", ,"1817351", ,"10749","10749", , , ,"3063", , , , ,"37"
"Line(09026)", ,"101","24267", ,"315486", ,"101","101", , , ,"605"
"Line(09028)", ,"196","36371", ,"588727", ,"196","196", , , ,"1013"
"Line(09029)", ,"189","19072", ,"750756", ,"189","189", , , ,"1990"
"Line(09040)", ,"5391","7816", ,"1014535", ,"5391","5391", , , ,"1842", , , , ,"166"
"Line(09100)", ,"29490","481075", ,"17156055", ,"29490","29490","463370","12916", ,"28343", , , , ,"1868","1473", , , ,"555", ,"996"
"Line(09101)", ,"7441","34333", ,"4716645", ,"7441","7441", ,"1201", ,"6410", , , , ,"232", , , , ,"10"
"Line(09102)"
"Line(09202)", ,"1653", , ,"84209", ,"1653","1653","15211", , ,"129"
"Line(10500)", ,"877","22206", ,"1663950", ,"877","877", , , ,"2026", , , , , ,"17", , , , , ,"291"
"Line(10600)", ,"3057","16515", ,"632727", ,"3057","3057", , , ,"872"
"Line(10700)", ,"3785","11081", ,"976643", ,"3785","3785", , , ,"1401"
"Line(11200)", , , , ,"93470", , , , , , ,"136"
"Line(11800)", ,"1049314","43644680", ,"511534048", ,"991547","987423","2876078","102917", ,"710389", , , , ,"10000","10000", , , ,"10000", ,"9977"
"Line(19000)", ,"2072","2455", ,"136277", ,"2072","2072", , , ,"459"
"Line(19402)", ,"141","66940", ,"329069", ,"141","141", ,"756", ,"250", , , , , , , , , , , ,"23"
"Line(20200)", ,"27865399","37834789", ,"160305466", ,"10721624","21107001","636960","18271905", ,"2885564", , , , ,"5825518","6202381", , , ,"56953233", ,"830547"
"Line(20300)", ,"26","1", ,"0", ,"11","21","0","176", ,"4", , , , ,"583","620", , , ,"5695", ,"83"
"Line(20400)", , , , ,"40072", ,"455382","472673","40726","512187", ,"593240", , , , ,"927130","280700", , , ,"1165472", ,"58340"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
